Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.007634,7.117429,[2 6] ; [22  7],[5.18918919 2.81081081] ; [18.81081081 10.18918919],0
p5,1,0.013284,6.130894,[4 4] ; [ 3 25],[1.55555556 6.44444444] ; [ 5.44444444 22.55555556],0
s7,1,0.022807,5.183152,[5 3] ; [ 5 20],[2.42424242 5.57575758] ; [ 7.57575758 17.42424242],0
b3,1,0.03509,4.440789,[3 3] ; [ 2 17],[1.2 4.8] ; [ 3.8 15.2],0
b2,1,0.03509,4.440789,[3 3] ; [ 2 17],[1.2 4.8] ; [ 3.8 15.2],0
p6,1,0.067053,3.353738,[5 3] ; [ 8 21],[2.81081081 5.18918919] ; [10.18918919 18.81081081],0
n3,1,0.0994,2.715152,[1 2] ; [9 2],[2.14285714 0.85714286] ; [7.85714286 3.14285714],0
d4,1,0.129824,2.294609,[7 1] ; [17 12],[5.18918919 2.81081081] ; [18.81081081 10.18918919],0
d3,1,0.130631,2.284987,[2 6] ; [16 13],[3.89189189 4.10810811] ; [14.10810811 14.89189189],0
p12,1,0.144321,2.13127,[2 6] ; [ 2 27],[0.86486486 7.13513514] ; [ 3.13513514 25.86486486],0
b4,1,0.153022,2.041863,[5 3] ; [10 19],[3.24324324 4.75675676] ; [11.75675676 17.24324324],0
v1,1,0.153022,2.041863,[5 3] ; [10 19],[3.24324324 4.75675676] ; [11.75675676 17.24324324],0
r4,1,0.153022,2.041863,[5 3] ; [10 19],[3.24324324 4.75675676] ; [11.75675676 17.24324324],0
u3,1,0.163165,1.944643,[3 1] ; [5 9],[1.77777778 2.22222222] ; [6.22222222 7.77777778],0
a4,1,0.173722,1.850532,[1 7] ; [11 18],[2.59459459 5.40540541] ; [ 9.40540541 19.59459459],0
s6,1,0.179339,1.803093,[6 2] ; [14 15],[4.32432432 3.67567568] ; [15.67567568 13.32432432],0
d2,1,0.230549,1.437471,[4 4] ; [ 8 21],[2.59459459 5.40540541] ; [ 9.40540541 19.59459459],0
n4,1,0.239407,1.384083,[6 2] ; [15 14],[4.54054054 3.45945946] ; [16.45945946 12.54054054],0
s3,1,0.239407,1.384083,[2 6] ; [14 15],[3.45945946 4.54054054] ; [12.54054054 16.45945946],0
d5,1,0.239407,1.384083,[6 2] ; [15 14],[4.54054054 3.45945946] ; [16.45945946 12.54054054],0
p8,1,0.278272,1.17551,[6 2] ; [15 13],[4.66666667 3.33333333] ; [16.33333333 11.66666667],0
b5,1,0.288581,1.12623,[3 5] ; [17 12],[4.32432432 3.67567568] ; [15.67567568 13.32432432],0
r3,1,0.295993,1.092162,[7 1] ; [20  9],[5.83783784 2.16216216] ; [21.16216216  7.83783784],0
s4,1,0.326535,0.962592,[3 5] ; [ 6 23],[1.94594595 6.05405405] ; [ 7.05405405 21.94594595],0
n2,1,0.347153,0.883838,[1 2] ; [7 4],[1.71428571 1.28571429] ; [6.28571429 4.71428571],0
p3,1,0.375954,0.78389,[5 3] ; [13 16],[3.89189189 4.10810811] ; [14.10810811 14.89189189],0
a6,1,0.375954,0.78389,[3 5] ; [16 13],[4.10810811 3.89189189] ; [14.89189189 14.10810811],0
n6,1,0.476081,0.507827,[5 3] ; [14 15],[4.10810811 3.89189189] ; [14.89189189 14.10810811],0
s8,1,0.587042,0.294987,[3 5] ; [ 8 21],[2.37837838 5.62162162] ; [ 8.62162162 20.37837838],0
v3,1,0.587042,0.294987,[3 5] ; [ 8 21],[2.37837838 5.62162162] ; [ 8.62162162 20.37837838],0
v2,1,0.587746,0.293878,[4 4] ; [11 17],[3.33333333 4.66666667] ; [11.66666667 16.33333333],0
a7,1,0.588198,0.293167,[3 5] ; [14 15],[3.67567568 4.32432432] ; [13.32432432 15.67567568],0
d1,1,0.600556,0.274158,[1 7] ; [ 6 23],[1.51351351 6.48648649] ; [ 5.48648649 23.51351351],0
a1,1,0.607221,0.264241,[1 7] ; [ 2 27],[0.64864865 7.35135135] ; [ 2.35135135 26.64864865],0
v4,1,0.611982,0.257299,[6 2] ; [19 10],[5.40540541 2.59459459] ; [19.59459459  9.40540541],0
p4,1,0.611982,0.257299,[6 2] ; [19 10],[5.40540541 2.59459459] ; [19.59459459  9.40540541],0
p10,1,0.611982,0.257299,[6 2] ; [19 10],[5.40540541 2.59459459] ; [19.59459459  9.40540541],0
r1,1,0.663033,0.18986,[4 4] ; [12 17],[3.45945946 4.54054054] ; [12.54054054 16.45945946],0
p9,1,0.740947,0.109296,[6 2] ; [20  9],[5.62162162 2.37837838] ; [20.37837838  8.62162162],0
a5,1,0.84316,0.039146,[5 3] ; [17 12],[4.75675676 3.24324324] ; [17.24324324 11.75675676],0
a8,1,0.869467,0.027006,[1 7] ; [ 4 23],[1.14285714 6.85714286] ; [ 3.85714286 23.14285714],0
s2,1,0.87425,0.025047,[3 5] ; [10 19],[2.81081081 5.18918919] ; [10.18918919 18.81081081],0
n1,1,0.92265,0.009428,[1 2] ; [4 7],[1.07142857 1.92857143] ; [3.92857143 7.07142857],0
a3,1,0.931166,0.007461,[4 4] ; [15 14],[4.10810811 3.89189189] ; [14.89189189 14.10810811],0
n5,1,0.982244,0.000495,[5 3] ; [18 11],[4.97297297 3.02702703] ; [18.02702703 10.97297297],0
