Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000926,10.96978,[ 5 21] ; [6 1],[ 8.66666667 17.33333333] ; [2.33333333 4.66666667],1
s7,1,0.035923,4.400762,[ 7 18] ; [5 2],[ 9.375 15.625] ; [2.625 4.375],0
a2,1,0.043402,4.07967,[ 1 25] ; [2 5],[ 2.36363636 23.63636364] ; [0.63636364 6.36363636],0
p6,1,0.094497,2.796052,[ 6 19] ; [4 3],[ 7.8125 17.1875] ; [2.1875 4.8125],0
a8,1,0.128695,2.30818,[ 4 21] ; [3 4],[ 5.46875 19.53125] ; [1.53125 5.46875],0
p1,1,0.133002,2.257105,[ 2 24] ; [2 5],[ 3.15151515 22.84848485] ; [0.84848485 6.15151515],0
v2,1,0.171187,1.872515,[11 15] ; [5 2],[12.60606061 13.39393939] ; [3.39393939 3.60606061],0
s3,1,0.234965,1.410553,[12 14] ; [5 2],[13.39393939 12.60606061] ; [3.60606061 3.39393939],0
b5,1,0.234965,1.410553,[12 14] ; [5 2],[13.39393939 12.60606061] ; [3.60606061 3.39393939],0
v1,1,0.27893,1.172295,[ 9 17] ; [4 3],[10.24242424 15.75757576] ; [2.75757576 4.24242424],0
s6,1,0.318415,0.995444,[11 14] ; [4 2],[12.09677419 12.90322581] ; [2.90322581 3.09677419],0
p2,1,0.326687,0.961988,[19  6] ; [4 3],[17.96875  7.03125] ; [5.03125 1.96875],0
b1,1,0.37471,0.787986,[16 10] ; [3 4],[14.96969697 11.03030303] ; [4.03030303 2.96969697],0
a6,1,0.37471,0.787986,[10 16] ; [4 3],[11.03030303 14.96969697] ; [2.96969697 4.03030303],0
b4,1,0.384742,0.755495,[18  8] ; [6 1],[18.90909091  7.09090909] ; [5.09090909 1.90909091],0
n4,1,0.384742,0.755495,[18  8] ; [6 1],[18.90909091  7.09090909] ; [5.09090909 1.90909091],0
r1,1,0.403454,0.698009,[12 14] ; [2 5],[11.03030303 14.96969697] ; [2.96969697 4.03030303],0
p8,1,0.453508,0.56187,[ 7 18] ; [3 4],[ 7.8125 17.1875] ; [2.1875 4.8125],0
n5,1,0.488609,0.479588,[19  7] ; [6 1],[19.6969697  6.3030303] ; [5.3030303 1.6969697],0
a5,1,0.547045,0.362637,[18  8] ; [4 3],[17.33333333  8.66666667] ; [4.66666667 2.33333333],0
s2,1,0.547045,0.362637,[ 8 18] ; [3 4],[ 8.66666667 17.33333333] ; [2.33333333 4.66666667],0
s5,1,0.568855,0.324601,[ 7 18] ; [1 5],[ 6.4516129 18.5483871] ; [1.5483871 4.4516129],0
n6,1,0.582647,0.301976,[19  6] ; [6 1],[19.53125  5.46875] ; [5.46875 1.53125],0
s1,1,0.59015,0.29011,[ 2 24] ; [1 6],[ 2.36363636 23.63636364] ; [0.63636364 6.36363636],0
a7,1,0.605591,0.266645,[12 14] ; [4 3],[12.60606061 13.39393939] ; [3.39393939 3.60606061],0
r4,1,0.687421,0.161892,[ 9 17] ; [3 4],[ 9.45454545 16.54545455] ; [2.54545455 4.45454545],0
b2,1,0.734139,0.115345,[ 8 11] ; [3 3],[ 8.36 10.64] ; [2.64 3.36],0
b3,1,0.734139,0.115345,[ 8 11] ; [3 3],[ 8.36 10.64] ; [2.64 3.36],0
d3,1,0.737139,0.112658,[13 13] ; [4 3],[13.39393939 12.60606061] ; [3.60606061 3.39393939],0
d2,1,0.737139,0.112658,[13 13] ; [3 4],[12.60606061 13.39393939] ; [3.39393939 3.60606061],0
p7,1,0.737139,0.112658,[13 13] ; [4 3],[13.39393939 12.60606061] ; [3.60606061 3.39393939],0
d5,1,0.763341,0.090659,[17  9] ; [5 2],[17.33333333  8.66666667] ; [4.66666667 2.33333333],0
p9,1,0.843296,0.039077,[23  3] ; [6 1],[22.84848485  3.15151515] ; [6.15151515 0.84848485],0
p4,1,0.876438,0.024176,[12 14] ; [3 4],[11.81818182 14.18181818] ; [3.18181818 3.81818182],0
a4,1,0.910578,0.012613,[ 8 18] ; [2 5],[ 7.87878788 18.12121212] ; [2.12121212 4.87878788],0
p11,1,0.910578,0.012613,[18  8] ; [5 2],[18.12121212  7.87878788] ; [4.87878788 2.12121212],0
r3,1,0.912084,0.01219,[21  4] ; [6 1],[21.09375  3.90625] ; [5.90625 1.09375],0
d4,1,0.930736,0.007555,[19  7] ; [5 2],[18.90909091  7.09090909] ; [5.09090909 1.90909091],0
p5,1,0.942621,0.005181,[ 4 22] ; [1 6],[ 3.93939394 22.06060606] ; [1.06060606 5.93939394],0
r2,1,0.957035,0.002902,[14 11] ; [4 3],[14.0625 10.9375] ; [3.9375 3.0625],0
d1,1,0.979171,0.000682,[11 15] ; [3 4],[11.03030303 14.96969697] ; [2.96969697 4.03030303],0
p3,1,0.979171,0.000682,[11 15] ; [3 4],[11.03030303 14.96969697] ; [2.96969697 4.03030303],0
