Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.7e-05,17.587784,[75 24] ; [ 2 10],[68.67567568 30.32432432] ; [8.32432432 3.67567568],1
r2,1,0.004427,8.099836,[88 11] ; [7 5],[84.72972973 14.27027027] ; [10.27027027  1.72972973],0
u3,1,0.017284,5.667336,[41 21] ; [1 5],[38.29411765 23.70588235] ; [3.70588235 2.29411765],0
u2,1,0.0306,4.675241,[38 23] ; [1 5],[35.50746269 25.49253731] ; [3.49253731 2.50746269],0
s1,1,0.032707,4.561063,[ 3 95] ; [ 2 10],[ 4.45454545 93.54545455] ; [ 0.54545455 11.45454545],0
v2,1,0.038831,4.268233,[37 59] ; [ 1 11],[33.77777778 62.22222222] ; [4.22222222 7.77777778],0
r3,1,0.050491,3.825083,[86 12] ; [8 4],[83.74545455 14.25454545] ; [10.25454545  1.74545455],0
d5,1,0.054519,3.696727,[61 37] ; [4 8],[57.90909091 40.09090909] ; [7.09090909 4.90909091],0
p9,1,0.058353,3.583601,[65 29] ; [5 7],[62.0754717 31.9245283] ; [7.9245283 4.0754717],0
r1,1,0.060345,3.527881,[61 38] ; [4 8],[57.97297297 41.02702703] ; [7.02702703 4.97297297],0
p1,1,0.06774,3.336941,[ 4 95] ; [ 2 10],[ 5.35135135 93.64864865] ; [ 0.64864865 11.35135135],0
u1,1,0.071683,3.244058,[ 1 98] ; [ 1 11],[ 1.78378378 97.21621622] ; [ 0.21621622 11.78378378],0
p2,1,0.086454,2.93919,[73 26] ; [6 6],[70.45945946 28.54054054] ; [8.54054054 3.45945946],0
b5,1,0.10392,2.644322,[65 34] ; [5 7],[62.43243243 36.56756757] ; [7.56756757 4.43243243],0
s6,1,0.14075,2.169738,[46 51] ; [3 9],[43.60550459 53.39449541] ; [5.39449541 6.60550459],0
p7,1,0.152129,2.050771,[44 50] ; [3 9],[41.67924528 52.32075472] ; [5.32075472 6.67924528],0
a4,1,0.171114,1.873159,[11 88] ; [3 9],[12.48648649 86.51351351] ; [ 1.51351351 10.48648649],0
s8,1,0.171583,1.869058,[26 73] ; [ 1 11],[24.08108108 74.91891892] ; [2.91891892 9.08108108],0
p10,1,0.1736,1.851579,[59 36] ; [5 7],[56.82242991 38.17757009] ; [7.17757009 4.82242991],0
n6,1,0.193381,1.691668,[60 38] ; [5 7],[57.90909091 40.09090909] ; [7.09090909 4.90909091],0
p3,1,0.212788,1.552357,[24 75] ; [ 1 11],[22.2972973 76.7027027] ; [2.7027027 9.2972973],0
d2,1,0.213711,1.546105,[18 81] ; [4 8],[19.62162162 79.37837838] ; [2.37837838 9.62162162],0
b3,1,0.251346,1.315804,[ 8 36] ; [2 3],[ 8.97959184 35.02040816] ; [1.02040816 3.97959184],0
b2,1,0.251346,1.315804,[ 8 36] ; [2 3],[ 8.97959184 35.02040816] ; [1.02040816 3.97959184],0
v3,1,0.283015,1.152554,[20 73] ; [ 1 11],[18.6 74.4] ; [2.4 9.6],0
v1,1,0.318638,0.99453,[29 66] ; [ 2 10],[27.52336449 67.47663551] ; [3.47663551 8.52336449],0
a6,1,0.320544,0.986725,[48 51] ; [4 8],[46.37837838 52.62162162] ; [5.62162162 6.37837838],0
d3,1,0.323326,0.975444,[55 42] ; [5 7],[53.39449541 43.60550459] ; [6.60550459 5.39449541],0
n2,1,0.329114,0.952381,[22 13] ; [2 3],[21. 14.] ; [3. 2.],0
s2,1,0.331569,0.942758,[39 60] ; [3 9],[37.45945946 61.54054054] ; [4.54054054 7.45945946],0
a3,1,0.371982,0.797033,[36 62] ; [6 6],[37.41818182 60.58181818] ; [4.58181818 7.41818182],0
s3,1,0.42453,0.63774,[45 54] ; [4 8],[43.7027027 55.2972973] ; [5.2972973 6.7027027],0
s7,1,0.426784,0.631558,[26 69] ; [ 2 10],[24.85981308 70.14018692] ; [3.14018692 8.85981308],0
b1,1,0.436137,0.606425,[36 63] ; [3 9],[34.78378378 64.21621622] ; [4.21621622 7.78378378],0
a7,1,0.484421,0.488895,[67 31] ; [7 5],[65.92727273 32.07272727] ; [8.07272727 3.92727273],0
p6,1,0.524389,0.405253,[24 72] ; [ 2 10],[23.11111111 72.88888889] ; [2.88888889 9.11111111],0
b4,1,0.546024,0.364488,[57 42] ; [8 4],[57.97297297 41.02702703] ; [7.02702703 4.97297297],0
s5,1,0.677781,0.172634,[21 75] ; [ 2 10],[20.44444444 75.55555556] ; [2.55555556 9.44444444],0
n3,1,0.768321,0.086772,[24 12] ; [3 2],[23.70731707 12.29268293] ; [3.29268293 1.70731707],0
d1,1,0.810809,0.057304,[28 71] ; [3 9],[27.64864865 71.35135135] ; [3.35135135 8.64864865],0
p8,1,0.858202,0.03192,[33 65] ; [4 7],[33.26605505 64.73394495] ; [3.73394495 7.26605505],0
d4,1,0.88689,0.020232,[68 31] ; [8 4],[67.78378378 31.21621622] ; [8.21621622 3.78378378],0
p11,1,0.932951,0.007078,[59 40] ; [7 5],[58.86486486 40.13513514] ; [7.13513514 4.86486486],0
s4,1,0.953935,0.003337,[24 75] ; [3 9],[24.08108108 74.91891892] ; [2.91891892 9.08108108],0
n5,1,0.98122,0.000554,[33 65] ; [4 8],[32.96363636 65.03636364] ; [4.03636364 7.96363636],0
