Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,57.158333,[79 16] ; [ 5 33],[60. 35.] ; [24. 14.],1
s8,1,0.058938,3.567033,[33 61] ; [ 7 31],[28.48484848 65.51515152] ; [11.51515152 26.48484848],0
n3,1,0.065719,3.386845,[23 16] ; [ 8 15],[19.5 19.5] ; [11.5 11.5],0
v1,1,0.068949,3.307867,[38 56] ; [ 9 29],[33.46969697 60.53030303] ; [13.53030303 24.46969697],0
b1,1,0.069692,3.290254,[46 49] ; [25 13],[50.71428571 44.28571429] ; [20.28571429 17.71428571],0
d1,1,0.070136,3.279823,[54 41] ; [15 23],[49.28571429 45.71428571] ; [19.71428571 18.28571429],0
p8,1,0.076326,3.14144,[23 72] ; [ 4 34],[19.28571429 75.71428571] ; [ 7.71428571 30.28571429],0
n4,1,0.083466,2.996085,[52 43] ; [27 11],[56.42857143 38.57142857] ; [22.57142857 15.42857143],0
u2,1,0.084277,2.980423,[17 18] ; [ 4 13],[14.13461538 20.86538462] ; [ 6.86538462 10.13461538],0
p10,1,0.087234,2.924691,[42 49] ; [11 26],[37.6796875 53.3203125] ; [15.3203125 21.6796875],0
p6,1,0.101754,2.677836,[15 78] ; [ 2 35],[12.16153846 80.83846154] ; [ 4.83846154 32.16153846],0
p12,1,0.14271,2.148493,[ 1 93] ; [ 2 36],[ 2.13636364 91.86363636] ; [ 0.86363636 37.13636364],0
a5,1,0.149687,2.075439,[58 37] ; [18 20],[54.28571429 40.71428571] ; [21.71428571 16.28571429],0
p1,1,0.151881,2.053259,[ 9 86] ; [ 7 31],[11.42857143 83.57142857] ; [ 4.57142857 33.42857143],0
u3,1,0.158071,1.992583,[18 18] ; [ 5 12],[15.62264151 20.37735849] ; [7.37735849 9.62264151],0
u1,1,0.229227,1.445652,[15 80] ; [ 3 35],[12.85714286 82.14285714] ; [ 5.14285714 32.85714286],0
v3,1,0.298065,1.082833,[29 59] ; [ 9 29],[26.53968254 61.46031746] ; [11.46031746 26.53968254],0
a6,1,0.321916,0.981148,[54 41] ; [18 20],[51.42857143 43.57142857] ; [20.57142857 17.42857143],0
n1,1,0.326945,0.960961,[15 25] ; [12 12],[16.875 23.125] ; [10.125 13.875],0
a2,1,0.346382,0.886667,[22 73] ; [ 6 32],[20. 75.] ; [ 8. 30.],0
a8,1,0.363062,0.827275,[ 6 80] ; [ 1 35],[ 4.93442623 81.06557377] ; [ 2.06557377 33.93442623],0
d2,1,0.452049,0.565509,[48 47] ; [16 21],[46.06060606 48.93939394] ; [17.93939394 19.06060606],0
b4,1,0.580302,0.305747,[55 40] ; [20 18],[53.57142857 41.42857143] ; [21.42857143 16.57142857],0
a3,1,0.692651,0.15623,[59 36] ; [21 15],[58.01526718 36.98473282] ; [21.98473282 14.01526718],0
s1,1,0.715306,0.133035,[ 8 86] ; [ 4 34],[ 8.54545455 85.45454545] ; [ 3.45454545 34.54545455],0
n2,1,0.731329,0.117895,[24 17] ; [13 11],[23.33846154 17.66153846] ; [13.66153846 10.33846154],0
s4,1,0.81471,0.054922,[19 75] ; [ 7 31],[18.51515152 75.48484848] ; [ 7.48484848 30.51515152],0
p5,1,0.817586,0.0532,[ 6 89] ; [ 2 36],[ 5.71428571 89.28571429] ; [ 2.28571429 35.71428571],0
a4,1,0.877596,0.023721,[41 54] ; [15 21],[40.61068702 54.38931298] ; [15.38931298 20.61068702],0
