Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7e-06,20.170868,[1 4] ; [49  4],[4.31034483 0.68965517] ; [45.68965517  7.31034483],1
n5,1,0.000137,14.546299,[2 3] ; [50  3],[4.48275862 0.51724138] ; [47.51724138  5.48275862],1
b5,1,0.081368,3.037356,[4 1] ; [21 32],[2.15517241 2.84482759] ; [22.84482759 30.15517241],0
s5,1,0.084822,2.97,[2 3] ; [38 12],[3.63636364 1.36363636] ; [36.36363636 13.63636364],0
s3,1,0.088181,2.907274,[1 4] ; [31 21],[2.80701754 2.19298246] ; [29.19298246 22.80701754],0
r3,1,0.122334,2.387179,[4 1] ; [50  2],[4.73684211 0.26315789] ; [49.26315789  2.73684211],0
s7,1,0.127059,2.328076,[2 3] ; [35 13],[3.49056604 1.50943396] ; [33.50943396 14.49056604],0
p3,1,0.158736,1.986226,[3 2] ; [45  8],[4.13793103 0.86206897] ; [43.86206897  9.13793103],0
a3,1,0.158736,1.986226,[3 2] ; [45  8],[4.13793103 0.86206897] ; [43.86206897  9.13793103],0
b1,1,0.174554,1.843394,[3 2] ; [16 37],[1.63793103 3.36206897] ; [17.36206897 35.63793103],0
p8,1,0.209445,1.575256,[3 2] ; [44  9],[4.05172414 0.94827586] ; [42.94827586 10.05172414],0
p4,1,0.226426,1.463173,[4 1] ; [50  3],[4.65517241 0.34482759] ; [49.34482759  3.65517241],0
p11,1,0.226426,1.463173,[4 1] ; [50  3],[4.65517241 0.34482759] ; [49.34482759  3.65517241],0
p6,1,0.234995,1.41037,[2 3] ; [34 17],[3.21428571 1.78571429] ; [32.78571429 18.21428571],0
u1,1,0.264812,1.243424,[2 3] ; [10 43],[1.03448276 3.96551724] ; [10.96551724 42.03448276],0
v1,1,0.264812,1.243424,[3 2] ; [43 10],[3.96551724 1.03448276] ; [42.03448276 10.96551724],0
s6,1,0.276574,1.183846,[3 2] ; [42 10],[3.94736842 1.05263158] ; [41.05263158 10.94736842],0
a6,1,0.287366,1.131923,[2 3] ; [34 19],[3.10344828 1.89655172] ; [32.89655172 20.10344828],0
b4,1,0.309915,1.03104,[4 1] ; [30 23],[2.93103448 2.06896552] ; [31.06896552 21.93103448],0
r4,1,0.342936,0.899423,[4 1] ; [49  4],[4.56896552 0.43103448] ; [48.43103448  4.56896552],0
s8,1,0.413704,0.668132,[4 1] ; [32 20],[3.15789474 1.84210526] ; [32.84210526 19.15789474],0
d3,1,0.476004,0.508004,[4 1] ; [34 19],[3.27586207 1.72413793] ; [34.72413793 18.27586207],0
v3,1,0.51589,0.422102,[3 2] ; [39 14],[3.62068966 1.37931034] ; [38.37931034 14.62068966],0
s4,1,0.581905,0.303165,[1 4] ; [ 6 46],[0.61403509 4.38596491] ; [ 6.38596491 45.61403509],0
p7,1,0.581905,0.303165,[4 1] ; [46  6],[4.38596491 0.61403509] ; [45.61403509  6.38596491],0
d2,1,0.583129,0.301204,[2 3] ; [28 25],[2.5862069 2.4137931] ; [27.4137931 25.5862069],0
d4,1,0.673719,0.177283,[4 1] ; [46  7],[4.31034483 0.68965517] ; [45.68965517  7.31034483],0
a5,1,0.691341,0.157637,[4 1] ; [38 15],[3.62068966 1.37931034] ; [38.37931034 14.62068966],0
a2,1,0.772114,0.083875,[1 4] ; [ 8 45],[0.77586207 4.22413793] ; [ 8.22413793 44.77586207],0
n1,1,0.793428,0.068571,[1 1] ; [4 6],[0.83333333 1.16666667] ; [4.16666667 5.83333333],0
a7,1,0.82105,0.051164,[4 1] ; [40 13],[3.79310345 1.20689655] ; [40.20689655 12.79310345],0
b2,1,0.823763,0.049599,[3 2] ; [23 19],[2.76595745 2.23404255] ; [23.23404255 18.76595745],0
b3,1,0.823763,0.049599,[3 2] ; [23 19],[2.76595745 2.23404255] ; [23.23404255 18.76595745],0
r1,1,0.864359,0.029182,[4 1] ; [44  9],[4.13793103 0.86206897] ; [43.86206897  9.13793103],0
d1,1,0.920549,0.009949,[3 2] ; [33 20],[3.10344828 1.89655172] ; [32.89655172 20.10344828],0
a4,1,0.920549,0.009949,[2 3] ; [20 33],[1.89655172 3.10344828] ; [20.10344828 32.89655172],0
