Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000966,10.890961,[4 7] ; [ 1 38],[1.1 9.9] ; [ 3.9 35.1],1
p8,1,0.005588,7.678684,[4 7] ; [ 2 36],[1.34693878 9.65306122] ; [ 4.65306122 33.34693878],0
v1,1,0.066343,3.371271,[5 6] ; [ 7 31],[2.69387755 8.30612245] ; [ 9.30612245 28.69387755],0
p4,1,0.072654,3.222026,[4 7] ; [ 5 34],[1.98 9.02] ; [ 7.02 31.98],0
a2,1,0.077571,3.115067,[3 8] ; [ 3 36],[1.32 9.68] ; [ 4.68 34.32],0
u2,1,0.079746,3.070069,[2 2] ; [ 2 15],[0.76190476 3.23809524] ; [ 3.23809524 13.76190476],0
s1,1,0.158716,1.986419,[2 9] ; [ 2 37],[ 0.88 10.12] ; [ 3.12 35.88],0
b4,1,0.209846,1.572492,[9 2] ; [24 15],[7.26 3.74] ; [25.74 13.26],0
u3,1,0.24122,1.373452,[1 3] ; [ 1 16],[0.38095238 3.61904762] ; [ 1.61904762 15.38095238],0
p1,1,0.248203,1.333389,[3 8] ; [ 5 34],[1.76 9.24] ; [ 6.24 32.76],0
r4,1,0.276978,1.181859,[4 7] ; [ 8 31],[2.64 8.36] ; [ 9.36 29.64],0
a7,1,0.305749,1.048951,[7 4] ; [18 21],[5.5 5.5] ; [19.5 19.5],0
p12,1,0.329255,0.951826,[ 1 10] ; [ 1 38],[ 0.44 10.56] ; [ 1.56 37.44],0
a6,1,0.424987,0.636485,[6 5] ; [16 23],[4.84 6.16] ; [17.16 21.84],0
n2,1,0.427205,0.630409,[2 1] ; [ 8 11],[1.36363636 1.63636364] ; [ 8.63636364 10.36363636],0
n1,1,0.427205,0.630409,[2 1] ; [ 8 11],[1.36363636 1.63636364] ; [ 8.63636364 10.36363636],0
s6,1,0.484228,0.489325,[4 7] ; [10 29],[3.08 7.92] ; [10.92 28.08],0
p9,1,0.486835,0.483515,[5 5] ; [14 23],[4.04255319 5.95744681] ; [14.95744681 22.04255319],0
v2,1,0.495729,0.464068,[5 6] ; [13 25],[4.04081633 6.95918367] ; [13.95918367 24.04081633],0
s2,1,0.521215,0.411489,[3 7] ; [ 8 31],[2.24489796 7.75510204] ; [ 8.75510204 30.24489796],0
d1,1,0.563455,0.333757,[4 7] ; [18 21],[4.84 6.16] ; [17.16 21.84],0
p2,1,0.593822,0.284416,[3 8] ; [14 25],[3.74 7.26] ; [13.26 25.74],0
d3,1,0.622718,0.242066,[6 5] ; [18 21],[5.28 5.72] ; [18.72 20.28],0
p6,1,0.640982,0.217461,[ 1 10] ; [ 2 36],[ 0.67346939 10.32653061] ; [ 2.32653061 35.67346939],0
p3,1,0.650847,0.204834,[2 9] ; [ 5 34],[1.54 9.46] ; [ 5.46 33.54],0
a1,1,0.650847,0.204834,[2 9] ; [ 5 34],[1.54 9.46] ; [ 5.46 33.54],0
p11,1,0.66803,0.183916,[4 7] ; [17 22],[4.62 6.38] ; [16.38 22.62],0
d2,1,0.674975,0.175837,[6 5] ; [18 20],[5.3877551 5.6122449] ; [18.6122449 19.3877551],0
r2,1,0.684494,0.165111,[7 4] ; [21 16],[6.41666667 4.58333333] ; [21.58333333 15.41666667],0
s7,1,0.696606,0.152027,[2 6] ; [ 7 30],[1.6 6.4] ; [ 7.4 29.6],0
d4,1,0.703525,0.144831,[8 3] ; [26 13],[7.48 3.52] ; [26.52 12.48],0
b1,1,0.732807,0.11655,[6 5] ; [19 20],[5.5 5.5] ; [19.5 19.5],0
a5,1,0.732807,0.11655,[6 5] ; [19 20],[5.5 5.5] ; [19.5 19.5],0
a3,1,0.732954,0.116416,[7 4] ; [22 16],[6.51020408 4.48979592] ; [22.48979592 15.51020408],0
s4,1,0.736734,0.113018,[ 1 10] ; [ 5 34],[1.32 9.68] ; [ 4.68 34.32],0
r1,1,0.780439,0.0777,[4 7] ; [16 23],[4.4 6.6] ; [15.6 23.4],0
p10,1,0.801573,0.063158,[3 7] ; [13 25],[3.33333333 6.66666667] ; [12.66666667 25.33333333],0
n4,1,0.82315,0.04995,[8 3] ; [27 12],[7.7 3.3] ; [27.3 11.7],0
r3,1,0.8433,0.039075,[6 5] ; [22 16],[6.28571429 4.71428571] ; [21.71428571 16.28571429],0
b2,1,0.854,0.033862,[2 3] ; [12 15],[2.1875 2.8125] ; [11.8125 15.1875],0
b3,1,0.854,0.033862,[2 3] ; [12 15],[2.1875 2.8125] ; [11.8125 15.1875],0
a4,1,0.894893,0.017454,[4 7] ; [13 25],[3.81632653 7.18367347] ; [13.18367347 24.81632653],0
n5,1,0.899255,0.016028,[7 4] ; [24 15],[6.82 4.18] ; [24.18 14.82],0
b5,1,0.899255,0.016028,[4 7] ; [15 24],[4.18 6.82] ; [14.82 24.18],0
n6,1,0.910817,0.012546,[5 6] ; [18 20],[5.16326531 5.83673469] ; [17.83673469 20.16326531],0
s3,1,0.948046,0.004246,[3 7] ; [11 27],[2.91666667 7.08333333] ; [11.08333333 26.91666667],0
d5,1,0.977304,0.000809,[7 4] ; [25 14],[7.04 3.96] ; [24.96 14.04],0
a8,1,0.980934,0.000571,[1 9] ; [ 4 35],[1.02040816 8.97959184] ; [ 3.97959184 35.02040816],0
