Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5e-06,20.903758,[ 2 12] ; [25  4],[8.79069767 5.20930233] ; [18.20930233 10.79069767],1
n5,1,0.046588,3.960221,[ 3 11] ; [16 14],[6.04545455 7.95454545] ; [12.95454545 17.04545455],0
a7,1,0.076916,3.128889,[7 7] ; [23  7],[9.54545455 4.45454545] ; [20.45454545  9.54545455],0
p3,1,0.100831,2.692352,[8 6] ; [ 9 20],[5.53488372 8.46511628] ; [11.46511628 17.53488372],0
u2,1,0.115993,2.470604,[4 3] ; [9 1],[5.35294118 1.64705882] ; [7.64705882 2.35294118],0
d1,1,0.124432,2.360635,[ 4 10] ; [16 14],[6.36363636 7.63636364] ; [13.63636364 16.36363636],0
d2,1,0.1283,2.31295,[7 7] ; [ 8 22],[4.77272727 9.22727273] ; [10.22727273 19.77272727],0
b5,1,0.133045,2.25661,[5 9] ; [18 12],[7.31818182 6.68181818] ; [15.68181818 14.31818182],0
p2,1,0.148439,2.088218,[7 7] ; [21  8],[9.11627907 4.88372093] ; [18.88372093 10.11627907],0
s3,1,0.159102,1.982743,[9 5] ; [12 17],[6.8372093 7.1627907] ; [14.1627907 14.8372093],0
b1,1,0.195431,1.67619,[9 5] ; [13 17],[7. 7.] ; [15. 15.],0
d3,1,0.198959,1.65,[7 7] ; [21  9],[8.90909091 5.09090909] ; [19.09090909 10.90909091],0
p11,1,0.201537,1.631198,[6 8] ; [19 11],[7.95454545 6.04545455] ; [17.04545455 12.95454545],0
s8,1,0.226101,1.465222,[ 3 11] ; [12 18],[4.77272727 9.22727273] ; [10.22727273 19.77272727],0
n4,1,0.255503,1.292959,[10  4] ; [16 14],[8.27272727 5.72727273] ; [17.72727273 12.27272727],0
u3,1,0.280425,1.165029,[5 2] ; [4 5],[3.9375 3.0625] ; [5.0625 3.9375],0
v1,1,0.287471,1.131429,[6 8] ; [18 12],[7.63636364 6.36363636] ; [16.36363636 13.63636364],0
a3,1,0.290269,1.118373,[7 7] ; [20 10],[8.59090909 5.40909091] ; [18.40909091 11.59090909],0
a6,1,0.290269,1.118373,[7 7] ; [20 10],[8.59090909 5.40909091] ; [18.40909091 11.59090909],0
s4,1,0.303524,1.058647,[ 3 11] ; [ 3 27],[ 1.90909091 12.09090909] ; [ 4.09090909 25.90909091],0
v4,1,0.303524,1.058647,[11  3] ; [27  3],[12.09090909  1.90909091] ; [25.90909091  4.09090909],0
p8,1,0.32399,0.972773,[5 9] ; [15 14],[6.51162791 7.48837209] ; [13.48837209 15.51162791],0
r1,1,0.361855,0.831444,[10  4] ; [25  5],[11.13636364  2.86363636] ; [23.86363636  6.13636364],0
p7,1,0.375399,0.785714,[5 9] ; [15 15],[6.36363636 7.63636364] ; [13.63636364 16.36363636],0
d5,1,0.390399,0.737698,[9 5] ; [23  7],[10.18181818  3.81818182] ; [21.81818182  8.18181818],0
s2,1,0.402114,0.701994,[7 7] ; [11 19],[5.72727273 8.27272727] ; [12.27272727 17.72727273],0
n2,1,0.407626,0.685714,[4 1] ; [4 3],[3.33333333 1.66666667] ; [4.66666667 2.33333333],0
r3,1,0.4941,0.467586,[11  3] ; [26  4],[11.77272727  2.22727273] ; [25.22727273  4.77272727],0
p1,1,0.546748,0.363175,[ 1 13] ; [ 4 26],[ 1.59090909 12.40909091] ; [ 3.40909091 26.59090909],0
v2,1,0.636906,0.222812,[9 5] ; [20  8],[9.66666667 4.33333333] ; [19.33333333  8.66666667],0
a8,1,0.648172,0.208213,[ 1 13] ; [ 1 25],[ 0.7 13.3] ; [ 1.3 24.7],0
s6,1,0.658617,0.195209,[6 8] ; [15 15],[6.68181818 7.31818182] ; [14.31818182 15.68181818],0
r2,1,0.676523,0.174066,[12  2] ; [27  3],[12.40909091  1.59090909] ; [26.59090909  3.40909091],0
d4,1,0.708597,0.139683,[11  3] ; [22  8],[10.5  3.5] ; [22.5  7.5],0
a2,1,0.758798,0.094286,[ 1 13] ; [ 3 27],[ 1.27272727 12.72727273] ; [ 2.72727273 27.27272727],0
b2,1,0.808605,0.058673,[3 6] ; [ 4 10],[2.73913043 6.26086957] ; [4.26086957 9.73913043],0
b3,1,0.808605,0.058673,[3 6] ; [ 4 10],[2.73913043 6.26086957] ; [4.26086957 9.73913043],0
s5,1,0.858499,0.031786,[ 2 11] ; [ 4 26],[ 1.81395349 11.18604651] ; [ 4.18604651 25.81395349],0
s7,1,0.885558,0.020715,[4 8] ; [ 9 20],[3.80487805 8.19512195] ; [ 9.19512195 19.80487805],0
r4,1,0.888322,0.01972,[11  3] ; [23  7],[10.81818182  3.18181818] ; [23.18181818  6.81818182],0
a5,1,0.888322,0.01972,[11  3] ; [23  7],[10.81818182  3.18181818] ; [23.18181818  6.81818182],0
p4,1,0.902962,0.014865,[6 8] ; [13 16],[6.18604651 7.81395349] ; [12.81395349 16.18604651],0
s1,1,0.903495,0.014701,[ 1 12] ; [ 2 28],[ 0.90697674 12.09302326] ; [ 2.09302326 27.90697674],0
a4,1,0.951226,0.003741,[5 9] ; [11 19],[5.09090909 8.90909091] ; [10.90909091 19.09090909],0
b4,1,0.951226,0.003741,[9 5] ; [19 11],[8.90909091 5.09090909] ; [19.09090909 10.90909091],0
p6,1,0.955491,0.003115,[ 3 11] ; [ 6 23],[ 2.93023256 11.06976744] ; [ 6.06976744 22.93023256],0
