Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.425855,[66 16] ; [108 110],[47.56 34.44] ; [126.44  91.56],1
s2,1,3e-06,21.86286,[53 31] ; [ 73 145],[35.04635762 48.95364238] ; [ 90.95364238 127.04635762],1
s3,1,0.000237,13.508805,[53 28] ; [ 91 128],[38.88 42.12] ; [105.12 113.88],1
p12,1,0.001645,9.908379,[ 9 74] ; [  5 213],[ 3.86046512 79.13953488] ; [ 10.13953488 207.86046512],0
p5,1,0.001918,9.626805,[ 8 75] ; [  4 215],[ 3.29801325 79.70198675] ; [  8.70198675 210.29801325],0
s8,1,0.00235,9.253832,[40 43] ; [ 65 155],[28.76237624 54.23762376] ; [ 76.23762376 143.76237624],0
p1,1,0.002507,9.135193,[10 72] ; [  7 213],[ 4.61589404 77.38410596] ; [ 12.38410596 207.61589404],0
s7,1,0.002837,8.909717,[43 40] ; [ 70 142],[31.79322034 51.20677966] ; [ 81.20677966 130.79322034],0
s4,1,0.014352,5.994351,[20 62] ; [ 28 191],[13.07641196 68.92358804] ; [ 34.92358804 184.07641196],0
n1,1,0.015549,5.853213,[13  9] ; [21 48],[ 8.21978022 13.78021978] ; [25.78021978 43.21978022],0
p10,1,0.027094,4.884829,[69 14] ; [154  64],[61.49169435 21.50830565] ; [161.50830565  56.49169435],0
d2,1,0.028658,4.788017,[43 40] ; [ 83 136],[34.62913907 48.37086093] ; [ 91.37086093 127.62913907],0
p7,1,0.028812,4.778805,[47 32] ; [ 97 118],[38.69387755 40.30612245] ; [105.30612245 109.69387755],0
d3,1,0.035624,4.415025,[41 43] ; [136  83],[49.06930693 34.93069307] ; [127.93069307  91.06930693],0
p8,1,0.045881,3.985968,[35 46] ; [ 67 150],[27.72483221 53.27516779] ; [ 74.27516779 142.72483221],0
u2,1,0.054168,3.707529,[ 7 18] ; [39 39],[11.16504854 13.83495146] ; [34.83495146 43.16504854],0
b5,1,0.056074,3.649864,[45 39] ; [144  76],[52.22368421 31.77631579] ; [136.77631579  83.22368421],0
a5,1,0.058531,3.578522,[62 22] ; [137  83],[54.98684211 29.01315789] ; [144.01315789  75.98684211],0
r4,1,0.060072,3.535393,[77  7] ; [183  37],[71.84210526 12.15789474] ; [188.15789474  31.84210526],0
r1,1,0.068858,3.310032,[68 16] ; [154  64],[61.74834437 22.25165563] ; [160.25165563  57.74834437],0
p9,1,0.085517,2.9568,[68 12] ; [162  52],[62.58503401 17.41496599] ; [167.41496599  46.58503401],0
r2,1,0.085799,2.95147,[81  2] ; [201  17],[77.76079734  5.23920266] ; [204.23920266  13.76079734],0
p3,1,0.119458,2.424417,[23 61] ; [ 42 177],[18.01980198 65.98019802] ; [ 46.98019802 172.01980198],0
n3,1,0.14182,2.158103,[18  4] ; [45 24],[15.23076923  6.76923077] ; [47.76923077 21.23076923],0
p6,1,0.147073,2.102347,[19 64] ; [ 34 182],[14.71237458 68.28762542] ; [ 38.28762542 177.71237458],0
a4,1,0.150288,2.069322,[38 46] ; [ 79 139],[32.54304636 51.45695364] ; [ 84.45695364 133.54304636],0
v1,1,0.160914,1.965612,[40 43] ; [ 84 130],[34.65319865 48.34680135] ; [ 89.34680135 124.65319865],0
u1,1,0.207021,1.592137,[15 69] ; [ 27 193],[11.60526316 72.39473684] ; [ 30.39473684 189.60526316],0
a3,1,0.21574,1.532484,[59 23] ; [141  78],[54.48504983 27.51495017] ; [145.51495017  73.48504983],0
s1,1,0.261438,1.261125,[ 4 80] ; [  5 212],[ 2.51162791 81.48837209] ; [  6.48837209 210.51162791],0
b3,1,0.276631,1.183565,[22 30] ; [40 79],[18.85380117 33.14619883] ; [43.14619883 75.85380117],0
b2,1,0.276631,1.183565,[22 30] ; [40 79],[18.85380117 33.14619883] ; [43.14619883 75.85380117],0
n2,1,0.277072,1.181395,[18  4] ; [49 21],[16.02173913  5.97826087] ; [50.97826087 19.02173913],0
d4,1,0.294246,1.10009,[67 16] ; [165  55],[63.55115512 19.44884488] ; [168.44884488  51.55115512],0
a6,1,0.300131,1.073611,[49 34] ; [144  76],[52.8679868 30.1320132] ; [140.1320132  79.8679868],0
a2,1,0.381703,0.765211,[19 65] ; [ 40 180],[16.30263158 67.69736842] ; [ 42.69736842 177.30263158],0
v4,1,0.386635,0.749499,[78  4] ; [203  17],[76.29801325  5.70198675] ; [204.70198675  15.29801325],0
v2,1,0.45711,0.552961,[43 36] ; [104 106],[40.183391 38.816609] ; [106.816609 103.183391],0
a1,1,0.475284,0.509666,[ 2 82] ; [  9 211],[ 3.03947368 80.96052632] ; [  7.96052632 212.03947368],0
p2,1,0.4986,0.457915,[62 21] ; [155  64],[59.63907285 23.36092715] ; [157.36092715  61.63907285],0
b4,1,0.554758,0.348863,[52 32] ; [128  92],[49.73684211 34.26315789] ; [130.26315789  89.73684211],0
b1,1,0.563065,0.334426,[32 52] ; [ 76 144],[29.84210526 54.15789474] ; [ 78.15789474 141.84210526],0
u3,1,0.574538,0.315148,[13 12] ; [36 43],[11.77884615 13.22115385] ; [37.22115385 41.77884615],0
n4,1,0.577976,0.309517,[58 26] ; [159  61],[59.96052632 24.03947368] ; [157.03947368  62.96052632],0
a7,1,0.591917,0.287361,[53 30] ; [147  72],[54.96688742 28.03311258] ; [145.03311258  73.96688742],0
p11,1,0.665326,0.187119,[65 19] ; [165  55],[63.55263158 20.44736842] ; [166.44736842  53.55263158],0
v3,1,0.709557,0.138719,[27 54] ; [ 77 139],[28.36363636 52.63636364] ; [ 75.63636364 140.36363636],0
d1,1,0.710409,0.137868,[40 44] ; [110 110],[41.44736842 42.55263158] ; [108.55263158 111.44736842],0
r3,1,0.794182,0.06806,[77  6] ; [205  14],[77.50331126  5.49668874] ; [204.49668874  14.50331126],0
a8,1,0.844518,0.038462,[10 62] ; [ 27 181],[ 9.51428571 62.48571429] ; [ 27.48571429 180.51428571],0
u4,1,0.905687,0.014038,[ 1 83] ; [  3 217],[ 1.10526316 82.89473684] ; [  2.89473684 217.10526316],0
d5,1,0.918636,0.010435,[63 21] ; [163  56],[62.65346535 21.34653465] ; [163.34653465  55.65346535],0
n5,1,0.973114,0.001136,[60 24] ; [156  63],[59.88118812 24.11881188] ; [156.11881188  62.88118812],0
