Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-05,18.173862,[143  15] ; [24 14],[134.62244898  23.37755102] ; [32.37755102  5.62244898],1
p10,1,2.9e-05,17.46219,[140  17] ; [24 15],[131.36734694  25.63265306] ; [32.63265306  6.36734694],1
p2,1,0.005904,7.579523,[148  10] ; [31  8],[143.56345178  14.43654822] ; [35.43654822  3.56345178],0
p7,1,0.012257,6.273293,[127  27] ; [25 14],[121.28497409  32.71502591] ; [30.71502591  8.28497409],0
n1,1,0.025963,4.958493,[ 9 19] ; [9 4],[12.29268293 15.70731707] ; [5.70731707 7.29268293],0
s2,1,0.028966,4.769611,[83 74] ; [13 26],[76.89795918 80.10204082] ; [19.10204082 19.89795918],0
r3,1,0.034429,4.473276,[150   9] ; [32  6],[146.89340102  12.10659898] ; [35.10659898  2.89340102],0
p4,1,0.039325,4.246794,[113  46] ; [21 18],[107.60606061  51.39393939] ; [26.39393939 12.60606061],0
a5,1,0.039325,4.246794,[113  46] ; [21 18],[107.60606061  51.39393939] ; [26.39393939 12.60606061],0
s8,1,0.039847,4.224383,[78 81] ; [12 27],[72.27272727 86.72727273] ; [17.72727273 21.27272727],0
s6,1,0.061376,3.499812,[113  41] ; [22 16],[108.28125  45.71875] ; [26.71875 11.28125],0
b5,1,0.071754,3.24243,[89 70] ; [28 11],[93.95454545 65.04545455] ; [23.04545455 15.95454545],0
s5,1,0.080113,3.0626,[57 98] ; [ 8 29],[ 52.47395833 102.52604167] ; [12.52604167 24.47395833],0
v4,1,0.099838,2.708127,[152   6] ; [35  4],[149.97969543   8.02030457] ; [37.02030457  1.97969543],0
a6,1,0.105241,2.624262,[100  59] ; [19 20],[95.56060606 63.43939394] ; [23.43939394 15.56060606],0
r4,1,0.162588,1.949991,[140  19] ; [31  8],[137.31818182  21.68181818] ; [33.68181818  5.31818182],0
n4,1,0.194908,1.680122,[122  37] ; [26 13],[118.84848485  40.15151515] ; [29.15151515  9.84848485],0
d5,1,0.221379,1.495407,[124  34] ; [27 12],[121.10659898  36.89340102] ; [29.89340102  9.10659898],0
n2,1,0.24716,1.339286,[17 11] ; [11  3],[18.66666667  9.33333333] ; [9.33333333 4.66666667],0
p6,1,0.25198,1.312295,[81 77] ; [16 23],[77.79695431 80.20304569] ; [19.20304569 19.79695431],0
n5,1,0.272413,1.204558,[119  39] ; [26 13],[116.29441624  41.70558376] ; [28.70558376 10.29441624],0
u4,1,0.278796,1.172951,[  1 158] ; [ 1 38],[  1.60606061 157.39393939] ; [ 0.39393939 38.60606061],0
u2,1,0.282143,1.156738,[36 29] ; [6 9],[34.125 30.875] ; [7.875 7.125],0
a2,1,0.300381,1.0725,[ 27 132] ; [ 4 35],[ 24.89393939 134.10606061] ; [ 6.10606061 32.89393939],0
v3,1,0.341614,0.904365,[ 26 131] ; [ 9 30],[ 28.03571429 128.96428571] ; [ 6.96428571 32.03571429],0
u1,1,0.343308,0.898041,[ 16 143] ; [ 6 33],[ 17.66666667 141.33333333] ; [ 4.33333333 34.66666667],0
a8,1,0.349451,0.87545,[ 21 127] ; [ 3 33],[ 19.30434783 128.69565217] ; [ 4.69565217 31.30434783],0
d3,1,0.406712,0.688392,[103  56] ; [28 11],[105.1969697  53.8030303] ; [25.8030303 13.1969697],0
s1,1,0.411419,0.674698,[  7 150] ; [ 3 36],[  8.01020408 148.98979592] ; [ 1.98979592 37.01020408],0
p1,1,0.428746,0.626219,[ 17 140] ; [ 6 33],[ 18.42346939 138.57653061] ; [ 4.57653061 34.42346939],0
d4,1,0.461894,0.541302,[126  32] ; [29 10],[124.31472081  33.68527919] ; [30.68527919  8.31472081],0
b4,1,0.494868,0.465925,[80 79] ; [22 17],[81.90909091 77.09090909] ; [20.09090909 18.90909091],0
u3,1,0.502361,0.449946,[36 28] ; [7 8],[34.83544304 29.16455696] ; [8.16455696 6.83544304],0
a3,1,0.52018,0.413537,[94 65] ; [24 13],[95.7244898 63.2755102] ; [22.2755102 14.7244898],0
s3,1,0.521791,0.410353,[87 69] ; [19 19],[85.2371134 70.7628866] ; [20.7628866 17.2371134],0
n6,1,0.525241,0.40359,[136  22] ; [32  7],[134.74111675  23.25888325] ; [33.25888325  5.74111675],0
r1,1,0.573874,0.316243,[120  39] ; [27 11],[118.64467005  40.35532995] ; [28.35532995  9.64467005],0
a7,1,0.57602,0.312713,[111  48] ; [29 10],[112.42424242  46.57575758] ; [27.57575758 11.42424242],0
d2,1,0.598959,0.27657,[66 93] ; [18 21],[67.45454545 91.54545455] ; [16.54545455 22.45454545],0
a1,1,0.601324,0.273004,[  7 152] ; [ 1 38],[  6.42424242 152.57575758] ; [ 1.57575758 37.42424242],0
s4,1,0.612844,0.256055,[ 38 118] ; [ 8 31],[ 36.8 119.2] ; [ 9.2 29.8],0
a4,1,0.634745,0.225682,[61 98] ; [13 25],[59.72588832 99.27411168] ; [14.27411168 23.72588832],0
s7,1,0.684014,0.165642,[76 77] ; [17 20],[74.88947368 78.11052632] ; [18.11052632 18.88947368],0
b2,1,0.70816,0.140121,[30 68] ; [ 5 14],[29.31623932 68.68376068] ; [ 5.68376068 13.31623932],0
b3,1,0.70816,0.140121,[30 68] ; [ 5 14],[29.31623932 68.68376068] ; [ 5.68376068 13.31623932],0
p12,1,0.772295,0.083737,[ 10 147] ; [ 2 37],[  9.6122449 147.3877551] ; [ 2.3877551 36.6122449],0
