Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,6e-06,20.524626,[ 20 331] ; [17 62],[ 30.20232558 320.79767442] ; [ 6.79767442 72.20232558],1
s6,1,5.1e-05,16.420955,[141 209] ; [50 26],[156.92488263 193.07511737] ; [34.07511737 41.92488263],1
p12,1,6.6e-05,15.934939,[  7 340] ; [ 9 69],[ 13.06352941 333.93647059] ; [ 2.93647059 75.06352941],1
b5,1,0.000501,12.11132,[222 130] ; [33 46],[208.25986079 143.74013921] ; [46.74013921 32.25986079],1
r1,1,0.004398,8.111869,[263  87] ; [71  8],[272.49417249  77.50582751] ; [61.50582751 17.49417249],0
d2,1,0.004736,7.977665,[141 210] ; [45 33],[152.18181818 198.81818182] ; [33.81818182 44.18181818],0
p3,1,0.007671,7.108605,[146 204] ; [46 33],[156.64335664 193.35664336] ; [35.35664336 43.64335664],0
p7,1,0.013184,6.144266,[192 153] ; [56 23],[201.79245283 143.20754717] ; [46.20754717 32.79245283],0
s4,1,0.014034,6.033812,[ 27 323] ; [13 65],[ 32.71028037 317.28971963] ; [ 7.28971963 70.71028037],0
s8,1,0.017462,5.649383,[ 73 278] ; [26 52],[ 81. 270.] ; [18. 60.],0
a6,1,0.023128,5.1589,[255  97] ; [47 32],[246.6450116 105.3549884] ; [55.3549884 23.6450116],0
a8,1,0.028967,4.769594,[ 26 291] ; [12 60],[ 30.96658098 286.03341902] ; [ 7.03341902 64.96658098],0
a7,1,0.03319,4.535928,[255  97] ; [47 31],[247.21860465 104.78139535] ; [54.78139535 23.21860465],0
a5,1,0.041972,4.136328,[235 117] ; [62 17],[242.56148492 109.43851508] ; [54.43851508 24.56148492],0
d1,1,0.053147,3.7393,[176 176] ; [49 30],[183.7587007 168.2412993] ; [41.2412993 37.7587007],0
n1,1,0.064776,3.410669,[32 59] ; [11  8],[35.57272727 55.42727273] ; [ 7.42727273 11.57272727],0
p1,1,0.066678,3.362957,[ 23 327] ; [10 69],[ 26.92307692 323.07692308] ; [ 6.07692308 72.92307692],0
p10,1,0.076863,3.130014,[246 101] ; [63 15],[252.28941176  94.71058824] ; [56.71058824 21.28941176],0
u1,1,0.087636,2.917276,[ 38 314] ; [14 65],[ 42.46867749 309.53132251] ; [ 9.53132251 69.46867749],0
p6,1,0.091255,2.852098,[ 91 254] ; [28 50],[ 97.05673759 247.94326241] ; [21.94326241 56.05673759],0
a1,1,0.092817,2.824821,[ 12 340] ; [ 6 73],[ 14.70069606 337.29930394] ; [ 3.29930394 75.70069606],0
p4,1,0.096476,2.762862,[169 179] ; [46 32],[175.63380282 172.36619718] ; [39.36619718 38.63380282],0
b1,1,0.097004,2.754121,[121 231] ; [35 44],[127.40603248 224.59396752] ; [28.59396752 50.40603248],0
n6,1,0.110715,2.543979,[274  77] ; [68 11],[279.16744186  71.83255814] ; [62.83255814 16.16744186],0
v1,1,0.158501,1.988472,[170 176] ; [31 46],[164.41134752 181.58865248] ; [36.58865248 40.41134752],0
p8,1,0.163525,1.941322,[164 180] ; [44 34],[169.55450237 174.44549763] ; [38.44549763 39.55450237],0
b3,1,0.166661,1.912722,[ 70 134] ; [22 27],[ 74.18181818 129.81818182] ; [17.81818182 31.18181818],0
