Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,118.580242,[246  52] ; [ 45 103],[194.43497758 103.56502242] ; [96.56502242 51.43497758],1
n6,1,3e-06,21.846138,[256  44] ; [98 50],[237.05357143  62.94642857] ; [116.94642857  31.05357143],1
p11,1,7.4e-05,15.716466,[253  48] ; [101  48],[236.78666667  64.21333333] ; [117.21333333  31.78666667],1
r4,1,0.0001,15.14316,[282  19] ; [122  27],[270.23111111  30.76888889] ; [133.76888889  15.23111111],1
p4,1,0.000115,14.881089,[166 131] ; [54 94],[146.83146067 150.16853933] ; [73.16853933 74.83146067],1
a4,1,0.000194,13.890622,[133 167] ; [ 39 110],[114.922049 185.077951] ; [57.077951 91.922049],1
p10,1,0.000206,13.779816,[235  60] ; [93 54],[218.91402715  76.08597285] ; [109.08597285  37.91402715],1
v1,1,0.000282,13.185085,[157 136] ; [51 94],[139.14155251 153.85844749] ; [68.85844749 76.14155251],1
a8,1,0.000425,12.41722,[ 42 236] ; [  5 135],[ 31.25837321 246.74162679] ; [ 15.74162679 124.25837321],1
a5,1,0.000439,12.359686,[214  87] ; [81 68],[197.32222222 103.67777778] ; [97.67777778 51.32222222],1
d2,1,0.000471,12.225264,[142 157] ; [ 45 104],[124.80580357 174.19419643] ; [62.19419643 86.80580357],1
a2,1,0.000531,12.001869,[ 66 235] ; [ 13 136],[ 52.84222222 248.15777778] ; [ 26.15777778 122.84222222],1
p3,1,0.001028,10.776043,[133 166] ; [ 42 106],[117.05816555 181.94183445] ; [57.94183445 90.05816555],0
d5,1,0.003677,8.436923,[246  55] ; [103  45],[233.96213808  67.03786192] ; [115.03786192  32.96213808],0
r1,1,0.005308,7.771548,[238  61] ; [100  48],[226.08948546  72.91051454] ; [111.91051454  36.08948546],0
n1,1,0.005689,7.646418,[22 32] ; [ 9 45],[15.5 38.5] ; [15.5 38.5],0
v3,1,0.008847,6.853536,[100 188] ; [ 32 111],[ 88.20417633 199.79582367] ; [43.79582367 99.20417633],0
p2,1,0.013001,6.169012,[247  51] ; [107  40],[237.06067416  60.93932584] ; [116.93932584  30.06067416],0
d1,1,0.017859,5.609963,[169 132] ; [66 83],[157.18888889 143.81111111] ; [77.81111111 71.18888889],0
n3,1,0.018737,5.525903,[48  8] ; [36 18],[42.76363636 13.23636364] ; [41.23636364 12.76363636],0
b3,1,0.018817,5.518478,[ 61 107] ; [14 54],[ 53.38983051 114.61016949] ; [21.61016949 46.38983051],0
b2,1,0.018817,5.518478,[ 61 107] ; [14 54],[ 53.38983051 114.61016949] ; [21.61016949 46.38983051],0
p1,1,0.023623,5.122065,[ 25 275] ; [  4 143],[ 19.46308725 280.53691275] ; [  9.53691275 137.46308725],0
