Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.00026,13.341176,[35 70] ; [16  5],[42.5 62.5] ; [ 8.5 12.5],1
p8,1,0.004047,8.262463,[27 79] ; [12  9],[32.5511811 73.4488189] ; [ 6.4488189 14.5511811],0
p4,1,0.004929,7.90525,[40 65] ; [15  6],[45.83333333 59.16666667] ; [ 9.16666667 11.83333333],0
p2,1,0.00654,7.395255,[57 49] ; [18  3],[62.5984252 43.4015748] ; [12.4015748  8.5984252],0
p1,1,0.008944,6.833898,[  4 101] ; [ 4 17],[ 6.66666667 98.33333333] ; [ 1.33333333 19.66666667],0
n3,1,0.045641,3.994778,[16 20] ; [6 1],[18.41860465 17.58139535] ; [3.58139535 3.41860465],0
p3,1,0.056158,3.647368,[28 77] ; [10 11],[31.66666667 73.33333333] ; [ 6.33333333 14.66666667],0
n2,1,0.061732,3.490226,[17 19] ; [6 1],[19.25581395 16.74418605] ; [3.74418605 3.25581395],0
b1,1,0.068286,3.323738,[58 48] ; [16  5],[61.76377953 44.23622047] ; [12.23622047  8.76377953],0
s8,1,0.081327,3.038175,[23 83] ; [ 8 12],[26.07936508 79.92063492] ; [ 4.92063492 15.07936508],0
s6,1,0.089725,2.879305,[47 59] ; [13  7],[50.47619048 55.52380952] ; [ 9.52380952 10.47619048],0
b3,1,0.096112,2.768899,[14 51] ; [6 8],[16.4556962 48.5443038] ; [ 3.5443038 10.4556962],0
b2,1,0.096112,2.768899,[14 51] ; [6 8],[16.4556962 48.5443038] ; [ 3.5443038 10.4556962],0
a6,1,0.110246,2.550694,[70 36] ; [10 11],[66.77165354 39.22834646] ; [13.22834646  7.77165354],0
v4,1,0.147798,2.094835,[87 18] ; [20  1],[89.16666667 15.83333333] ; [17.83333333  3.16666667],0
r3,1,0.147798,2.094835,[87 18] ; [20  1],[89.16666667 15.83333333] ; [17.83333333  3.16666667],0
r4,1,0.157216,2.000807,[75 31] ; [18  3],[77.62204724 28.37795276] ; [15.37795276  5.62204724],0
u2,1,0.175441,1.835827,[16 19] ; [7 3],[17.88888889 17.11111111] ; [5.11111111 4.88888889],0
s5,1,0.208727,1.580236,[20 86] ; [ 6 13],[22.048 83.952] ; [ 3.952 15.048],0
s7,1,0.227289,1.457749,[30 70] ; [ 8 10],[32.20338983 67.79661017] ; [ 5.79661017 12.20338983],0
a3,1,0.234214,1.415086,[70 36] ; [11 10],[67.60629921 38.39370079] ; [13.39370079  7.60629921],0
b4,1,0.234214,1.415086,[70 36] ; [11 10],[67.60629921 38.39370079] ; [13.39370079  7.60629921],0
v3,1,0.235683,1.406232,[33 70] ; [ 4 17],[30.73387097 72.26612903] ; [ 6.26612903 14.73387097],0
v1,1,0.256648,1.286751,[32 74] ; [ 9 12],[34.22047244 71.77952756] ; [ 6.77952756 14.22047244],0
u1,1,0.266946,1.232372,[15 91] ; [ 5 16],[16.69291339 89.30708661] ; [ 3.30708661 17.69291339],0
a7,1,0.268961,1.222037,[73 32] ; [12  9],[70.83333333 34.16666667] ; [14.16666667  6.83333333],0
s3,1,0.271818,1.207547,[41 63] ; [11 10],[43.264 60.736] ; [ 8.736 12.264],0
n1,1,0.275667,1.188329,[10 26] ; [3 3],[11.14285714 24.85714286] ; [1.85714286 4.14285714],0
s2,1,0.324808,0.969488,[33 71] ; [ 9 12],[34.944 69.056] ; [ 7.056 13.944],0
a5,1,0.386709,0.749266,[71 35] ; [12  9],[69.27559055 36.72440945] ; [13.72440945  7.27559055],0
r1,1,0.400588,0.70656,[80 26] ; [14  7],[78.45669291 27.54330709] ; [15.54330709  5.45669291],0
p11,1,0.403552,0.697717,[50 56] ; [12  9],[51.7480315 54.2519685] ; [10.2519685 10.7480315],0
