Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.498154,[39 30] ; [63  5],[51.37226277 17.62773723] ; [50.62773723 17.37226277],1
r2,1,2e-06,22.318255,[37 28] ; [62  5],[48.75 16.25] ; [50.25 16.75],1
p10,1,0.000336,12.858345,[29 39] ; [49 18],[39.28888889 28.71111111] ; [38.71111111 28.28888889],1
n6,1,0.001217,10.464422,[38 31] ; [55 13],[46.83941606 22.16058394] ; [46.16058394 21.83941606],0
p11,1,0.001355,10.265738,[30 39] ; [48 20],[39.28467153 29.71532847] ; [38.71532847 29.28467153],0
p9,1,0.003465,8.544704,[38 27] ; [54 12],[45.64885496 19.35114504] ; [46.35114504 19.64885496],0
a7,1,0.005492,7.709961,[30 39] ; [45 22],[38.05147059 30.94852941] ; [36.94852941 30.05147059],0
b5,1,0.005957,7.563239,[35 34] ; [50 18],[42.81021898 26.18978102] ; [42.18978102 25.81021898],0
n2,1,0.006421,7.428313,[15 13] ; [22  3],[19.54716981  8.45283019] ; [17.45283019  7.54716981],0
s8,1,0.021888,5.254697,[10 59] ; [21 47],[15.61313869 53.38686131] ; [15.38686131 52.61313869],0
p2,1,0.035463,4.422764,[35 33] ; [47 21],[41. 27.] ; [41. 27.],0
s6,1,0.039632,4.233551,[23 46] ; [34 33],[28.91911765 40.08088235] ; [28.08088235 38.91911765],0
u3,1,0.04217,4.12837,[ 6 21] ; [11 11],[ 9.36734694 17.63265306] ; [ 7.63265306 14.36734694],0
p3,1,0.042504,4.115029,[16 52] ; [27 41],[21.5 46.5] ; [21.5 46.5],0
p4,1,0.042917,4.09867,[19 50] ; [30 38],[24.67883212 44.32116788] ; [24.32116788 43.67883212],0
s2,1,0.042917,4.09867,[19 50] ; [30 38],[24.67883212 44.32116788] ; [24.32116788 43.67883212],0
b1,1,0.049327,3.864177,[40 29] ; [28 40],[34.24817518 34.75182482] ; [33.75182482 34.24817518],0
s3,1,0.05592,3.654453,[23 45] ; [34 34],[28.5 39.5] ; [28.5 39.5],0
s5,1,0.058557,3.577789,[10 57] ; [18 45],[14.43076923 52.56923077] ; [13.56923077 49.43076923],0
p7,1,0.078248,3.100929,[18 51] ; [27 40],[22.83088235 46.16911765] ; [22.16911765 44.83088235],0
n1,1,0.085821,2.951072,[ 8 20] ; [12 11],[10.98039216 17.01960784] ; [ 9.01960784 13.98039216],0
a1,1,0.121915,2.39254,[ 8 61] ; [ 3 65],[ 5.54014599 63.45985401] ; [ 5.45985401 62.54014599],0
d5,1,0.122763,2.381706,[43 26] ; [50 17],[47.18382353 21.81617647] ; [45.81617647 21.18382353],0
u2,1,0.174623,1.842803,[ 8 18] ; [11 11],[10.29166667 15.70833333] ; [ 8.70833333 13.29166667],0
a6,1,0.190145,1.716494,[36 33] ; [43 25],[39.78832117 29.21167883] ; [39.21167883 28.78832117],0
s7,1,0.22056,1.500722,[16 48] ; [23 43],[19.2 44.8] ; [19.8 46.2],0
p6,1,0.235535,1.40712,[11 55] ; [17 51],[13.79104478 52.20895522] ; [14.20895522 53.79104478],0
a8,1,0.306577,1.045364,[ 5 63] ; [ 8 55],[ 6.7480916 61.2519084] ; [ 6.2519084 56.7480916],0
n3,1,0.415638,0.662615,[16 12] ; [17  8],[17.43396226 10.56603774] ; [15.56603774  9.43396226],0
b4,1,0.430457,0.621591,[37 32] ; [41 27],[39.28467153 29.71532847] ; [38.71532847 29.28467153],0
n5,1,0.435933,0.606965,[47 22] ; [42 26],[44.82481752 24.17518248] ; [44.17518248 23.82481752],0
a3,1,0.472917,0.515152,[42 26] ; [46 22],[44. 24.] ; [44. 24.],0
a4,1,0.476855,0.506047,[23 45] ; [27 41],[25. 43.] ; [25. 43.],0
s4,1,0.481447,0.495584,[11 58] ; [14 54],[12.59124088 56.40875912] ; [12.40875912 55.59124088],0
v3,1,0.516096,0.421688,[14 55] ; [16 48],[15.56390977 53.43609023] ; [14.43609023 49.56390977],0
d2,1,0.537989,0.37928,[32 36] ; [28 39],[30.22222222 37.77777778] ; [29.77777778 37.22222222],0
s1,1,0.542095,0.371671,[ 1 68] ; [ 2 65],[ 1.52205882 67.47794118] ; [ 1.47794118 65.52205882],0
p5,1,0.624682,0.239342,[ 2 67] ; [ 3 64],[ 2.53676471 66.46323529] ; [ 2.46323529 64.53676471],0
v1,1,0.625008,0.238892,[21 44] ; [24 42],[22.32824427 42.67175573] ; [22.67175573 43.32824427],0
d4,1,0.62697,0.236192,[45 24] ; [47 21],[46.33576642 22.66423358] ; [45.66423358 22.33576642],0
d3,1,0.664413,0.188207,[34 34] ; [36 31],[35.25925926 32.74074074] ; [34.74074074 32.25925926],0
u1,1,0.747296,0.103817,[ 5 64] ; [ 4 64],[ 4.53284672 64.46715328] ; [ 4.46715328 63.53284672],0
a2,1,0.770813,0.084862,[ 8 61] ; [ 9 59],[ 8.5620438 60.4379562] ; [ 8.4379562 59.5620438],0
b2,1,0.857154,0.032399,[17 24] ; [17 26],[16.5952381 24.4047619] ; [17.4047619 25.5952381],0
b3,1,0.857154,0.032399,[17 24] ; [17 26],[16.5952381 24.4047619] ; [17.4047619 25.5952381],0
v2,1,0.898681,0.016212,[23 44] ; [23 42],[23.34848485 43.65151515] ; [22.65151515 42.34848485],0
n4,1,0.911658,0.012309,[43 26] ; [43 25],[43.31386861 25.68613139] ; [42.68613139 25.31386861],0
d1,1,0.916914,0.010883,[28 41] ; [27 41],[27.70072993 41.29927007] ; [27.29927007 40.70072993],0
a5,1,0.934349,0.006786,[36 33] ; [35 33],[35.75912409 33.24087591] ; [35.24087591 32.75912409],0
p1,1,0.978881,0.000701,[ 6 63] ; [ 6 62],[ 6.04379562 62.95620438] ; [ 5.95620438 62.04379562],0
p12,1,0.991703,0.000108,[ 1 68] ; [ 1 67],[ 1.00729927 67.99270073] ; [ 0.99270073 67.00729927],0
