Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,148.912441,[425  22] ; [30 38],[394.9223301  52.0776699] ; [60.0776699  7.9223301],1
p11,1,0.0,29.608446,[391  56] ; [44 27],[375.37644788  71.62355212] ; [59.62355212 11.37644788],1
d5,1,2e-06,22.926676,[380  65] ; [44 27],[365.65891473  79.34108527] ; [58.34108527 12.65891473],1
a5,1,6e-06,20.479457,[351  96] ; [38 33],[335.68146718 111.31853282] ; [53.31853282 17.68146718],1
a3,1,1.2e-05,19.218608,[345 100] ; [37 33],[330.0776699 114.9223301] ; [51.9223301 18.0776699],1
n6,1,1.3e-05,19.071946,[395  48] ; [49 21],[383.41520468  59.58479532] ; [60.58479532  9.41520468],1
n5,1,1.6e-05,18.611541,[357  87] ; [40 30],[342.93385214 101.06614786] ; [54.06614786 15.93385214],1
s6,1,3.1e-05,17.347622,[317 116] ; [34 36],[302.15308151 130.84691849] ; [48.84691849 21.15308151],1
s8,1,0.000116,14.853717,[231 214] ; [19 51],[216.01941748 228.98058252] ; [33.98058252 36.01941748],1
p4,1,0.000228,13.585516,[332 115] ; [37 33],[319.03868472 127.96131528] ; [49.96131528 20.03868472],1
s7,1,0.000494,12.137085,[244 183] ; [23 44],[230.78744939 196.21255061] ; [36.21255061 30.78744939],1
d4,1,0.000583,11.829319,[380  66] ; [48 22],[369.9379845  76.0620155] ; [58.0620155 11.9379845],1
d1,1,0.000584,11.826811,[279 168] ; [29 42],[265.78378378 181.21621622] ; [42.21621622 28.78378378],1
v1,1,0.000733,11.404459,[262 174] ; [27 43],[249.01976285 186.98023715] ; [39.98023715 30.01976285],1
p3,1,0.001441,10.1532,[284 163] ; [31 40],[271.82432432 175.17567568] ; [43.17567568 27.82432432],0
s2,1,0.002099,9.46078,[243 200] ; [25 46],[230.98054475 212.01945525] ; [37.01945525 33.98054475],0
n4,1,0.002543,9.109497,[364  83] ; [46 24],[354.48742747  92.51257253] ; [55.51257253 14.48742747],0
r3,1,0.003031,8.788629,[431  12] ; [64  7],[426.62451362  16.37548638] ; [68.37548638  2.62451362],0
s5,1,0.003766,8.393206,[178 256] ; [16 54],[167.05555556 266.94444444] ; [26.94444444 43.05555556],0
v3,1,0.004967,7.89132,[195 238] ; [19 51],[184.21868787 248.78131213] ; [29.78131213 40.21868787],0
p8,1,0.006049,7.53578,[318 127] ; [38 31],[308.21011673 136.78988327] ; [47.78988327 21.21011673],0
r1,1,0.00621,7.488318,[376  68] ; [50 20],[367.9844358  76.0155642] ; [58.0155642 11.9844358],0
r4,1,0.018058,5.590532,[415  32] ; [60 11],[409.89382239  37.10617761] ; [65.10617761  5.89382239],0
b5,1,0.019699,5.438365,[249 198] ; [50 21],[258.01737452 188.98262548] ; [40.98262548 30.01737452],0
p5,1,0.02227,5.224555,[ 71 375] ; [ 4 67],[ 64.70019342 381.29980658] ; [10.29980658 60.70019342],0
v2,1,0.025379,4.997838,[262 170] ; [32 37],[253.50898204 178.49101796] ; [40.49101796 28.50898204],0
r2,1,0.028607,4.791118,[418  21] ; [63  8],[414.0372549  24.9627451] ; [66.9627451  4.0372549],0
b2,1,0.028991,4.768161,[114 168] ; [ 9 31],[107.72049689 174.27950311] ; [15.27950311 24.72049689],0
b3,1,0.028991,4.768161,[114 168] ; [ 9 31],[107.72049689 174.27950311] ; [15.27950311 24.72049689],0
a4,1,0.039982,4.218656,[209 237] ; [24 47],[201.00193424 244.99806576] ; [31.99806576 39.00193424],0
a6,1,0.044211,4.048501,[311 135] ; [41 30],[303.65957447 142.34042553] ; [48.34042553 22.65957447],0
p6,1,0.062957,3.457716,[224 221] ; [26 42],[216.86159844 228.13840156] ; [33.13840156 34.86159844],0
p12,1,0.07076,3.265301,[ 41 405] ; [ 2 69],[ 37.09477756 408.90522244] ; [ 5.90522244 65.09477756],0
u2,1,0.095067,2.786405,[62 38] ; [15 18],[57.89473684 42.10526316] ; [19.10526316 13.89473684],0
a2,1,0.101463,2.682391,[123 324] ; [13 58],[117.35907336 329.64092664] ; [18.64092664 52.35907336],0
a7,1,0.128504,2.310488,[327 118] ; [46 25],[321.67635659 123.32364341] ; [51.32364341 19.67635659],0
d3,1,0.151192,2.060179,[325 120] ; [46 25],[319.95155039 125.04844961] ; [51.04844961 19.95155039],0
u3,1,0.193107,1.693752,[57 43] ; [15 19],[53.73134328 46.26865672] ; [18.26865672 15.73134328],0
