Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.737148,[ 3 13] ; [88 14],[12.33898305  3.66101695] ; [78.66101695 23.33898305],1
r2,1,0.000137,14.538971,[9 6] ; [95  7],[13.33333333  1.66666667] ; [90.66666667 11.33333333],1
v4,1,0.000274,13.242476,[10  6] ; [95  7],[14.23728814  1.76271186] ; [90.76271186 11.23728814],1
a7,1,0.002888,8.87662,[ 5 11] ; [71 31],[10.30508475  5.69491525] ; [65.69491525 36.30508475],0
r1,1,0.004815,7.947651,[7 9] ; [79 23],[11.66101695  4.33898305] ; [74.33898305 27.66101695],0
p11,1,0.009264,6.771257,[ 4 12] ; [61 41],[8.81355932 7.18644068] ; [56.18644068 45.81355932],0
d5,1,0.012264,6.272247,[7 9] ; [76 26],[11.25423729  4.74576271] ; [71.74576271 30.25423729],0
p2,1,0.017456,5.649928,[ 5 11] ; [64 38],[9.3559322 6.6440678] ; [59.6440678 42.3559322],0
d4,1,0.026807,4.903215,[8 8] ; [78 24],[11.66101695  4.33898305] ; [74.33898305 27.66101695],0
v1,1,0.032339,4.580459,[ 2 14] ; [41 61],[ 5.83050847 10.16949153] ; [37.16949153 64.83050847],0
a6,1,0.032443,4.574951,[ 5 11] ; [61 41],[8.94915254 7.05084746] ; [57.05084746 44.94915254],0
d1,1,0.053003,3.74381,[ 4 12] ; [52 50],[7.59322034 8.40677966] ; [48.40677966 53.59322034],0
s4,1,0.064216,3.425013,[ 5 11] ; [13 86],[ 2.50434783 13.49565217] ; [15.49565217 83.50434783],0
s6,1,0.077538,3.115774,[ 5 11] ; [55 45],[8.27586207 7.72413793] ; [51.72413793 48.27586207],0
d3,1,0.079711,3.07079,[ 6 10] ; [62 40],[9.22033898 6.77966102] ; [58.77966102 43.22033898],0
p12,1,0.128958,2.304999,[ 1 15] ; [  1 101],[ 0.27118644 15.72881356] ; [  1.72881356 100.27118644],0
s3,1,0.140747,2.16977,[ 4 12] ; [45 56],[6.7008547 9.2991453] ; [42.2991453 58.7008547],0
s8,1,0.188627,1.72831,[ 2 14] ; [28 72],[ 4.13793103 11.86206897] ; [25.86206897 74.13793103],0
p3,1,0.206906,1.592942,[ 3 13] ; [35 66],[ 5.1965812 10.8034188] ; [32.8034188 68.1965812],0
a2,1,0.219865,1.50525,[ 1 15] ; [19 83],[ 2.71186441 13.28813559] ; [17.28813559 84.71186441],0
d2,1,0.227624,1.45565,[ 5 10] ; [51 51],[7.17948718 7.82051282] ; [48.82051282 53.17948718],0
p7,1,0.228204,1.45202,[ 5 10] ; [50 50],[7.17391304 7.82608696] ; [47.82608696 52.17391304],0
a4,1,0.231415,1.432144,[ 3 12] ; [36 65],[5.04310345 9.95689655] ; [33.95689655 67.04310345],0
u1,1,0.248834,1.329839,[ 1 15] ; [18 84],[ 2.57627119 13.42372881] ; [16.42372881 85.57627119],0
v2,1,0.302456,1.063333,[ 5 11] ; [45 55],[6.89655172 9.10344828] ; [43.10344828 56.89655172],0
a5,1,0.326892,0.96117,[7 9] ; [58 44],[8.81355932 7.18644068] ; [56.18644068 45.81355932],0
s1,1,0.334108,0.93291,[ 2 14] ; [ 6 95],[ 1.09401709 14.90598291] ; [ 6.90598291 94.09401709],0
p4,1,0.3374,0.920284,[ 5 10] ; [47 54],[6.72413793 8.27586207] ; [45.27586207 55.72413793],0
p10,1,0.354408,0.857612,[ 3 13] ; [30 70],[ 4.55172414 11.44827586] ; [28.44827586 71.55172414],0
s5,1,0.374593,0.788373,[ 2 14] ; [22 77],[ 3.33913043 12.66086957] ; [20.66086957 78.33913043],0
n3,1,0.385223,0.753968,[4 4] ; [20 10],[5.05263158 2.94736842] ; [18.94736842 11.05263158],0
s7,1,0.387632,0.746358,[ 4 12] ; [35 62],[ 5.52212389 10.47787611] ; [33.47787611 63.52212389],0
p6,1,0.397325,0.716407,[ 2 13] ; [23 77],[ 3.26086957 11.73913043] ; [21.73913043 78.26086957],0
n4,1,0.409273,0.680913,[10  6] ; [74 28],[11.38983051  4.61016949] ; [72.61016949 29.38983051],0
p1,1,0.429626,0.623833,[ 2 14] ; [ 7 95],[ 1.22033898 14.77966102] ; [ 7.77966102 94.22033898],0
n5,1,0.461524,0.542197,[12  4] ; [67 35],[10.71186441  5.28813559] ; [68.28813559 33.71186441],0
u2,1,0.476485,0.506897,[2 5] ; [18 24],[2.85714286 4.14285714] ; [17.14285714 24.85714286],0
s2,1,0.636915,0.222799,[ 5 11] ; [37 62],[ 5.84347826 10.15652174] ; [36.15652174 62.84347826],0
b2,1,0.727943,0.121008,[3 9] ; [18 42],[3.5 8.5] ; [17.5 42.5],0
b3,1,0.727943,0.121008,[3 9] ; [18 42],[3.5 8.5] ; [17.5 42.5],0
n2,1,0.739805,0.110298,[6 3] ; [21  8],[6.39473684 2.60526316] ; [20.60526316  8.39473684],0
v3,1,0.78973,0.071108,[ 5 11] ; [35 66],[ 5.47008547 10.52991453] ; [34.52991453 66.47008547],0
u3,1,0.810501,0.057495,[3 4] ; [21 23],[3.29411765 3.70588235] ; [20.70588235 23.29411765],0
p8,1,0.869174,0.027129,[ 5 11] ; [34 68],[ 5.28813559 10.71186441] ; [33.71186441 68.28813559],0
n1,1,0.870754,0.026472,[4 5] ; [12 17],[3.78947368 5.21052632] ; [12.21052632 16.78947368],0
b5,1,0.895913,0.017115,[10  6] ; [62 40],[9.76271186 6.23728814] ; [62.23728814 39.76271186],0
b1,1,0.919719,0.010158,[9 7] ; [56 46],[8.81355932 7.18644068] ; [56.18644068 45.81355932],0
a1,1,0.953845,0.00335,[ 1 15] ; [ 6 96],[ 0.94915254 15.05084746] ; [ 6.05084746 95.94915254],0
b4,1,0.955104,0.003169,[10  6] ; [63 39],[9.89830508 6.10169492] ; [63.10169492 38.89830508],0
a3,1,0.96331,0.002116,[9 7] ; [58 44],[9.08474576 6.91525424] ; [57.91525424 44.08474576],0
