Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000286,13.160315,[22 92] ; [16 15],[29.87586207 84.12413793] ; [ 8.12413793 22.87586207],1
p4,1,0.000379,12.631579,[21 93] ; [15 15],[28.5 85.5] ; [ 7.5 22.5],1
p7,1,0.000654,11.617024,[25 85] ; [16 13],[32.44604317 77.55395683] ; [ 8.55395683 20.44604317],1
p6,1,0.00086,11.106163,[  8 104] ; [ 9 22],[13.31468531 98.68531469] ; [ 3.68531469 27.31468531],1
p5,1,0.006289,7.465504,[  2 110] ; [ 4 27],[  4.6993007 107.3006993] ; [ 1.3006993 29.6993007],0
s7,1,0.048699,3.885714,[36 72] ; [ 4 24],[31.76470588 76.23529412] ; [ 8.23529412 19.76470588],0
v2,1,0.060933,3.511803,[41 68] ; [17 13],[45.48201439 63.51798561] ; [12.51798561 17.48201439],0
n4,1,0.066226,3.374177,[79 35] ; [16 15],[74.68965517 39.31034483] ; [20.31034483 10.68965517],0
p10,1,0.092453,2.831136,[50 63] ; [19 12],[54.14583333 58.85416667] ; [14.85416667 16.14583333],0
s4,1,0.117592,2.449097,[15 99] ; [ 1 30],[ 12.57931034 101.42068966] ; [ 3.42068966 27.57931034],0
b1,1,0.11762,2.448724,[59 56] ; [11 20],[55.1369863 59.8630137] ; [14.8630137 16.1369863],0
s3,1,0.144135,2.133253,[47 67] ; [ 8 22],[43.54166667 70.45833333] ; [11.45833333 18.54166667],0
u1,1,0.156191,2.010726,[19 96] ; [ 2 29],[16.54109589 98.45890411] ; [ 4.45890411 26.54109589],0
b2,1,0.177847,1.815522,[32 46] ; [ 4 13],[29.55789474 48.44210526] ; [ 6.44210526 10.55789474],0
b3,1,0.177847,1.815522,[32 46] ; [ 4 13],[29.55789474 48.44210526] ; [ 6.44210526 10.55789474],0
p9,1,0.197196,1.663023,[53 57] ; [19 12],[56.17021277 53.82978723] ; [15.82978723 15.17021277],0
a1,1,0.211013,1.56446,[ 12 103] ; [ 1 30],[ 10.23972603 104.76027397] ; [ 2.76027397 28.23972603],0
n2,1,0.270915,1.21211,[29 18] ; [8 2],[30.50877193 16.49122807] ; [6.49122807 3.50877193],0
b4,1,0.283785,1.148874,[68 47] ; [15 16],[65.37671233 49.62328767] ; [17.62328767 13.37671233],0
n5,1,0.294178,1.100404,[77 36] ; [18 13],[74.54861111 38.45138889] ; [20.45138889 10.54861111],0
s1,1,0.298695,1.080009,[  8 105] ; [ 4 27],[  9.41666667 103.58333333] ; [ 2.58333333 28.41666667],0
a6,1,0.313013,1.017919,[62 52] ; [20 11],[64.46896552 49.53103448] ; [17.53103448 13.46896552],0
d2,1,0.324549,0.970527,[55 58] ; [12 19],[52.57638889 60.42361111] ; [14.42361111 16.57638889],0
n6,1,0.35465,0.856751,[75 39] ; [17 13],[72.83333333 41.16666667] ; [19.16666667 10.83333333],0
a2,1,0.366389,0.815875,[23 92] ; [ 4 27],[21.26712329 93.73287671] ; [ 5.73287671 25.26712329],0
d5,1,0.373812,0.790953,[76 38] ; [18 13],[73.90344828 40.09655172] ; [20.09655172 10.90344828],0
a3,1,0.404722,0.694252,[74 40] ; [17 13],[72.04166667 41.95833333] ; [18.95833333 11.04166667],0
v4,1,0.426343,0.632765,[84 30] ; [25  6],[85.69655172 28.30344828] ; [23.30344828  7.69655172],0
a4,1,0.43143,0.61897,[47 67] ; [10 20],[45.125 68.875] ; [11.875 18.125],0
