Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,75.044118,[ 5 44] ; [251  92],[32. 17.] ; [224. 119.],1
d3,1,0.0,38.130465,[17 31] ; [267  76],[34.86445013 13.13554987] ; [249.13554987  93.86445013],1
d5,1,0.0,26.435368,[28 20] ; [300  43],[40.26598465  7.73401535] ; [287.73401535  55.26598465],1
d2,1,2.8e-05,17.53405,[12 37] ; [193 149],[25.69053708 23.30946292] ; [179.30946292 162.69053708],1
a4,1,0.000762,11.331104,[12 37] ; [172 171],[23. 26.] ; [161. 182.],1
u2,1,0.001019,10.792372,[ 6 15] ; [50 23],[12.5106383  8.4893617] ; [43.4893617 29.5106383],0
a2,1,0.001309,10.329562,[ 4 45] ; [103 240],[13.375 35.625] ; [ 93.625 249.375],0
a3,1,0.001456,10.132879,[28 21] ; [267  75],[36.96930946 12.03069054] ; [258.03069054  83.96930946],0
v4,1,0.001702,9.845512,[43  5] ; [334   7],[46.51928021  1.48071979] ; [330.48071979  10.51928021],0
r3,1,0.007928,7.049637,[44  5] ; [331   9],[47.23650386  1.76349614] ; [327.76349614  12.23650386],0
a5,1,0.009506,6.725118,[30 19] ; [268  75],[37.25 11.75] ; [260.75  82.25],0
u3,1,0.009962,6.641616,[ 9 12] ; [54 20],[13.92631579  7.07368421] ; [49.07368421 24.92631579],0
r1,1,0.01067,6.519521,[33 15] ; [286  55],[39.36246787  8.63753213] ; [279.63753213  61.36246787],0
p11,1,0.011259,6.423918,[32 17] ; [278  65],[38.75 10.25] ; [271.25  71.75],0
u1,1,0.012738,6.205198,[ 4 45] ; [ 82 261],[10.75 38.25] ; [ 75.25 267.75],0
v1,1,0.014246,6.007416,[20 29] ; [196 134],[27.92612137 21.07387863] ; [188.07387863 141.92612137],0
p3,1,0.01784,5.611809,[19 29] ; [198 145],[26.63938619 21.36061381] ; [190.36061381 152.63938619],0
v2,1,0.018306,5.566623,[21 28] ; [199 129],[28.59416446 20.40583554] ; [191.40583554 136.59416446],0
b2,1,0.02173,5.267267,[ 7 26] ; [ 87 119],[12.9790795 20.0209205] ; [ 81.0209205 124.9790795],0
b3,1,0.02173,5.267267,[ 7 26] ; [ 87 119],[12.9790795 20.0209205] ; [ 81.0209205 124.9790795],0
p8,1,0.028006,4.827724,[21 28] ; [201 137],[28.10852713 20.89147287] ; [193.89147287 144.10852713],0
r4,1,0.041865,4.140651,[41  8] ; [317  26],[44.75  4.25] ; [313.25  29.75],0
p4,1,0.053794,3.71909,[28 21] ; [242 100],[33.83631714 15.16368286] ; [236.16368286 105.83631714],0
v3,1,0.065818,3.384362,[15 34] ; [147 183],[20.94459103 28.05540897] ; [141.05540897 188.94459103],0
s6,1,0.072611,3.222994,[37 10] ; [297  40],[40.88020833  6.11979167] ; [293.11979167  43.88020833],0
a7,1,0.079278,3.079647,[31 17] ; [261  81],[35.93846154 12.06153846] ; [256.06153846  85.93846154],0
s5,1,0.086059,2.946594,[18 30] ; [165 160],[23.54959786 24.45040214] ; [159.45040214 165.54959786],0
n2,1,0.114308,2.493622,[14  1] ; [47 16],[11.73076923  3.26923077] ; [49.26923077 13.73076923],0
p9,1,0.119976,2.417637,[41  8] ; [307  31],[44.0620155  4.9379845] ; [303.9379845  34.0620155],0
a6,1,0.149891,2.073364,[28 21] ; [231 111],[32.45780051 16.54219949] ; [226.54219949 115.45780051],0
n4,1,0.155952,2.013044,[35 13] ; [279  63],[38.64615385  9.35384615] ; [275.35384615  66.64615385],0
n3,1,0.163517,1.941401,[13  2] ; [44 20],[10.82278481  4.17721519] ; [46.17721519 17.82278481],0
s4,1,0.180669,1.792112,[15 33] ; [ 76 262],[11.31606218 36.68393782] ; [ 79.68393782 258.31606218],0
b4,1,0.202675,1.622994,[24 25] ; [201 142],[28.125 20.875] ; [196.875 146.125],0
p6,1,0.20787,1.586203,[18 31] ; [157 182],[22.10051546 26.89948454] ; [152.89948454 186.10051546],0
a1,1,0.223053,1.484624,[ 1 48] ; [ 22 321],[ 2.875 46.125] ; [ 20.125 322.875],0
b5,1,0.274821,1.192525,[26 23] ; [210 133],[29.5 19.5] ; [206.5 136.5],0
p5,1,0.433964,0.612191,[ 5 44] ; [ 49 293],[ 6.76726343 42.23273657] ; [ 47.23273657 294.76726343],0
s1,1,0.491778,0.472633,[ 1 47] ; [ 14 325],[ 1.86046512 46.13953488] ; [ 13.13953488 325.86046512],0
n5,1,0.568721,0.324827,[37 11] ; [274  66],[38.4742268  9.5257732] ; [272.5257732  67.4742268],0
p10,1,0.570138,0.322451,[41  7] ; [301  40],[42.20051414  5.79948586] ; [299.79948586  41.20051414],0
s8,1,0.590654,0.289324,[29 20] ; [216 126],[30.70332481 18.29667519] ; [214.29667519 127.70332481],0
p7,1,0.600955,0.273558,[33 16] ; [235  96],[34.55789474 14.44210526] ; [233.44210526  97.55789474],0
s3,1,0.612714,0.256241,[42  7] ; [300  40],[43.07969152  5.92030848] ; [298.92030848  41.07969152],0
n6,1,0.628892,0.233566,[42  7] ; [297  40],[43.03367876  5.96632124] ; [295.96632124  41.03367876],0
u4,1,0.657568,0.196491,[ 1 48] ; [ 11 332],[ 1.5 47.5] ; [ 10.5 332.5],0
b1,1,0.724687,0.124046,[18 31] ; [135 208],[19.125 29.875] ; [133.875 209.125],0
s7,1,0.783629,0.075401,[35 13] ; [235  96],[34.19525066 13.80474934] ; [235.80474934  95.19525066],0
p1,1,0.801258,0.063363,[ 5 44] ; [ 31 310],[ 4.52307692 44.47692308] ; [ 31.47692308 309.52307692],0
r2,1,0.827679,0.047384,[46  2] ; [327  12],[46.26356589  1.73643411] ; [326.73643411  12.26356589],0
a8,1,0.935197,0.006611,[ 7 36] ; [ 53 263],[ 7.18662953 35.81337047] ; [ 52.81337047 263.18662953],0
n1,1,0.981985,0.00051,[6 9] ; [25 38],[5.96153846 9.03846154] ; [25.03846154 37.96153846],0
