Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,99.734646,[ 41 219] ; [195 156],[100.42553191 159.57446809] ; [135.57446809 215.42553191],1
v1,1,0.0,37.655112,[102 158] ; [225 125],[139.37704918 120.62295082] ; [187.62295082 162.37704918],1
r1,1,1.5e-05,18.718243,[189  75] ; [306  51],[210.43478261  53.56521739] ; [284.56521739  72.43478261],1
a5,1,4e-05,16.878621,[175  89] ; [290  69],[197.04654896  66.95345104] ; [267.95345104  91.04654896],1
r3,1,0.000133,14.596164,[241  21] ; [352   6],[250.59032258  11.40967742] ; [342.40967742  15.59032258],1
d1,1,0.000599,11.779886,[136 128] ; [234 125],[156.78972713 107.21027287] ; [213.21027287 145.78972713],1
d5,1,0.00183,9.713178,[200  62] ; [309  50],[214.74718196  47.25281804] ; [294.25281804  64.74718196],0
r4,1,0.002368,9.239599,[226  38] ; [334  25],[237.30337079  26.69662921] ; [322.69662921  36.30337079],0
a3,1,0.004134,8.223829,[173  90] ; [273  85],[188.88566828  74.11433172] ; [257.11433172 100.88566828],0
d2,1,0.005016,7.873748,[106 157] ; [185 173],[123.24154589 139.75845411] ; [167.75845411 190.24154589],0
n4,1,0.007177,7.228168,[189  75] ; [290  69],[202.97913323  61.02086677] ; [276.02086677  82.97913323],0
u1,1,0.0124,6.25279,[ 36 228] ; [ 77 282],[ 47.88443018 216.11556982] ; [ 65.11556982 293.88443018],0
p3,1,0.012493,6.239583,[114 149] ; [192 167],[129.38585209 133.61414791] ; [176.61414791 182.38585209],0
d4,1,0.015155,5.898364,[206  57] ; [308  51],[217.33440514  45.66559486] ; [296.66559486  62.33440514],0
d3,1,0.01735,5.660655,[171  91] ; [266  93],[184.37037037  77.62962963] ; [252.62962963 106.37037037],0
a2,1,0.018916,5.509296,[ 50 214] ; [ 97 262],[ 62.29213483 201.70786517] ; [ 84.70786517 274.29213483],0
s4,1,0.021703,5.269425,[ 59 202] ; [ 55 303],[ 48.06785137 212.93214863] ; [ 65.93214863 292.06785137],0
p7,1,0.027942,4.83164,[156 102] ; [243 109],[168.75737705  89.24262295] ; [230.24262295 121.75737705],0
n6,1,0.035757,4.408663,[217  46] ; [314  41],[225.97572816  37.02427184] ; [305.02427184  49.97572816],0
a7,1,0.038932,4.263838,[181  82] ; [273  85],[192.27375201  70.72624799] ; [261.72624799  96.27375201],0
s7,1,0.039324,4.246822,[113 140] ; [183 161],[125.44053601 127.55946399] ; [170.55946399 173.44053601],0
a6,1,0.047084,3.942395,[169  95] ; [256 102],[180.38585209  83.61414791] ; [244.61414791 113.38585209],0
n5,1,0.048141,3.905045,[191  72] ; [282  73],[201.29288026  61.70711974] ; [271.70711974  83.29288026],0
r2,1,0.049728,3.850602,[243  19] ; [339  13],[248.34527687  13.65472313] ; [333.65472313  18.34527687],0
p12,1,0.069518,3.294368,[ 10 253] ; [ 26 333],[ 15.22186495 247.77813505] ; [ 20.77813505 338.22186495],0
s8,1,0.071862,3.239976,[108 156] ; [172 185],[119.03381643 144.96618357] ; [160.96618357 196.03381643],0
a4,1,0.079925,3.066426,[106 158] ; [169 189],[116.72025723 147.27974277] ; [158.27974277 199.72025723],0
b1,1,0.125057,2.352814,[104 160] ; [120 239],[ 94.92134831 169.07865169] ; [129.07865169 229.92134831],0
p9,1,0.125513,2.347137,[240  23] ; [338  20],[244.78904992  18.21095008] ; [333.21095008  24.78904992],0
a1,1,0.144416,2.130263,[  6 258] ; [ 16 343],[  9.32263242 254.67736758] ; [ 12.67736758 346.32263242],0
s2,1,0.163147,1.944815,[129 133] ; [196 161],[137.56058158 124.43941842] ; [187.43941842 169.56058158],0
s1,1,0.168272,1.898272,[ 10 252] ; [  7 347],[  7.23051948 254.76948052] ; [  9.76948052 344.23051948],0
u4,1,0.200348,1.639835,[  1 263] ; [  5 354],[  2.54253612 261.45746388] ; [  3.45746388 355.54253612],0
b4,1,0.215077,1.536918,[145 119] ; [215 144],[152.55216693 111.44783307] ; [207.44783307 151.55216693],0
s6,1,0.224239,1.477036,[168  93] ; [243 109],[174.99347471  86.00652529] ; [236.00652529 115.99347471],0
a8,1,0.237793,1.393631,[ 29 218] ; [ 49 274],[ 33.8 213.2] ; [ 44.2 278.8],0
n1,1,0.242113,1.36825,[26 40] ; [18 43],[22.86614173 43.13385827] ; [21.13385827 39.86614173],0
p6,1,0.244101,1.356753,[ 86 176] ; [133 223],[ 92.84466019 169.15533981] ; [126.15533981 229.84466019],0
p11,1,0.262261,1.256783,[213  51] ; [302  57],[218.23434992  45.76565008] ; [296.76565008  62.23434992],0
u2,1,0.275038,1.191449,[55 35] ; [45 40],[51.42857143 38.57142857] ; [48.57142857 36.42857143],0
p1,1,0.317513,0.999163,[ 20 244] ; [ 20 338],[ 16.97749196 247.02250804] ; [ 23.02250804 334.97749196],0
v4,1,0.414905,0.664701,[249  14] ; [341  14],[251.08414239  11.91585761] ; [338.91585761  16.08414239],0
p4,1,0.49723,0.460844,[152 111] ; [216 141],[156.10322581 106.89677419] ; [211.89677419 145.10322581],0
p2,1,0.529423,0.395499,[229  35] ; [305  54],[226.28571429  37.71428571] ; [307.71428571  51.28571429],0
s3,1,0.539513,0.376442,[143 119] ; [202 152],[146.73701299 115.26298701] ; [198.26298701 155.73701299],0
p8,1,0.539757,0.37599,[135 128] ; [190 163],[138.75811688 124.24188312] ; [186.24188312 166.75811688],0
n3,1,0.653132,0.201974,[47 18] ; [47 15],[48.11023622 16.88976378] ; [45.88976378 16.11023622],0
b5,1,0.709752,0.138525,[162 102] ; [215 144],[159.75601926 104.24398074] ; [217.24398074 141.75601926],0
u3,1,0.717004,0.131381,[52 38] ; [52 34],[53.18181818 36.81818182] ; [50.81818182 35.18181818],0
b2,1,0.814957,0.054773,[56 97] ; [ 74 135],[54.94475138 98.05524862] ; [ 75.05524862 133.94475138],0
b3,1,0.814957,0.054773,[56 97] ; [ 74 135],[54.94475138 98.05524862] ; [ 75.05524862 133.94475138],0
s5,1,0.927482,0.008283,[ 85 175] ; [114 231],[ 85.52066116 174.47933884] ; [113.47933884 231.52066116],0
n2,1,0.994853,4.2e-05,[50 16] ; [47 15],[50.015625 15.984375] ; [46.984375 15.015625],0
