Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.023431,5.136289,[17 51] ; [12 12],[21.43478261 46.56521739] ; [ 7.56521739 16.43478261],0
s3,1,0.028536,4.795408,[26 48] ; [14  9],[30.51546392 43.48453608] ; [ 9.48453608 13.51546392],0
a5,1,0.03039,4.687083,[28 47] ; [15  9],[32.57575758 42.42424242] ; [10.42424242 13.57575758],0
s1,1,0.037085,4.3465,[ 3 71] ; [ 4 20],[ 5.28571429 68.71428571] ; [ 1.71428571 22.28571429],0
v1,1,0.037411,4.331616,[22 50] ; [13 11],[26.25 45.75] ; [ 8.75 15.25],0
s7,1,0.04331,4.083244,[17 56] ; [10 12],[20.74736842 52.25263158] ; [ 6.25263158 15.74736842],0
p1,1,0.045006,4.018399,[ 5 70] ; [ 5 19],[ 7.57575758 67.42424242] ; [ 2.42424242 21.57575758],0
n4,1,0.046594,3.96,[46 29] ; [20  4],[50. 25.] ; [16.  8.],0
s5,1,0.046749,3.954409,[ 9 66] ; [ 7 17],[12.12121212 62.87878788] ; [ 3.87878788 20.12121212],0
p2,1,0.050737,3.816938,[51 24] ; [11 13],[46.96969697 28.03030303] ; [15.03030303  8.96969697],0
a3,1,0.066275,3.372943,[27 46] ; [14 10],[30.8556701 42.1443299] ; [10.1443299 13.8556701],0
r1,1,0.074574,3.179363,[37 37] ; [17  7],[40.7755102 33.2244898] ; [13.2244898 10.7755102],0
p10,1,0.079884,3.067267,[40 33] ; [18  6],[43.64948454 29.35051546] ; [14.35051546  9.64948454],0
r4,1,0.094901,2.789217,[49 26] ; [20  4],[52.27272727 22.72727273] ; [16.72727273  7.27272727],0
s2,1,0.103987,2.643309,[21 54] ; [11 13],[24.24242424 50.75757576] ; [ 7.75757576 16.24242424],0
s6,1,0.160162,1.972697,[31 43] ; [14 10],[33.97959184 40.02040816] ; [11.02040816 12.97959184],0
n5,1,0.180116,1.796667,[52 23] ; [20  4],[54.54545455 20.45454545] ; [17.45454545  6.54545455],0
p9,1,0.190191,1.716135,[46 25] ; [19  5],[48.57894737 22.42105263] ; [16.42105263  7.57894737],0
a7,1,0.195444,1.676098,[35 39] ; [15  9],[37.75510204 36.24489796] ; [12.24489796 11.75510204],0
p5,1,0.219775,1.505842,[ 2 73] ; [ 2 22],[ 3.03030303 71.96969697] ; [ 0.96969697 23.03030303],0
u3,1,0.235614,1.406646,[19 29] ; [6 4],[20.68965517 27.31034483] ; [4.31034483 5.68965517],0
s8,1,0.246293,1.344209,[16 58] ; [ 8 16],[18.12244898 55.87755102] ; [ 5.87755102 18.12244898],0
b2,1,0.300662,1.071255,[ 9 29] ; [ 6 10],[10.55555556 27.44444444] ; [ 4.44444444 11.55555556],0
b3,1,0.300662,1.071255,[ 9 29] ; [ 6 10],[10.55555556 27.44444444] ; [ 4.44444444 11.55555556],0
a4,1,0.334202,0.932545,[12 62] ; [ 6 18],[13.59183673 60.40816327] ; [ 4.40816327 19.59183673],0
s4,1,0.338851,0.914773,[16 59] ; [ 3 21],[14.39393939 60.60606061] ; [ 4.60606061 19.39393939],0
p7,1,0.405395,0.692266,[33 41] ; [ 8 15],[31.27835052 42.72164948] ; [ 9.72164948 13.27835052],0
p3,1,0.501201,0.452392,[14 61] ; [ 6 18],[15.15151515 59.84848485] ; [ 4.84848485 19.15151515],0
p6,1,0.509162,0.435788,[11 62] ; [ 5 19],[12.04123711 60.95876289] ; [ 3.95876289 20.04123711],0
p8,1,0.511408,0.431186,[25 48] ; [10 14],[26.34020619 46.65979381] ; [ 8.65979381 15.34020619],0
a6,1,0.512692,0.428568,[38 37] ; [14 10],[39.39393939 35.60606061] ; [12.60606061 11.39393939],0
d5,1,0.52889,0.396523,[30 44] ; [ 8 16],[28.69387755 45.30612245] ; [ 9.30612245 14.69387755],0
d3,1,0.540811,0.374039,[14 59] ; [ 6 18],[15.05154639 57.94845361] ; [ 4.94845361 19.05154639],0
v4,1,0.559443,0.34067,[61 13] ; [21  3],[61.91836735 12.08163265] ; [20.08163265  3.91836735],0
a1,1,0.591879,0.287419,[ 4 71] ; [ 2 22],[ 4.54545455 70.45454545] ; [ 1.45454545 22.54545455],0
b4,1,0.680186,0.169916,[37 38] ; [13 11],[37.87878788 37.12121212] ; [12.12121212 11.87878788],0
d2,1,0.718159,0.130263,[15 60] ; [ 4 20],[14.39393939 60.60606061] ; [ 4.60606061 19.39393939],0
a2,1,0.781594,0.076863,[ 5 70] ; [ 2 22],[ 5.3030303 69.6969697] ; [ 1.6969697 22.3030303],0
a8,1,0.854356,0.033696,[ 7 63] ; [ 2 21],[ 6.77419355 63.22580645] ; [ 2.22580645 20.77419355],0
b5,1,0.884848,0.020975,[45 30] ; [14 10],[44.6969697 30.3030303] ; [14.3030303  9.6969697],0
p11,1,0.90325,0.014776,[51 24] ; [16  8],[50.75757576 24.24242424] ; [16.24242424  7.75757576],0
r3,1,0.94739,0.004354,[55 19] ; [18  6],[55.12244898 18.87755102] ; [17.87755102  6.12244898],0
u1,1,0.971209,0.001303,[ 3 72] ; [ 1 23],[ 3.03030303 71.96969697] ; [ 0.96969697 23.03030303],0
b1,1,0.97698,0.000833,[31 44] ; [10 14],[31.06060606 43.93939394] ; [ 9.93939394 14.06060606],0
u2,1,0.980451,0.0006,[19 29] ; [4 6],[19.03448276 28.96551724] ; [3.96551724 6.03448276],0
n6,1,0.987541,0.000244,[53 22] ; [17  7],[53.03030303 21.96969697] ; [16.96969697  7.03030303],0
n1,1,1.0,0.0,[11 22] ; [1 2],[11. 22.] ; [1. 2.],0
