Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,7.3e-05,15.729847,[7 2] ; [ 8 43],[2.25 6.75] ; [12.75 38.25],1
s2,1,0.000126,14.705882,[8 1] ; [12 39],[3. 6.] ; [17. 34.],1
s7,1,0.001177,10.526316,[6 1] ; [12 37],[2.25 4.75] ; [15.75 33.25],0
p10,1,0.002181,9.390912,[7 1] ; [15 34],[3.0877193 4.9122807] ; [18.9122807 30.0877193],0
p4,1,0.002777,8.948629,[8 1] ; [18 33],[3.9 5.1] ; [22.1 28.9],0
s3,1,0.00326,8.655778,[8 1] ; [18 32],[3.96610169 5.03389831] ; [22.03389831 27.96610169],0
p9,1,0.00931,6.762315,[8 1] ; [20 28],[4.42105263 4.57894737] ; [23.57894737 24.42105263],0
a8,1,0.022949,5.172358,[3 5] ; [ 4 43],[1.01818182 6.98181818] ; [ 5.98181818 41.01818182],0
v2,1,0.026875,4.898838,[5 4] ; [10 39],[2.32758621 6.67241379] ; [12.67241379 36.32758621],0
p7,1,0.036245,4.385545,[7 2] ; [20 30],[4.11864407 4.88135593] ; [22.88135593 27.11864407],0
r4,1,0.043723,4.067227,[8 1] ; [27 24],[5.25 3.75] ; [29.75 21.25],0
d5,1,0.064344,3.421715,[6 3] ; [17 33],[3.50847458 5.49152542] ; [19.49152542 30.50847458],0
p6,1,0.078062,3.10479,[4 5] ; [ 9 41],[1.98305085 7.01694915] ; [11.01694915 38.98305085],0
r1,1,0.08232,3.018495,[6 2] ; [21 29],[3.72413793 4.27586207] ; [23.27586207 26.72413793],0
n4,1,0.132922,2.258044,[7 1] ; [30 20],[5.10344828 2.89655172] ; [31.89655172 18.10344828],0
p2,1,0.13627,2.219581,[7 2] ; [26 25],[4.95 4.05] ; [28.05 22.95],0
v1,1,0.160817,1.96653,[5 4] ; [16 35],[3.15 5.85] ; [17.85 33.15],0
v3,1,0.166017,1.91855,[4 5] ; [11 38],[2.32758621 6.67241379] ; [12.67241379 36.32758621],0
a5,1,0.192068,1.701681,[6 3] ; [22 29],[4.2 4.8] ; [23.8 27.2],0
s4,1,0.207157,1.591182,[3 6] ; [ 8 43],[1.65 7.35] ; [ 9.35 41.65],0
v4,1,0.240637,1.376857,[8 1] ; [35 15],[6.55932203 2.44067797] ; [36.44067797 13.55932203],0
u2,1,0.313439,1.016129,[2 2] ; [ 8 23],[1.14285714 2.85714286] ; [ 8.85714286 22.14285714],0
d3,1,0.344109,0.895062,[4 5] ; [14 35],[2.79310345 6.20689655] ; [15.20689655 33.79310345],0
p3,1,0.347059,0.88418,[1 8] ; [13 38],[2.1 6.9] ; [11.9 39.1],0
p5,1,0.371347,0.799153,[1 8] ; [ 2 48],[0.45762712 8.54237288] ; [ 2.54237288 47.45762712],0
p1,1,0.394841,0.723982,[2 7] ; [ 6 45],[1.2 7.8] ; [ 6.8 44.2],0
a3,1,0.411821,0.673538,[5 4] ; [20 29],[3.87931034 5.12068966] ; [21.12068966 27.87931034],0
a7,1,0.450627,0.569074,[6 3] ; [26 23],[4.96551724 4.03448276] ; [27.03448276 21.96551724],0
d2,1,0.469618,0.522876,[1 8] ; [11 40],[1.8 7.2] ; [10.2 40.8],0
a4,1,0.612093,0.257138,[1 8] ; [ 9 41],[1.52542373 7.47457627] ; [ 8.47457627 41.52542373],0
a6,1,0.638157,0.221161,[5 4] ; [24 27],[4.35 4.65] ; [24.65 26.35],0
b5,1,0.638157,0.221161,[4 5] ; [27 24],[4.65 4.35] ; [26.35 24.65],0
p8,1,0.648711,0.207529,[3 6] ; [13 37],[2.44067797 6.55932203] ; [13.55932203 36.44067797],0
u3,1,0.664442,0.188172,[2 2] ; [12 19],[1.6 2.4] ; [12.4 18.6],0
n2,1,0.737989,0.111902,[2 1] ; [13 10],[1.73076923 1.26923077] ; [13.26923077  9.73076923],0
n3,1,0.754293,0.097959,[2 1] ; [12  9],[1.75 1.25] ; [12.25  8.75],0
b4,1,0.767837,0.087146,[4 5] ; [20 31],[3.6 5.4] ; [20.4 30.6],0
b1,1,0.941837,0.005323,[5 4] ; [29 22],[5.1 3.9] ; [28.9 22.1],0
