Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,104.777697,[  9 105] ; [110  46],[50.24444444 63.75555556] ; [68.75555556 87.24444444],1
d5,1,0.0,65.089371,[67 47] ; [154   4],[92.625 21.375] ; [128.375  29.625],1
d3,1,0.0,42.691201,[58 55] ; [138  20],[81.72693727 31.27306273] ; [114.27306273  43.72693727],1
a4,1,0.0,36.817831,[24 89] ; [92 66],[48.36900369 64.63099631] ; [67.63099631 90.36900369],1
a2,1,0.0,36.714668,[  5 109] ; [ 56 102],[25.56617647 88.43382353] ; [ 35.43382353 122.56617647],1
u1,1,2e-06,22.810283,[  3 111] ; [ 37 121],[16.76470588 97.23529412] ; [ 23.23529412 134.76470588],1
a3,1,2.1e-05,18.108732,[62 51] ; [125  33],[77.97416974 35.02583026] ; [109.02583026  48.97416974],1
a5,1,5e-05,16.446742,[67 46] ; [129  29],[81.72693727 31.27306273] ; [114.27306273  43.72693727],1
a6,1,0.000548,11.945672,[65 48] ; [122  36],[77.97416974 35.02583026] ; [109.02583026  48.97416974],1
v1,1,0.061248,3.503261,[57 54] ; [98 58],[64.43820225 46.56179775] ; [90.56179775 65.43820225],0
s7,1,0.086127,2.945318,[23 83] ; [ 48 105],[29.05791506 76.94208494] ; [ 41.94208494 111.05791506],0
a7,1,0.088753,2.896856,[79 34] ; [124  33],[84.95925926 28.04074074] ; [118.04074074  38.95925926],0
p4,1,0.107603,2.589075,[56 55] ; [93 61],[62.41132075 48.58867925] ; [86.58867925 67.41132075],0
n2,1,0.128318,2.312739,[23  5] ; [20 11],[20.40677966  7.59322034] ; [22.59322034  8.40677966],0
p2,1,0.131483,2.274912,[85 27] ; [130  26],[89.85074627 22.14925373] ; [125.14925373  30.85074627],0
b5,1,0.1811,1.788572,[60 54] ; [96 62],[65.38235294 48.61764706] ; [90.61764706 67.38235294],0
a8,1,0.223098,1.484334,[ 8 98] ; [ 17 121],[10.86065574 95.13934426] ; [ 14.13934426 123.86065574],0
n4,1,0.287571,1.130957,[77 36] ; [117  41],[80.89298893 32.10701107] ; [113.10701107  44.89298893],0
n3,1,0.348174,0.880102,[23  5] ; [23  9],[21.46666667  6.53333333] ; [24.53333333  7.46666667],0
u3,1,0.353676,0.860224,[23 29] ; [18 15],[25.08235294 26.91764706] ; [15.91764706 17.08235294],0
s4,1,0.366972,0.813893,[18 95] ; [ 19 138],[15.48518519 97.51481481] ; [ 21.51481481 135.48518519],0
b2,1,0.374372,0.789102,[15 38] ; [33 60],[17.42465753 35.57534247] ; [30.57534247 62.42465753],0
b3,1,0.374372,0.789102,[15 38] ; [33 60],[17.42465753 35.57534247] ; [30.57534247 62.42465753],0
s2,1,0.44238,0.5901,[35 78] ; [ 56 102],[37.94464945 75.05535055] ; [ 53.05535055 104.94464945],0
r2,1,0.448016,0.575667,[102  10] ; [145  10],[103.61048689   8.38951311] ; [143.38951311  11.61048689],0
p12,1,0.462645,0.539489,[  6 105] ; [ 12 144],[  7.48314607 103.51685393] ; [ 10.51685393 145.48314607],0
b4,1,0.492097,0.471938,[66 48] ; [98 60],[68.73529412 45.26470588] ; [95.26470588 62.73529412],0
s1,1,0.501813,0.451101,[  1 110] ; [  3 154],[  1.65671642 109.34328358] ; [  2.34328358 154.65671642],0
p10,1,0.514548,0.424807,[83 27] ; [123  33],[85.18796992 24.81203008] ; [120.81203008  35.18796992],0
u2,1,0.528926,0.396455,[23 27] ; [17 15],[24.3902439 25.6097561] ; [15.6097561 16.3902439],0
p8,1,0.541463,0.372835,[52 59] ; [77 75],[54.44486692 56.55513308] ; [74.55513308 77.44486692],0
v3,1,0.545822,0.364856,[50 63] ; [72 78],[52.41825095 60.58174905] ; [69.58174905 80.41825095],0
p3,1,0.549674,0.357902,[54 58] ; [69 86],[51.59550562 60.40449438] ; [71.40449438 83.59550562],0
s5,1,0.560852,0.338231,[27 85] ; [ 42 112],[29.05263158 82.94736842] ; [ 39.94736842 114.05263158],0
r1,1,0.568597,0.325036,[89 25] ; [127  30],[90.86346863 23.13653137] ; [125.13653137  31.86346863],0
p6,1,0.593109,0.285515,[35 76] ; [ 43 108],[33.04580153 77.95419847] ; [ 44.95419847 106.04580153],0
b1,1,0.60039,0.274408,[41 73] ; [ 52 106],[38.97794118 75.02205882] ; [ 54.02205882 103.97794118],0
p11,1,0.611882,0.257443,[88 26] ; [126  32],[89.69117647 24.30882353] ; [124.30882353  33.69117647],0
s6,1,0.647118,0.209553,[58 51] ; [88 69],[59.82706767 49.17293233] ; [86.17293233 70.82706767],0
p1,1,0.656231,0.198134,[  7 106] ; [ 12 146],[  7.92250923 105.07749077] ; [ 11.07749077 146.92250923],0
p9,1,0.675565,0.175161,[87 23] ; [125  29],[88.33333333 21.66666667] ; [123.66666667  30.33333333],0
n5,1,0.692445,0.156451,[77 33] ; [107  51],[75.52238806 34.47761194] ; [108.47761194  49.52238806],0
s3,1,0.721575,0.126989,[42 69] ; [62 93],[43.39849624 67.60150376] ; [60.60150376 94.39849624],0
n6,1,0.724928,0.12382,[88 23] ; [128  30],[89.13011152 21.86988848] ; [126.86988848  31.13011152],0
a1,1,0.750737,0.100913,[  6 108] ; [  7 151],[  5.44852941 108.55147059] ; [  7.55147059 150.44852941],0
p7,1,0.781584,0.07687,[66 44] ; [95 59],[67.08333333 42.91666667] ; [93.91666667 60.08333333],0
n1,1,0.78479,0.074574,[ 7 21] ; [ 9 23],[ 7.46666667 20.53333333] ; [ 8.53333333 23.46666667],0
v4,1,0.888858,0.01953,[104   8] ; [146  12],[103.7037037   8.2962963] ; [146.2962963  11.7037037],0
p5,1,0.905863,0.013985,[  9 103] ; [ 12 145],[  8.74349442 103.25650558] ; [ 12.25650558 144.74349442],0
r4,1,0.979207,0.000679,[98 16] ; [136  22],[98.07352941 15.92647059] ; [135.92647059  22.07352941],0
r3,1,0.998223,5e-06,[107   5] ; [150   7],[107.00371747   4.99628253] ; [149.99628253   7.00371747],0
