Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.437873,[41  6] ; [13 23],[30.57831325 16.42168675] ; [23.42168675 12.57831325],1
r2,1,0.000416,12.460928,[44  2] ; [23 12],[38.04938272  7.95061728] ; [28.95061728  6.04938272],1
r3,1,0.002686,9.009163,[41  6] ; [21 15],[35.10843373 11.89156627] ; [26.89156627  9.10843373],0
v4,1,0.002873,8.886662,[40  7] ; [20 16],[33.97590361 13.02409639] ; [26.02409639  9.97590361],0
s8,1,0.003148,8.719692,[22 24] ; [ 6 30],[15.70731707 30.29268293] ; [12.29268293 23.70731707],0
v3,1,0.004375,8.12123,[17 25] ; [ 4 31],[11.45454545 30.54545455] ; [ 9.54545455 25.45454545],0
p1,1,0.008066,7.018782,[ 1 46] ; [ 7 29],[ 4.53012048 42.46987952] ; [ 3.46987952 32.53012048],0
u3,1,0.013427,6.11194,[13  5] ; [ 6 13],[9.24324324 8.75675676] ; [9.75675676 9.24324324],0
s6,1,0.028484,4.798531,[26 19] ; [12 24],[21.11111111 23.88888889] ; [16.88888889 19.11111111],0
s3,1,0.032992,4.546211,[24 22] ; [10 25],[19.30864198 26.69135802] ; [14.69135802 20.30864198],0
a1,1,0.040311,4.204767,[ 1 46] ; [ 5 31],[ 3.39759036 43.60240964] ; [ 2.60240964 33.39759036],0
u2,1,0.048259,3.900929,[10  7] ; [ 5 14],[7.08333333 9.91666667] ; [ 7.91666667 11.08333333],0
v1,1,0.054002,3.712625,[21 25] ; [ 9 27],[16.82926829 29.17073171] ; [13.17073171 22.82926829],0
v2,1,0.055511,3.666667,[20 24] ; [ 8 25],[16. 28.] ; [12. 21.],0
s7,1,0.056523,3.63659,[18 26] ; [ 7 27],[14.1025641 29.8974359] ; [10.8974359 23.1025641],0
s2,1,0.064755,3.41122,[22 24] ; [10 26],[17.95121951 28.04878049] ; [14.04878049 21.95121951],0
p11,1,0.078257,3.100744,[30 17] ; [16 20],[26.04819277 20.95180723] ; [19.95180723 16.04819277],0
n5,1,0.113499,2.504814,[24 22] ; [25 11],[27.48780488 18.51219512] ; [21.51219512 14.48780488],0
d5,1,0.130274,2.289233,[30 17] ; [17 19],[26.61445783 20.38554217] ; [20.38554217 15.61445783],0
p8,1,0.149458,2.077772,[ 7 40] ; [10 26],[ 9.62650602 37.37349398] ; [ 7.37349398 28.62650602],0
b5,1,0.174384,1.844842,[24 23] ; [13 23],[20.95180723 26.04819277] ; [16.04819277 19.95180723],0
a3,1,0.188409,1.730017,[29 18] ; [17 19],[26.04819277 20.95180723] ; [19.95180723 16.04819277],0
a4,1,0.223679,1.480611,[21 26] ; [11 24],[18.34146341 28.65853659] ; [13.65853659 21.34146341],0
n3,1,0.274748,1.192886,[10  4] ; [10  9],[8.48484848 5.51515152] ; [11.51515152  7.48484848],0
p10,1,0.336306,0.924464,[22 24] ; [13 22],[19.87654321 26.12345679] ; [15.12345679 19.87654321],0
s5,1,0.385015,0.754628,[12 30] ; [ 7 28],[10.36363636 31.63636364] ; [ 8.63636364 26.36363636],0
p9,1,0.392345,0.731663,[24 22] ; [14 19],[22.12658228 23.87341772] ; [15.87341772 17.12658228],0
n4,1,0.414531,0.665767,[29 18] ; [19 17],[27.18072289 19.81927711] ; [20.81927711 15.18072289],0
p5,1,0.422151,0.644318,[ 3 42] ; [ 1 35],[ 2.22222222 42.77777778] ; [ 1.77777778 34.22222222],0
p4,1,0.456239,0.555105,[16 29] ; [10 26],[14.44444444 30.55555556] ; [11.55555556 24.44444444],0
d4,1,0.476702,0.506398,[31 16] ; [21 15],[29.44578313 17.55421687] ; [22.55421687 13.44578313],0
n6,1,0.476702,0.506398,[31 16] ; [21 15],[29.44578313 17.55421687] ; [22.55421687 13.44578313],0
a6,1,0.476702,0.506398,[16 31] ; [15 21],[17.55421687 29.44578313] ; [13.44578313 22.55421687],0
s1,1,0.476767,0.50625,[ 6 39] ; [ 3 33],[ 5. 40.] ; [ 4. 32.],0
n1,1,0.600472,0.274284,[10  7] ; [9 9],[9.22857143 7.77142857] ; [9.77142857 8.22857143],0
p3,1,0.629145,0.233222,[14 33] ; [ 9 27],[13.02409639 33.97590361] ; [ 9.97590361 26.02409639],0
a5,1,0.630377,0.23155,[26 21] ; [18 18],[24.91566265 22.08433735] ; [19.08433735 16.91566265],0
b1,1,0.640453,0.218151,[25 22] ; [21 15],[26.04819277 20.95180723] ; [19.95180723 16.04819277],0
a2,1,0.720781,0.127746,[ 2 45] ; [ 1 35],[ 1.69879518 45.30120482] ; [ 1.30120482 34.69879518],0
d3,1,0.729947,0.11916,[14 33] ; [12 24],[14.72289157 32.27710843] ; [11.27710843 24.72289157],0
p6,1,0.76463,0.089644,[ 8 38] ; [ 7 28],[ 8.51851852 37.48148148] ; [ 6.48148148 28.51851852],0
d1,1,0.7882,0.072172,[17 30] ; [12 24],[16.42168675 30.57831325] ; [12.57831325 23.42168675],0
n2,1,0.835975,0.042867,[12  5] ; [14  5],[12.27777778  4.72222222] ; [13.72222222  5.27777778],0
s4,1,0.83759,0.042015,[10 37] ; [ 7 29],[ 9.62650602 37.37349398] ; [ 7.37349398 28.62650602],0
u1,1,0.848201,0.036639,[ 1 46] ; [ 1 35],[ 1.13253012 45.86746988] ; [ 0.86746988 35.13253012],0
p12,1,0.856011,0.032926,[ 3 43] ; [ 2 34],[ 2.80487805 43.19512195] ; [ 2.19512195 33.80487805],0
p7,1,0.921867,0.00962,[13 31] ; [11 25],[13.2 30.8] ; [10.8 25.2],0
b4,1,0.923464,0.00923,[24 23] ; [18 18],[23.78313253 23.21686747] ; [18.21686747 17.78313253],0
d2,1,0.959849,0.002534,[21 26] ; [15 19],[20.88888889 26.11111111] ; [15.11111111 18.88888889],0
b2,1,0.984008,0.000402,[14 18] ; [10 13],[13.96363636 18.03636364] ; [10.03636364 12.96363636],0
b3,1,0.984008,0.000402,[14 18] ; [10 13],[13.96363636 18.03636364] ; [10.03636364 12.96363636],0
