Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,45.135723,[78 66] ; [ 19 108],[51.54243542 92.45756458] ; [45.45756458 81.54243542],1
v1,1,8.5e-05,15.435094,[78 62] ; [40 86],[62.10526316 77.89473684] ; [55.89473684 70.10526316],1
d1,1,0.008792,6.864695,[79 67] ; [49 79],[68.20437956 77.79562044] ; [59.79562044 68.20437956],0
r3,1,0.009607,6.706431,[142   2] ; [117  10],[137.62361624   6.37638376] ; [121.37638376   5.62361624],0
d4,1,0.009733,6.6831,[121  24] ; [90 38],[112.06959707  32.93040293] ; [98.93040293 29.06959707],0
s8,1,0.027769,4.842354,[60 86] ; [36 91],[51.34065934 94.65934066] ; [44.65934066 82.34065934],0
r1,1,0.03043,4.684819,[116  30] ; [87 41],[108.16788321  37.83211679] ; [94.83211679 33.16788321],0
n1,1,0.034313,4.479025,[ 5 26] ; [16 25],[ 9.04166667 21.95833333] ; [11.95833333 29.04166667],0
p9,1,0.037559,4.324899,[124  19] ; [97 29],[117.48327138  25.51672862] ; [103.51672862  22.48327138],0
p7,1,0.040723,4.187505,[79 63] ; [52 69],[70.73003802 71.26996198] ; [60.26996198 60.73003802],0
a7,1,0.042437,4.11767,[102  43] ; [75 53],[94.01098901 50.98901099] ; [82.98901099 45.01098901],0
a3,1,0.043606,4.071762,[104  41] ; [77 51],[96.13553114 48.86446886] ; [84.86446886 43.13553114],0
d3,1,0.06003,3.53655,[95 51] ; [69 59],[87.38686131 58.61313869] ; [76.61313869 51.38686131],0
p10,1,0.062304,3.474961,[116  28] ; [90 37],[109.46125461  34.53874539] ; [96.53874539 30.46125461],0
r2,1,0.068203,3.325751,[134   7] ; [114  14],[129.99256506  11.00743494] ; [118.00743494   9.99256506],0
p3,1,0.070017,3.282623,[ 41 105] ; [ 24 104],[ 34.6350365 111.3649635] ; [30.3649635 97.6350365],0
s1,1,0.071639,3.245066,[  1 142] ; [  5 122],[  3.17777778 139.82222222] ; [  2.82222222 124.17777778],0
s2,1,0.075022,3.169584,[68 77] ; [46 81],[60.77205882 84.22794118] ; [53.22794118 73.77205882],0
p5,1,0.092528,2.829824,[  4 142] ; [  9 118],[  6.95238095 139.04761905] ; [  6.04761905 120.95238095],0
s3,1,0.104257,2.639181,[80 64] ; [58 69],[73.32841328 70.67158672] ; [64.67158672 62.32841328],0
d5,1,0.105333,2.622874,[112  34] ; [87 41],[106.03649635  39.96350365] ; [92.96350365 35.03649635],0
n4,1,0.130416,2.287541,[107  39] ; [83 45],[101.24087591  44.75912409] ; [88.75912409 39.24087591],0
b3,1,0.132661,2.261087,[34 54] ; [20 53],[29.51552795 58.48447205] ; [24.48447205 48.51552795],0
b2,1,0.132661,2.261087,[34 54] ; [20 53],[29.51552795 58.48447205] ; [24.48447205 48.51552795],0
a1,1,0.134245,2.242711,[  7 139] ; [  2 126],[  4.79562044 141.20437956] ; [  4.20437956 123.79562044],0
a5,1,0.152726,2.044808,[101  45] ; [78 50],[95.37956204 50.62043796] ; [83.62043796 44.37956204],0
s7,1,0.167401,1.906068,[61 81] ; [43 81],[55.51879699 86.48120301] ; [48.48120301 75.51879699],0
