Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5.9e-05,16.130912,[265  10] ; [47 10],[258.43373494  16.56626506] ; [53.56626506  3.43373494],1
p8,1,0.001036,10.761386,[159 111] ; [20 37],[147.79816514 122.20183486] ; [31.20183486 25.79816514],0
n6,1,0.001724,9.822115,[239  37] ; [39 17],[231.10843373  44.89156627] ; [46.89156627  9.10843373],0
r4,1,0.002838,8.90849,[248  28] ; [43 14],[241.18918919  34.81081081] ; [49.81081081  7.18918919],0
s2,1,0.00397,8.297339,[ 32 242] ; [15 42],[ 38.90634441 235.09365559] ; [ 8.09365559 48.90634441],0
p10,1,0.009774,6.675714,[252  22] ; [46 11],[246.68277946  27.31722054] ; [51.31722054  5.68277946],0
n2,1,0.0117,6.355834,[45 16] ; [ 7 10],[40.66666667 20.33333333] ; [11.33333333  5.66666667],0
p2,1,0.012926,6.179247,[237  37] ; [41 15],[230.82424242  43.17575758] ; [47.17575758  8.82424242],0
a6,1,0.023836,5.106549,[197  79] ; [32 25],[189.8018018  86.1981982] ; [39.1981982 17.8018018],0
s1,1,0.029608,4.731889,[  3 271] ; [ 3 53],[  4.98181818 269.01818182] ; [ 1.01818182 54.98181818],0
b1,1,0.040784,4.184953,[ 87 189] ; [26 31],[ 93.65765766 182.34234234] ; [19.34234234 37.65765766],0
p4,1,0.049046,3.873769,[169 106] ; [27 30],[162.34939759 112.65060241] ; [33.65060241 23.34939759],0
n4,1,0.050124,3.837292,[209  67] ; [36 21],[203.06306306  72.93693694] ; [41.93693694 15.06306306],0
b5,1,0.061004,3.509869,[167 109] ; [42 15],[173.22522523 102.77477477] ; [35.77477477 21.22522523],0
p7,1,0.061568,3.494628,[173 100] ; [28 28],[166.78723404 106.21276596] ; [34.21276596 21.78723404],0
s7,1,0.067213,3.349797,[ 72 189] ; [22 33],[ 77.63924051 183.36075949] ; [16.36075949 38.63924051],0
a4,1,0.073215,3.209434,[114 161] ; [31 26],[120.10542169 154.89457831] ; [24.89457831 32.10542169],0
n3,1,0.079405,3.077046,[45 15] ; [9 8],[42.07792208 17.92207792] ; [11.92207792  5.07792208],0
v2,1,0.080622,3.052313,[155 111] ; [26 31],[149.05882353 116.94117647] ; [31.94117647 25.05882353],0
n5,1,0.081354,3.037647,[207  67] ; [36 20],[201.76363636  72.23636364] ; [41.23636364 14.76363636],0
v4,1,0.084799,2.970429,[263  13] ; [51  6],[260.25225225  15.74774775] ; [53.74774775  3.25225225],0
p5,1,0.103353,2.653027,[ 36 240] ; [ 3 53],[ 32.42168675 243.57831325] ; [ 6.57831325 49.42168675],0
s4,1,0.122019,2.391214,[ 28 243] ; [10 47],[ 31.39634146 239.60365854] ; [ 6.60365854 50.39634146],0
a8,1,0.154424,2.027992,[ 33 213] ; [ 3 46],[ 30.02033898 215.97966102] ; [ 5.97966102 43.02033898],0
a5,1,0.173681,1.850879,[208  68] ; [38 19],[203.89189189  72.10810811] ; [42.10810811 14.89189189],0
s5,1,0.197286,1.662349,[ 60 209] ; [17 39],[ 63.73230769 205.26769231] ; [13.26769231 42.73230769],0
a2,1,0.199976,1.64255,[ 52 224] ; [15 42],[ 55.53153153 220.46846847] ; [11.46846847 45.53153153],0
p12,1,0.203638,1.616089,[ 16 258] ; [ 1 56],[ 14.07250755 259.92749245] ; [ 2.92749245 54.07250755],0
p3,1,0.213759,1.54578,[138 137] ; [23 33],[133.76132931 141.23867069] ; [27.23867069 28.76132931],0
r1,1,0.24958,1.325653,[209  67] ; [39 18],[205.54954955  70.45045045] ; [42.45045045 14.54954955],0
v3,1,0.295523,1.094286,[ 95 173] ; [24 32],[ 98.43209877 169.56790123] ; [20.56790123 35.43209877],0
a1,1,0.314982,1.009668,[ 11 265] ; [ 4 53],[ 12.43243243 263.56756757] ; [ 2.56756757 54.43243243],0
s6,1,0.344467,0.893735,[124 147] ; [30 27],[127.23780488 143.76219512] ; [26.76219512 30.23780488],0
b2,1,0.362881,0.827897,[ 67 100] ; [ 8 18],[ 64.89637306 102.10362694] ; [10.10362694 15.89637306],0
b3,1,0.362881,0.827897,[ 67 100] ; [ 8 18],[ 64.89637306 102.10362694] ; [10.10362694 15.89637306],0
p1,1,0.387405,0.747072,[ 24 252] ; [ 3 54],[ 22.37837838 253.62162162] ; [ 4.62162162 52.37837838],0
a7,1,0.450255,0.57001,[201  75] ; [38 18],[198.68674699  77.31325301] ; [40.31325301 15.68674699],0
v1,1,0.458167,0.550368,[153 119] ; [29 28],[150.46808511 121.53191489] ; [31.53191489 25.46808511],0
a3,1,0.470612,0.520539,[191  85] ; [36 20],[188.71084337  87.28915663] ; [38.28915663 17.71084337],0
d1,1,0.471532,0.518385,[150 126] ; [28 29],[147.53153153 128.46846847] ; [30.46846847 26.53153153],0
s8,1,0.509951,0.434167,[ 75 200] ; [18 39],[ 77.03313253 197.96686747] ; [15.96686747 41.03313253],0
b4,1,0.659781,0.19379,[151 125] ; [33 24],[152.5045045 123.4954955] ; [31.4954955 25.5045045],0
d3,1,0.688704,0.160491,[183  93] ; [38 17],[184.27794562  91.72205438] ; [36.72205438 18.27794562],0
d5,1,0.701937,0.146465,[223  53] ; [44 12],[221.96385542  54.03614458] ; [45.03614458 10.96385542],0
