Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.9e-05,17.507809,[110   5] ; [54 18],[100.85561497  14.14438503] ; [63.14438503  8.85561497],1
r3,1,6.9e-05,15.827999,[110   5] ; [55 17],[101.47058824  13.52941176] ; [63.52941176  8.47058824],1
p7,1,8.4e-05,15.466426,[63 52] ; [18 53],[50.08064516 64.91935484] ; [30.91935484 40.08064516],1
a7,1,0.001157,10.558317,[83 32] ; [35 37],[72.56684492 42.43315508] ; [45.43315508 26.56684492],0
p8,1,0.001267,10.389363,[46 67] ; [13 59],[36.03783784 76.96216216] ; [22.96216216 49.03783784],0
r4,1,0.00199,9.559068,[104  12] ; [52 20],[96.25531915 19.74468085] ; [59.74468085 12.25531915],0
p4,1,0.005024,7.870691,[54 61] ; [19 53],[44.89304813 70.10695187] ; [28.10695187 43.89304813],0
p11,1,0.006922,7.293103,[67 49] ; [27 45],[58. 58.] ; [36. 36.],0
s1,1,0.00762,7.120576,[  3 111] ; [ 9 63],[  7.35483871 106.64516129] ; [ 4.64516129 67.35483871],0
p9,1,0.0085,6.924983,[50 62] ; [18 53],[41.61748634 70.38251366] ; [26.38251366 44.61748634],0
s3,1,0.010533,6.542499,[60 53] ; [24 47],[51.58695652 61.41304348] ; [32.41304348 38.58695652],0
b5,1,0.011015,6.46292,[81 35] ; [37 35],[72.80851064 43.19148936] ; [45.19148936 26.80851064],0
v2,1,0.011609,6.369566,[57 56] ; [22 48],[48.78142077 64.21857923] ; [30.21857923 39.78142077],0
d3,1,0.012469,6.242931,[77 39] ; [34 37],[68.85561497 47.14438503] ; [42.14438503 28.85561497],0
r1,1,0.028204,4.815584,[93 22] ; [48 24],[86.71122995 28.28877005] ; [54.28877005 17.71122995],0
a6,1,0.028394,4.803985,[76 40] ; [35 36],[68.85561497 47.14438503] ; [42.14438503 28.85561497],0
p3,1,0.031366,4.632801,[45 71] ; [17 55],[38.25531915 77.74468085] ; [23.74468085 48.25531915],0
a8,1,0.058606,3.576408,[15 85] ; [ 4 66],[11.17647059 88.82352941] ; [ 7.82352941 62.17647059],0
n3,1,0.062338,3.474063,[29 10] ; [17 15],[25.26760563 13.73239437] ; [20.73239437 11.26760563],0
s7,1,0.069485,3.295135,[42 68] ; [17 51],[36.46067416 73.53932584] ; [22.53932584 45.46067416],0
a1,1,0.073993,3.192145,[  5 111] ; [ 8 64],[  8.0212766 107.9787234] ; [ 4.9787234 67.0212766],0
b1,1,0.075509,3.159015,[49 67] ; [40 32],[54.91489362 61.08510638] ; [34.08510638 37.91489362],0
s8,1,0.077305,3.120666,[36 78] ; [14 57],[30.81081081 83.18918919] ; [19.18918919 51.81081081],0
p6,1,0.08112,3.042328,[33 79] ; [13 59],[28. 84.] ; [18. 54.],0
v1,1,0.105023,2.627556,[50 64] ; [23 49],[44.74193548 69.25806452] ; [28.25806452 43.74193548],0
