Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000821,11.192087,[4 1] ; [ 6 35],[1.08695652 3.91304348] ; [ 8.91304348 32.08695652],1
s5,1,0.007756,7.08896,[3 2] ; [ 5 36],[0.86956522 4.13043478] ; [ 7.13043478 33.86956522],0
p12,1,0.069084,3.304656,[1 4] ; [ 1 40],[0.2173913 4.7826087] ; [ 1.7826087 39.2173913],0
u3,1,0.087653,2.916964,[2 1] ; [ 5 19],[0.77777778 2.22222222] ; [ 6.22222222 17.77777778],0
a5,1,0.102419,2.667466,[4 1] ; [17 24],[2.2826087 2.7173913] ; [18.7173913 22.2826087],0
p8,1,0.128047,2.316028,[3 2] ; [11 30],[1.52173913 3.47826087] ; [12.47826087 28.52173913],0
p3,1,0.128047,2.316028,[3 2] ; [11 30],[1.52173913 3.47826087] ; [12.47826087 28.52173913],0
p10,1,0.155289,2.019512,[4 1] ; [19 22],[2.5 2.5] ; [20.5 20.5],0
r1,1,0.166378,1.915279,[3 2] ; [12 29],[1.63043478 3.36956522] ; [13.36956522 27.63043478],0
a8,1,0.179094,1.805128,[2 3] ; [ 6 33],[0.90909091 4.09090909] ; [ 7.09090909 31.90909091],0
p11,1,0.187047,1.740724,[4 1] ; [20 21],[2.60869565 2.39130435] ; [21.39130435 19.60869565],0
d2,1,0.222446,1.488523,[2 3] ; [ 7 34],[0.97826087 4.02173913] ; [ 8.02173913 32.97826087],0
p4,1,0.311151,1.025784,[3 2] ; [15 26],[1.95652174 3.04347826] ; [16.04347826 24.95652174],0
p9,1,0.332922,0.9375,[4 1] ; [23 17],[3. 2.] ; [24. 16.],0
a1,1,0.342004,0.902904,[1 4] ; [ 3 38],[0.43478261 4.56521739] ; [ 3.56521739 37.43478261],0
p1,1,0.342004,0.902904,[1 4] ; [ 3 38],[0.43478261 4.56521739] ; [ 3.56521739 37.43478261],0
b4,1,0.353195,0.861943,[4 1] ; [24 17],[3.04347826 1.95652174] ; [24.95652174 16.04347826],0
r3,1,0.384488,0.756303,[4 1] ; [24 16],[3.11111111 1.88888889] ; [24.88888889 15.11111111],0
p7,1,0.429892,0.623114,[3 2] ; [17 24],[2.17391304 2.82608696] ; [17.82608696 23.17391304],0
d5,1,0.429892,0.623114,[3 2] ; [17 24],[2.17391304 2.82608696] ; [17.82608696 23.17391304],0
a6,1,0.495088,0.465449,[3 2] ; [18 23],[2.2826087 2.7173913] ; [18.7173913 22.2826087],0
p6,1,0.502335,0.45,[1 4] ; [ 4 36],[0.55555556 4.44444444] ; [ 4.44444444 35.55555556],0
n4,1,0.563789,0.333186,[3 2] ; [19 22],[2.39130435 2.60869565] ; [19.60869565 21.39130435],0
v3,1,0.624676,0.23935,[1 4] ; [ 5 36],[0.65217391 4.34782609] ; [ 5.34782609 35.65217391],0
s3,1,0.641838,0.216346,[1 4] ; [12 28],[1.44444444 3.55555556] ; [11.55555556 28.44444444],0
s7,1,0.67499,0.175821,[1 4] ; [11 27],[1.39534884 3.60465116] ; [10.60465116 27.39534884],0
u2,1,0.681225,0.16875,[2 1] ; [13 11],[1.66666667 1.33333333] ; [13.33333333 10.66666667],0
n5,1,0.710584,0.137694,[3 2] ; [21 20],[2.60869565 2.39130435] ; [21.39130435 19.60869565],0
d1,1,0.752485,0.099455,[1 4] ; [ 6 35],[0.76086957 4.23913043] ; [ 6.23913043 34.76086957],0
v4,1,0.788114,0.072232,[3 2] ; [22 19],[2.7173913 2.2826087] ; [22.2826087 18.7173913],0
s2,1,0.827992,0.047209,[1 4] ; [10 31],[1.19565217 3.80434783] ; [ 9.80434783 31.19565217],0
s8,1,0.827992,0.047209,[1 4] ; [10 31],[1.19565217 3.80434783] ; [ 9.80434783 31.19565217],0
a4,1,0.87051,0.026573,[1 4] ; [ 7 34],[0.86956522 4.13043478] ; [ 7.13043478 33.86956522],0
p2,1,0.881285,0.022302,[3 2] ; [26 15],[3.15217391 1.84782609] ; [25.84782609 15.15217391],0
b2,1,0.894349,0.017637,[1 2] ; [ 8 19],[0.9 2.1] ; [ 8.1 18.9],0
b3,1,0.894349,0.017637,[1 2] ; [ 8 19],[0.9 2.1] ; [ 8.1 18.9],0
a3,1,0.91502,0.011387,[2 3] ; [17 23],[2.11111111 2.88888889] ; [16.88888889 23.11111111],0
a7,1,0.949971,0.003937,[2 3] ; [17 24],[2.06521739 2.93478261] ; [16.93478261 24.06521739],0
b5,1,0.949971,0.003937,[3 2] ; [24 17],[2.93478261 2.06521739] ; [24.06521739 16.93478261],0
d3,1,0.949971,0.003937,[2 3] ; [17 24],[2.06521739 2.93478261] ; [16.93478261 24.06521739],0
d4,1,0.966339,0.001781,[3 2] ; [25 16],[3.04347826 1.95652174] ; [24.95652174 16.04347826],0
b1,1,0.966339,0.001781,[3 2] ; [25 16],[3.04347826 1.95652174] ; [24.95652174 16.04347826],0
