Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.9e-05,16.925453,[117  16] ; [7 8],[111.43243243  21.56756757] ; [12.56756757  2.43243243],1
p2,1,0.002788,8.941191,[88 45] ; [ 4 11],[82.67567568 50.32432432] ; [9.32432432 5.67567568],0
r2,1,0.016297,5.77049,[123  10] ; [11  4],[120.41891892  12.58108108] ; [13.58108108  1.41891892],0
p7,1,0.01651,5.747727,[69 62] ; [ 3 12],[64.60273973 66.39726027] ; [7.39726027 7.60273973],0
n2,1,0.040801,4.184253,[32 11] ; [2 4],[29.83673469 13.16326531] ; [4.16326531 1.83673469],0
n6,1,0.049496,3.858466,[95 38] ; [7 8],[91.66216216 41.33783784] ; [10.33783784  4.66216216],0
p3,1,0.063984,3.430985,[49 82] ; [ 2 13],[45.76027397 85.23972603] ; [5.23972603 9.76027397],0
a6,1,0.09293,2.822876,[83 50] ; [6 9],[79.97972973 53.02027027] ; [9.02027027 5.97972973],0
a5,1,0.118975,2.430759,[81 52] ; [6 9],[78.18243243 54.81756757] ; [8.81756757 6.18243243],0
v1,1,0.132921,2.258049,[53 80] ; [ 3 12],[50.32432432 82.67567568] ; [5.67567568 9.32432432],0
p4,1,0.13411,2.244271,[62 70] ; [ 4 11],[59.26530612 72.73469388] ; [6.73469388 8.26530612],0
n4,1,0.135393,2.229557,[88 45] ; [7 8],[85.37162162 47.62837838] ; [9.62837838 5.37162162],0
u3,1,0.138155,2.198385,[32 23] ; [2 5],[30.16129032 24.83870968] ; [3.83870968 3.16129032],0
p8,1,0.195226,1.677733,[49 84] ; [ 3 12],[46.72972973 86.27027027] ; [5.27027027 9.72972973],0
p11,1,0.205437,1.603294,[76 57] ; [6 9],[73.68918919 59.31081081] ; [8.31081081 6.68918919],0
p10,1,0.236861,1.399177,[36 95] ; [ 2 13],[34.09589041 96.90410959] ; [ 3.90410959 11.09589041],0
s8,1,0.258961,1.274306,[35 96] ; [ 2 13],[33.19863014 97.80136986] ; [ 3.80136986 11.19863014],0
s3,1,0.26518,1.241512,[64 68] ; [ 5 10],[61.95918367 70.04081633] ; [7.04081633 7.95918367],0
r1,1,0.278708,1.173381,[105  28] ; [10  5],[103.34459459  29.65540541] ; [11.65540541  3.34459459],0
d4,1,0.321298,0.983656,[100  33] ; [13  2],[101.5472973  31.4527027] ; [11.4527027  3.5472973],0
n5,1,0.325337,0.967369,[71 62] ; [6 9],[69.19594595 63.80405405] ; [7.80405405 7.19594595],0
n1,1,0.336204,0.924854,[15 26] ; [1 5],[13.95744681 27.04255319] ; [2.04255319 3.95744681],0
b4,1,0.346668,0.885618,[81 52] ; [11  4],[82.67567568 50.32432432] ; [9.32432432 5.67567568],0
s2,1,0.370948,0.800486,[50 80] ; [ 4 11],[48.4137931 81.5862069] ; [5.5862069 9.4137931],0
b5,1,0.413788,0.66789,[74 59] ; [10  5],[75.48648649 57.51351351] ; [8.51351351 6.48648649],0
s4,1,0.435245,0.608787,[ 18 112] ; [ 1 14],[ 17.03448276 112.96551724] ; [ 1.96551724 13.03448276],0
s7,1,0.508531,0.437089,[40 85] ; [ 3 10],[38.94927536 86.05072464] ; [4.05072464 8.94927536],0
v2,1,0.520878,0.412155,[58 72] ; [8 7],[59.17241379 70.82758621] ; [6.82758621 8.17241379],0
a4,1,0.526194,0.401736,[46 86] ; [ 4 11],[44.89795918 87.10204082] ; [5.10204082 9.89795918],0
a8,1,0.59812,0.27784,[ 11 110] ; [ 2 13],[ 11.56617647 109.43382353] ; [ 1.43382353 13.56617647],0
d3,1,0.610207,0.259874,[80 53] ; [8 7],[79.08108108 53.91891892] ; [8.91891892 6.08108108],0
v3,1,0.643232,0.21454,[42 87] ; [ 4 11],[41.20833333 87.79166667] ; [ 4.79166667 10.20833333],0
a2,1,0.649404,0.206653,[ 24 109] ; [ 2 13],[ 23.36486486 109.63513514] ; [ 2.63513514 12.36486486],0
a3,1,0.692559,0.156329,[78 55] ; [8 7],[77.28378378 55.71621622] ; [8.71621622 6.28378378],0
d2,1,0.701771,0.146636,[64 69] ; [8 7],[64.7027027 68.2972973] ; [7.2972973 7.7027027],0
s6,1,0.742442,0.107992,[67 64] ; [7 8],[66.39726027 64.60273973] ; [7.60273973 7.39726027],0
u2,1,0.757712,0.095164,[26 27] ; [3 4],[25.61666667 27.38333333] ; [3.38333333 3.61666667],0
p6,1,0.776438,0.080635,[30 99] ; [ 3 12],[29.5625 99.4375] ; [ 3.4375 11.5625],0
n3,1,0.820885,0.05126,[28 15] ; [3 2],[27.77083333 15.22916667] ; [3.22916667 1.77083333],0
b1,1,0.821045,0.051167,[75 58] ; [8 7],[74.58783784 58.41216216] ; [8.41216216 6.58783784],0
b3,1,0.863586,0.029519,[21 61] ; [2 5],[21.19101124 60.80898876] ; [1.80898876 5.19101124],0
b2,1,0.863586,0.029519,[21 61] ; [2 5],[21.19101124 60.80898876] ; [1.80898876 5.19101124],0
d5,1,0.926156,0.00859,[99 34] ; [11  4],[98.85135135 34.14864865] ; [11.14864865  3.85135135],0
d1,1,0.958843,0.002663,[63 70] ; [7 8],[62.90540541 70.09459459] ; [7.09459459 7.90540541],0
s1,1,0.976414,0.000874,[  9 122] ; [ 1 14],[  8.97260274 122.02739726] ; [ 1.02739726 13.97260274],0
a7,1,0.9844,0.000382,[89 44] ; [10  5],[88.96621622 44.03378378] ; [10.03378378  4.96621622],0
s5,1,0.988693,0.000201,[ 26 103] ; [ 3 12],[ 25.97916667 103.02083333] ; [ 3.02083333 11.97916667],0
