Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,24.692575,[94 63] ; [ 47 102],[72.34313725 84.65686275] ; [68.65686275 80.34313725],1
p2,1,2e-06,22.417742,[141  16] ; [101  48],[124.16339869  32.83660131] ; [117.83660131  31.16339869],1
v2,1,4e-06,21.41684,[106  51] ; [58 84],[86.11371237 70.88628763] ; [77.88628763 64.11371237],1
p4,1,2e-05,18.199178,[105  52] ; [63 85],[86.47868852 70.52131148] ; [81.52131148 66.47868852],1
s6,1,0.000108,14.999015,[84 70] ; [ 48 100],[67.31125828 86.68874172] ; [64.68874172 83.31125828],1
p9,1,0.000142,14.468899,[136  20] ; [101  45],[122.42384106  33.57615894] ; [114.57615894  31.42384106],1
n5,1,0.000373,12.664757,[118  39] ; [82 65],[103.28947368  53.71052632] ; [96.71052632 50.28947368],1
n4,1,0.00127,10.38615,[125  33] ; [93 56],[112.19543974  45.80456026] ; [105.80456026  43.19543974],0
v3,1,0.001487,10.094549,[69 86] ; [ 39 106],[55.8 99.2] ; [52.2 92.8],0
p6,1,0.001553,10.01504,[63 91] ; [ 35 112],[ 50.13953488 103.86046512] ; [47.86046512 99.13953488],0
s7,1,0.002313,9.283145,[51 96] ; [ 26 113],[ 39.57692308 107.42307692] ; [ 37.42307692 101.57692308],0
r1,1,0.002958,8.833207,[132  25] ; [104  45],[121.08496732  35.91503268] ; [114.91503268  34.08496732],0
p8,1,0.003266,8.652663,[91 62] ; [62 84],[78.2909699 74.7090301] ; [74.7090301 71.2909699],0
u1,1,0.005746,7.628381,[ 37 121] ; [ 17 132],[ 27.79153094 130.20846906] ; [ 26.20846906 122.79153094],0
p7,1,0.006436,7.424036,[101  54] ; [73 74],[89.30463576 65.69536424] ; [84.69536424 62.30463576],0
p10,1,0.015513,5.857285,[129  28] ; [102  43],[120.08940397  36.91059603] ; [110.91059603  34.08940397],0
s8,1,0.0158,5.825,[ 47 109] ; [ 27 121],[ 37.97368421 118.02631579] ; [ 36.02631579 111.97368421],0
a5,1,0.01805,5.591271,[124  34] ; [99 50],[114.76872964  43.23127036] ; [108.23127036  40.76872964],0
r4,1,0.025463,4.992132,[144  14] ; [123  26],[137.41368078  20.58631922] ; [129.58631922  19.41368078],0
p11,1,0.033492,4.520438,[125  33] ; [102  47],[116.82736156  41.17263844] ; [110.17263844  38.82736156],0
