Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.2e-05,19.210051,[50 15] ; [ 3 13],[42.5308642 22.4691358] ; [10.4691358  5.5308642],1
p7,1,0.000752,11.35579,[56  9] ; [7 8],[51.1875 13.8125] ; [11.8125  3.1875],1
s8,1,0.00114,10.585463,[49 17] ; [ 5 11],[43.46341463 22.53658537] ; [10.53658537  5.46341463],0
r2,1,0.021988,5.246724,[62  4] ; [12  4],[59.56097561  6.43902439] ; [14.43902439  1.56097561],0
s2,1,0.024189,5.08104,[49 18] ; [7 9],[45.20481928 21.79518072] ; [10.79518072  5.20481928],0
d2,1,0.025795,4.969697,[29 37] ; [12  4],[33. 33.] ; [8. 8.],0
p12,1,0.026031,4.953966,[23 44] ; [ 1 15],[19.37349398 47.62650602] ; [ 4.62650602 11.37349398],0
u2,1,0.035496,4.421154,[12  3] ; [1 3],[10.26315789  4.73684211] ; [2.73684211 1.26315789],0
s7,1,0.037549,4.325346,[53 10] ; [9 6],[50.07692308 12.92307692] ; [11.92307692  3.07692308],0
a7,1,0.038409,4.286829,[51 16] ; [8 8],[47.62650602 19.37349398] ; [11.37349398  4.62650602],0
p9,1,0.047628,3.923053,[64  3] ; [13  3],[62.15662651  4.84337349] ; [14.84337349  1.15662651],0
v3,1,0.074043,3.191029,[41 25] ; [ 6 10],[37.82926829 28.17073171] ; [9.17073171 6.82926829],0
b5,1,0.084836,2.969726,[30 37] ; [11  5],[33.09638554 33.90361446] ; [7.90361446 8.09638554],0
p11,1,0.087273,2.92397,[58  9] ; [11  5],[55.69879518 11.30120482] ; [13.30120482  2.69879518],0
p3,1,0.093961,2.805161,[54 12] ; [10  6],[51.51219512 14.48780488] ; [12.48780488  3.51219512],0
v4,1,0.110353,2.549157,[65  2] ; [14  2],[63.77108434  3.22891566] ; [15.22891566  0.77108434],0
s3,1,0.119161,2.428312,[50 16] ; [9 7],[47.48780488 18.51219512] ; [11.51219512  4.48780488],0
p10,1,0.145428,2.119567,[61  5] ; [12  3],[59.48148148  6.51851852] ; [13.51851852  1.48148148],0
b1,1,0.166393,1.915139,[25 42] ; [9 7],[27.44578313 39.55421687] ; [6.55421687 9.44578313],0
b2,1,0.179471,1.802002,[24 21] ; [ 5 10],[21.75 23.25] ; [7.25 7.75],0
b3,1,0.179471,1.802002,[24 21] ; [ 5 10],[21.75 23.25] ; [7.25 7.75],0
p2,1,0.182009,1.781147,[59  8] ; [12  4],[57.31325301  9.68674699] ; [13.68674699  2.31325301],0
a2,1,0.206831,1.593472,[13 54] ; [ 1 15],[11.30120482 55.69879518] ; [ 2.69879518 13.30120482],0
n6,1,0.232887,1.42314,[63  3] ; [14  2],[61.97560976  4.02439024] ; [15.02439024  0.97560976],0
a1,1,0.248909,1.329419,[12 55] ; [ 1 15],[10.4939759 56.5060241] ; [ 2.5060241 13.4939759],0
d4,1,0.264207,1.24658,[57  9] ; [12  4],[55.53658537 10.46341463] ; [13.46341463  2.53658537],0
a5,1,0.267445,1.229806,[51 16] ; [10  6],[49.24096386 17.75903614] ; [11.75903614  4.24096386],0
d5,1,0.316521,1.003268,[53 13] ; [11  5],[51.51219512 14.48780488] ; [12.48780488  3.51219512],0
