Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,187.637206,[526   8] ; [11 14],[512.98389982  21.01610018] ; [24.01610018  0.98389982],1
p11,1,0.0,30.094057,[446  88] ; [10 15],[435.60644007  98.39355993] ; [20.39355993  4.60644007],1
r2,1,0.0,28.934222,[521  11] ; [19  5],[516.69064748  15.30935252] ; [23.30935252  0.69064748],1
v4,1,0.0,25.467311,[521  12] ; [20  5],[516.76164875  16.23835125] ; [24.23835125  0.76164875],1
p2,1,2.2e-05,18.013228,[457  74] ; [13 11],[449.67567568  81.32432432] ; [20.32432432  3.67567568],1
p7,1,3.3e-05,17.229085,[360 158] ; [ 6 16],[351.08888889 166.91111111] ; [14.91111111  7.08888889],1
d4,1,0.000166,14.18662,[448  81] ; [14 11],[441.15162455  87.84837545] ; [20.84837545  4.15162455],1
d5,1,0.000217,13.678267,[448  83] ; [14 11],[441.22661871  89.77338129] ; [20.77338129  4.22661871],1
p9,1,0.000495,12.134781,[460  66] ; [15  9],[454.27272727  71.72727273] ; [20.72727273  3.27272727],1
p10,1,0.002042,9.511807,[455  72] ; [16  9],[449.66847826  77.33152174] ; [21.33152174  3.66847826],0
p4,1,0.003469,8.542718,[352 177] ; [ 9 15],[345.33273056 183.66726944] ; [15.66726944  8.33273056],0
s2,1,0.005314,7.769201,[296 229] ; [ 7 18],[289.22727273 235.77272727] ; [13.77272727 11.22727273],0
v2,1,0.007792,7.080714,[311 202] ; [ 8 16],[304.74301676 208.25698324] ; [14.25698324  9.74301676],0
v1,1,0.01202,6.307864,[320 203] ; [ 9 16],[313.99087591 209.00912409] ; [15.00912409  9.99087591],0
a7,1,0.013063,6.160503,[396 136] ; [13 12],[390.6427289 141.3572711] ; [18.3572711  6.6427289],0
b1,1,0.014823,5.937402,[211 323] ; [16  9],[216.84794275 317.15205725] ; [10.15205725 14.84794275],0
n3,1,0.018065,5.589832,[67 25] ; [ 8 10],[62.72727273 29.27272727] ; [12.27272727  5.72727273],0
s1,1,0.022661,5.1943,[ 17 506] ; [ 3 22],[ 19.08759124 503.91240876] ; [ 0.91240876 24.08759124],0
p5,1,0.030601,4.675194,[ 71 457] ; [ 7 17],[ 74.60869565 453.39130435] ; [ 3.39130435 20.60869565],0
d3,1,0.033673,4.511224,[381 150] ; [13 12],[376.28417266 154.71582734] ; [17.71582734  7.28417266],0
u2,1,0.039941,4.220397,[78 54] ; [1 5],[75.56521739 56.43478261] ; [3.43478261 2.56521739],0
s6,1,0.040403,4.200873,[384 140] ; [13 11],[379.61313869 144.38686131] ; [17.38686131  6.61313869],0
s3,1,0.042962,4.09688,[316 208] ; [ 9 14],[311.3345521 212.6654479] ; [13.6654479  9.3345521],0
d1,1,0.044469,4.038657,[341 193] ; [11 14],[336.25760286 197.74239714] ; [15.74239714  9.25760286],0
a6,1,0.045719,3.991919,[375 155] ; [13 12],[370.52252252 159.47747748] ; [17.47747748  7.52252252],0
p1,1,0.049511,3.857939,[ 45 485] ; [ 5 20],[ 47.74774775 482.25225225] ; [ 2.25225225 22.74774775],0
n1,1,0.072706,3.220854,[37 54] ; [12  7],[40.53636364 50.46363636] ; [ 8.46363636 10.53636364],0
u1,1,0.077859,3.109035,[123 411] ; [ 2 23],[119.40966011 414.59033989] ; [ 5.59033989 19.40966011],0
a1,1,0.087121,2.926783,[ 24 510] ; [ 3 22],[ 25.79248658 508.20751342] ; [ 1.20751342 23.79248658],0
p6,1,0.09819,2.734701,[213 312] ; [ 6 19],[209.04545455 315.95454545] ; [ 9.95454545 15.04545455],0
a8,1,0.105231,2.624415,[ 82 394] ; [ 1 22],[ 79.1743487 396.8256513] ; [ 3.8256513 19.1743487],0
a4,1,0.112178,2.523267,[265 266] ; [ 8 16],[261.19459459 269.80540541] ; [11.80540541 12.19459459],0
a2,1,0.148128,2.091425,[157 377] ; [ 4 21],[153.79964222 380.20035778] ; [ 7.20035778 17.79964222],0
a5,1,0.191293,1.70763,[421 112] ; [17  8],[418.37634409 114.62365591] ; [19.62365591  5.37634409],0
n6,1,0.194586,1.682547,[486  45] ; [21  4],[484.20323741  46.79676259] ; [22.79676259  2.20323741],0
b3,1,0.201721,1.629868,[136 195] ; [ 5 14],[133.34571429 197.65428571] ; [ 7.65428571 11.34571429],0
b2,1,0.201721,1.629868,[136 195] ; [ 5 14],[133.34571429 197.65428571] ; [ 7.65428571 11.34571429],0
p3,1,0.244947,1.351893,[285 245] ; [10 14],[282.22021661 247.77978339] ; [12.77978339 11.22021661],0
b4,1,0.258466,1.276954,[302 232] ; [17  8],[304.73345259 229.26654741] ; [14.26654741 10.73345259],0
n4,1,0.28996,1.119808,[483  51] ; [21  4],[481.45974955  52.54025045] ; [22.54025045  2.45974955],0
s7,1,0.336282,0.924554,[283 224] ; [11 13],[280.71186441 226.28813559] ; [13.28813559 10.71186441],0
s8,1,0.408942,0.681874,[266 263] ; [10 14],[264.02169982 264.97830018] ; [11.97830018 12.02169982],0
v3,1,0.423333,0.641044,[236 279] ; [ 9 15],[234.09090909 280.90909091] ; [10.90909091 13.09090909],0
a3,1,0.436881,0.604462,[401 130] ; [19  4],[402.5631769 128.4368231] ; [17.4368231  5.5631769],0
