Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,86.449531,[ 72 104] ; [386 104],[121.03303303  54.96696697] ; [336.96696697 153.03303303],1
d3,1,0.0,71.545685,[81 95] ; [391  99],[124.73273273  51.26726727] ; [347.26726727 142.73273273],1
a2,1,0.0,27.823875,[ 17 159] ; [145 346],[ 42.74662669 133.25337331] ; [119.25337331 371.74662669],1
u1,1,2e-06,22.764718,[ 11 165] ; [110 381],[ 31.92803598 144.07196402] ; [ 89.07196402 401.92803598],1
u3,1,0.000104,15.071584,[13 30] ; [84 47],[23.97126437 19.02873563] ; [73.02873563 57.97126437],1
r4,1,0.000201,13.822555,[147  29] ; [457  34],[159.37631184  16.62368816] ; [444.62368816  46.37631184],1
b5,1,0.000258,13.351385,[86 90] ; [317 174],[106.33883058  69.66116942] ; [296.66116942 194.33883058],1
r1,1,0.000807,11.224232,[126  50] ; [405  81],[141.17220544  34.82779456] ; [389.82779456  96.17220544],1
b1,1,0.002572,9.08867,[77 99] ; [153 338],[ 60.68965517 115.31034483] ; [169.31034483 321.68965517],0
d1,1,0.004118,8.230863,[89 87] ; [309 182],[105.01949025  70.98050975] ; [292.98050975 198.01949025],0
d5,1,0.004574,8.040741,[132  43] ; [417  74],[144.25675676  30.74324324] ; [404.74324324  86.25675676],0
r3,1,0.005833,7.601314,[163  13] ; [473  13],[169.08761329   6.91238671] ; [466.91238671  19.08761329],0
r2,1,0.007607,7.123813,[157  16] ; [464  19],[163.76981707   9.23018293] ; [457.23018293  25.76981707],0
v4,1,0.012888,6.184403,[163  12] ; [473  13],[168.38124054   6.61875946] ; [467.61875946  18.38124054],0
n5,1,0.013267,6.133196,[148  27] ; [367 119],[136.34644478  38.65355522] ; [378.65355522 107.34644478],0
v2,1,0.037859,4.311346,[88 84] ; [284 187],[99.50855365 72.49144635] ; [272.49144635 198.50855365],0
u2,1,0.052415,3.762479,[19 24] ; [80 51],[24.46551724 18.53448276] ; [74.53448276 56.46551724],0
b2,1,0.053821,3.718234,[54 61] ; [103 179],[45.47858942 69.52141058] ; [111.52141058 170.47858942],0
b3,1,0.053821,3.718234,[54 61] ; [103 179],[45.47858942 69.52141058] ; [111.52141058 170.47858942],0
d4,1,0.058723,3.573083,[139  36] ; [420  71],[146.88438438  28.11561562] ; [412.11561562  78.88438438],0
p10,1,0.064428,3.419556,[155  21] ; [452  36],[160.89156627  15.10843373] ; [446.10843373  41.89156627],0
n4,1,0.072128,3.233909,[146  29] ; [377 113],[137.63157895  37.36842105] ; [385.36842105 104.63157895],0
p4,1,0.116685,2.461264,[106  69] ; [329 161],[114.47368421  60.52631579] ; [320.52631579 169.47368421],0
s7,1,0.137877,2.201492,[97 73] ; [237 233],[88.71875 81.28125] ; [245.28125 224.71875],0
a5,1,0.169999,1.882948,[126  50] ; [377 114],[132.72563718  43.27436282] ; [370.27436282 120.72563718],0
s5,1,0.173736,1.850407,[ 69 100] ; [165 307],[ 61.69422777 107.30577223] ; [172.30577223 299.69422777],0
p12,1,0.18333,1.770423,[ 11 164] ; [ 47 443],[ 15.26315789 159.73684211] ; [ 42.73684211 447.26315789],0
a1,1,0.191116,1.70899,[ 11 165] ; [ 19 472],[  7.91604198 168.08395802] ; [ 22.08395802 468.91604198],0
s2,1,0.270624,1.213584,[86 90] ; [261 225],[92.25377644 83.74622356] ; [254.74622356 231.25377644],0
n1,1,0.340065,0.910186,[19 28] ; [28 59],[16.48507463 30.51492537] ; [30.51492537 56.48507463],0
a8,1,0.357781,0.845668,[ 21 144] ; [ 69 370],[ 24.58609272 140.41390728] ; [ 65.41390728 373.58609272],0
s1,1,0.392311,0.731769,[  3 173] ; [ 14 469],[  4.54021244 171.45978756] ; [ 12.45978756 470.54021244],0
n3,1,0.41098,0.675965,[32 14] ; [67 21],[33.98507463 12.01492537] ; [65.01492537 22.98507463],0
a3,1,0.439588,0.597357,[133  42] ; [357 132],[129.14156627  45.85843373] ; [360.85843373 128.14156627],0
p6,1,0.443862,0.586279,[ 66 107] ; [202 285],[ 70.24848485 102.75151515] ; [197.75151515 289.24848485],0
s6,1,0.481769,0.494857,[116  54] ; [342 139],[119.60061444  50.39938556] ; [338.39938556 142.60061444],0
b4,1,0.500028,0.454877,[97 79] ; [285 206],[100.7976012  75.2023988] ; [281.2023988 209.7976012],0
s8,1,0.560849,0.338236,[86 90] ; [226 262],[82.69879518 93.30120482] ; [229.30120482 258.69879518],0
p5,1,0.56889,0.324544,[ 26 150] ; [ 64 426],[ 23.78378378 152.21621622] ; [ 66.21621622 423.78378378],0
p1,1,0.568932,0.324473,[ 14 162] ; [ 46 444],[ 15.85585586 160.14414414] ; [ 44.14414414 445.85585586],0
v1,1,0.615193,0.252682,[95 76] ; [275 201],[97.78979907 73.21020093] ; [272.21020093 203.78979907],0
n2,1,0.650518,0.205248,[33 14] ; [65 23],[34.11851852 12.88148148] ; [63.88148148 24.11851852],0
s3,1,0.687173,0.162162,[103  71] ; [278 206],[100.75075988  73.24924012] ; [280.24924012 203.75075988],0
n6,1,0.716731,0.131647,[153  21] ; [423  64],[151.62481089  22.37518911] ; [424.37518911  62.62481089],0
u4,1,0.719875,0.128613,[  4 172] ; [  9 481],[  3.43543544 172.56456456] ; [  9.56456456 480.43543544],0
p7,1,0.736791,0.112967,[120  55] ; [335 144],[121.75076453  53.24923547] ; [333.24923547 145.75076453],0
p11,1,0.754954,0.097415,[147  29] ; [415  76],[148.29385307  27.70614693] ; [413.70614693  77.29385307],0
p8,1,0.810182,0.057692,[101  73] ; [286 198],[102.33738602  71.66261398] ; [284.66261398 199.33738602],0
v3,1,0.831104,0.045491,[ 70 103] ; [187 286],[ 68.8250774 104.1749226] ; [188.1749226 284.8250774],0
s4,1,0.903055,0.014836,[ 29 147] ; [ 78 407],[ 28.49016641 147.50983359] ; [ 78.50983359 406.49016641],0
a4,1,0.915634,0.011222,[80 96] ; [225 265],[80.6006006 95.3993994] ; [224.3993994 265.6006006],0
d2,1,0.921243,0.009775,[85 91] ; [235 256],[84.43778111 91.56221889] ; [235.56221889 255.43778111],0
p3,1,0.926899,0.008417,[95 81] ; [267 224],[95.52023988 80.47976012] ; [266.47976012 224.52023988],0
