Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,23.730863,[ 41 105] ; [35 18],[55.75879397 90.24120603] ; [20.24120603 32.75879397],1
v1,1,6.8e-05,15.853099,[ 40 104] ; [31 22],[51.89847716 92.10152284] ; [19.10152284 33.89847716],1
d4,1,0.005934,7.570111,[90 58] ; [44 10],[98.17821782 49.82178218] ; [35.82178218 18.17821782],0
n4,1,0.006345,7.449555,[84 64] ; [42 12],[92.31683168 55.68316832] ; [33.68316832 20.31683168],0
p6,1,0.007116,7.24333,[ 35 111] ; [22 28],[ 42.45918367 103.54081633] ; [14.54081633 35.45918367],0
d3,1,0.00749,7.151509,[69 77] ; [37 17],[77.38 68.62] ; [28.62 25.38],0
a3,1,0.011604,6.370436,[77 70] ; [39 15],[84.8358209 62.1641791] ; [31.1641791 22.8358209],0
d1,1,0.011688,6.357629,[ 48 100] ; [28 26],[55.68316832 92.31683168] ; [20.31683168 33.68316832],0
s7,1,0.01169,6.357328,[ 38 101] ; [25 29],[45.37305699 93.62694301] ; [17.62694301 36.37305699],0
r2,1,0.017895,5.606434,[103  38] ; [48  6],[109.18461538  31.81538462] ; [41.81538462 12.18461538],0
s8,1,0.018368,5.560674,[ 33 115] ; [21 33],[ 39.56435644 108.43564356] ; [14.43564356 39.56435644],0
d5,1,0.022556,5.202389,[92 55] ; [43 11],[98.73134328 48.26865672] ; [36.26865672 17.73134328],0
s6,1,0.028637,4.789288,[61 87] ; [29 20],[67.6142132 80.3857868] ; [22.3857868 26.6142132],0
r4,1,0.033896,4.499963,[71 77] ; [35 19],[77.66336634 70.33663366] ; [28.33663366 25.66336634],0
n6,1,0.050862,3.812809,[103  45] ; [45  9],[108.43564356  39.56435644] ; [39.56435644 14.43564356],0
b2,1,0.052705,3.753254,[25 64] ; [15 17],[29.4214876 59.5785124] ; [10.5785124 21.4214876],0
b3,1,0.052705,3.753254,[25 64] ; [15 17],[29.4214876 59.5785124] ; [10.5785124 21.4214876],0
