Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.919485,[ 3 62] ; [18 25],[12.63888889 52.36111111] ; [ 8.36111111 34.63888889],1
s2,1,4e-06,21.481409,[ 9 56] ; [24 19],[19.86111111 45.13888889] ; [13.13888889 29.86111111],1
p4,1,7e-06,20.168176,[14 50] ; [28 15],[25.12149533 38.87850467] ; [16.87850467 26.12149533],1
p2,1,5.6e-05,16.224601,[27 37] ; [35  8],[37.08411215 26.91588785] ; [24.91588785 18.08411215],1
s3,1,6.7e-05,15.886225,[21 43] ; [31 12],[31.10280374 32.89719626] ; [20.89719626 22.10280374],1
p7,1,7.1e-05,15.772249,[21 42] ; [30 11],[30.89423077 32.10576923] ; [20.10576923 20.89423077],1
s5,1,7.4e-05,15.69621,[ 1 61] ; [11 29],[ 7.29411765 54.70588235] ; [ 4.70588235 35.29411765],1
r3,1,9e-05,15.340764,[43 22] ; [42  1],[51.15740741 13.84259259] ; [33.84259259  9.15740741],1
s4,1,0.002251,9.333069,[ 6 59] ; [14 29],[12.03703704 52.96296296] ; [ 7.96296296 35.03703704],0
s7,1,0.009367,6.751488,[ 8 49] ; [15 26],[13.37755102 43.62244898] ; [ 9.62244898 31.37755102],0
r4,1,0.011632,6.366141,[36 29] ; [34  9],[42.12962963 22.87037037] ; [27.87037037 15.12962963],0
v4,1,0.012245,6.275005,[43 21] ; [38  5],[48.44859813 15.55140187] ; [32.55140187 10.44859813],0
n2,1,0.013776,6.066667,[13 14] ; [13  2],[16.71428571 10.28571429] ; [9.28571429 5.71428571],0
p3,1,0.013959,6.043269,[13 52] ; [18 25],[18.65740741 46.34259259] ; [12.34259259 30.65740741],0
p10,1,0.017173,5.678571,[26 38] ; [27 15],[32. 32.] ; [21. 21.],0
p11,1,0.020383,5.378761,[26 39] ; [27 16],[31.89814815 33.10185185] ; [21.10185185 21.89814815],0
p8,1,0.023625,5.121951,[16 48] ; [19 22],[21.33333333 42.66666667] ; [13.66666667 27.33333333],0
p9,1,0.045259,4.00895,[30 34] ; [28 14],[35.01886792 28.98113208] ; [22.98113208 19.01886792],0
v2,1,0.057962,3.594771,[16 44] ; [18 22],[20.4 39.6] ; [13.6 26.4],0
d3,1,0.059502,3.55122,[34 30] ; [30 12],[38.64150943 25.35849057] ; [25.35849057 16.64150943],0
d1,1,0.062532,3.468913,[23 42] ; [23 20],[27.68518519 37.31481481] ; [18.31481481 24.68518519],0
a8,1,0.072925,3.215924,[ 3 60] ; [ 6 34],[ 5.50485437 57.49514563] ; [ 3.49514563 36.50485437],0
p6,1,0.118533,2.436595,[ 9 55] ; [11 31],[12.0754717 51.9245283] ; [ 7.9245283 34.0754717],0
a4,1,0.148812,2.084386,[27 38] ; [12 31],[23.47222222 41.52777778] ; [15.52777778 27.47222222],0
a1,1,0.153632,2.03581,[ 6 59] ; [ 1 42],[ 4.21296296 60.78703704] ; [ 2.78703704 40.21296296],0
a3,1,0.161626,1.95895,[40 24] ; [21 22],[36.48598131 27.51401869] ; [24.51401869 18.48598131],0
u1,1,0.173144,1.855513,[ 3 62] ; [ 5 38],[ 4.81481481 60.18518519] ; [ 3.18518519 39.81481481],0
n3,1,0.182422,1.777778,[13 12] ; [11  4],[15. 10.] ; [9. 6.],0
a5,1,0.187591,1.736435,[34 31] ; [28 15],[37.31481481 27.68518519] ; [24.68518519 18.31481481],0
u3,1,0.225932,1.466291,[11 14] ; [13  8],[13.04347826 11.95652174] ; [10.95652174 10.04347826],0
r1,1,0.227709,1.455116,[39 26] ; [30 12],[41.91588785 23.08411215] ; [27.08411215 14.91588785],0
d5,1,0.247877,1.335229,[41 24] ; [31 11],[43.73831776 21.26168224] ; [28.26168224 13.73831776],0
r2,1,0.302774,1.061938,[50 14] ; [37  6],[52.03738318 11.96261682] ; [34.96261682  8.03738318],0
p5,1,0.331283,0.943876,[ 1 63] ; [ 2 40],[ 1.81132075 62.18867925] ; [ 1.18867925 40.81132075],0
u2,1,0.391307,0.734876,[14 11] ; [15  7],[15.42553191  9.57446809] ; [13.57446809  8.42553191],0
n1,1,0.392041,0.732601,[10 15] ; [ 4 11],[ 8.75 16.25] ; [5.25 9.75],0
b2,1,0.438074,0.601321,[10 26] ; [ 5 21],[ 8.70967742 27.29032258] ; [ 6.29032258 19.70967742],0
b3,1,0.438074,0.601321,[10 26] ; [ 5 21],[ 8.70967742 27.29032258] ; [ 6.29032258 19.70967742],0
a7,1,0.473259,0.514358,[41 24] ; [30 13],[42.73148148 22.26851852] ; [28.26851852 14.73148148],0
d4,1,0.575411,0.313712,[44 20] ; [31 11],[45.28301887 18.71698113] ; [29.71698113 12.28301887],0
b4,1,0.660265,0.193202,[35 30] ; [25 18],[36.11111111 28.88888889] ; [23.88888889 19.11111111],0
b5,1,0.660265,0.193202,[35 30] ; [25 18],[36.11111111 28.88888889] ; [23.88888889 19.11111111],0
n4,1,0.664826,0.187714,[33 32] ; [20 23],[31.89814815 33.10185185] ; [21.10185185 21.89814815],0
p1,1,0.724509,0.124213,[ 4 60] ; [ 2 41],[ 3.58878505 60.41121495] ; [ 2.41121495 40.58878505],0
a2,1,0.727541,0.121381,[ 9 56] ; [ 7 36],[ 9.62962963 55.37037037] ; [ 6.37037037 36.62962963],0
d2,1,0.769295,0.086024,[26 39] ; [18 24],[26.72897196 38.27102804] ; [17.27102804 24.72897196],0
b1,1,0.844163,0.03864,[33 32] ; [21 22],[32.5 32.5] ; [21.5 21.5],0
s1,1,0.88151,0.022218,[ 4 60] ; [ 3 40],[ 4.18691589 59.81308411] ; [ 2.81308411 40.18691589],0
a6,1,0.883107,0.021618,[44 21] ; [29 13],[44.34579439 20.65420561] ; [28.65420561 13.34579439],0
v3,1,0.918351,0.010509,[12 49] ; [ 8 31],[12.2 48.8] ; [ 7.8 31.2],0
n5,1,0.973198,0.001129,[27 37] ; [18 25],[26.91588785 37.08411215] ; [18.08411215 24.91588785],0
