Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,27.033761,[ 4 28] ; [19  4],[13.38181818 18.61818182] ; [ 9.61818182 13.38181818],1
d2,1,0.002906,8.865617,[11 24] ; [17  7],[16.61016949 18.38983051] ; [11.38983051 12.61016949],0
a2,1,0.003221,8.677885,[ 1 35] ; [ 7 17],[ 4.8 31.2] ; [ 3.2 20.8],0
p9,1,0.005189,7.8125,[19 17] ; [21  3],[24. 12.] ; [16.  8.],0
v1,1,0.008042,7.024062,[11 25] ; [14  7],[15.78947368 20.21052632] ; [ 9.21052632 11.78947368],0
s6,1,0.008668,6.889952,[18 18] ; [20  4],[22.8 13.2] ; [15.2  8.8],0
u1,1,0.012099,6.296296,[ 2 34] ; [ 7 17],[ 5.4 30.6] ; [ 3.6 20.4],0
d1,1,0.015276,5.884316,[14 22] ; [17  7],[18.6 17.4] ; [12.4 11.6],0
d5,1,0.015725,5.833333,[21 15] ; [21  3],[25.2 10.8] ; [16.8  7.2],0
a4,1,0.026098,4.949495,[12 24] ; [15  9],[16.2 19.8] ; [10.8 13.2],0
s2,1,0.07298,3.214683,[14 22] ; [15  9],[17.4 18.6] ; [11.6 12.4],0
p7,1,0.07298,3.214683,[22 14] ; [ 9 15],[18.6 17.4] ; [12.4 11.6],0
a3,1,0.082843,3.008226,[19 17] ; [18  6],[22.2 13.8] ; [14.8  9.2],0
v4,1,0.088105,2.908654,[29  7] ; [23  1],[31.2  4.8] ; [20.8  3.2],0
p6,1,0.093533,2.8125,[ 9 27] ; [11 13],[12. 24.] ; [ 8. 16.],0
p10,1,0.093533,2.8125,[21 15] ; [19  5],[24. 12.] ; [16.  8.],0
n5,1,0.101535,2.681259,[23 13] ; [20  4],[25.8 10.2] ; [17.2  6.8],0
u3,1,0.123324,2.374585,[8 9] ; [5 1],[9.60869565 7.39130435] ; [3.39130435 2.60869565],0
n1,1,0.146924,2.103896,[4 7] ; [5 2],[5.5 5.5] ; [3.5 3.5],0
p8,1,0.16194,1.956019,[17 19] ; [ 7 17],[14.4 21.6] ; [ 9.6 14.4],0
s3,1,0.170349,1.879867,[16 20] ; [15  9],[18.6 17.4] ; [12.4 11.6],0
u2,1,0.18262,1.776169,[ 6 11] ; [4 2],[7.39130435 9.60869565] ; [2.60869565 3.39130435],0
p11,1,0.184844,1.758242,[21 15] ; [18  6],[23.4 12.6] ; [15.6  8.4],0
d3,1,0.205651,1.60178,[15 21] ; [14 10],[17.4 18.6] ; [11.6 12.4],0
n6,1,0.215453,1.534403,[26  9] ; [21  3],[27.88135593  7.11864407] ; [19.11864407  4.88135593],0
p1,1,0.218782,1.512346,[ 5 31] ; [ 1 23],[ 3.6 32.4] ; [ 2.4 21.6],0
n4,1,0.223543,1.481481,[25 11] ; [20  4],[27.  9.] ; [18.  6.],0
r4,1,0.237674,1.394336,[29  7] ; [22  2],[30.6  5.4] ; [20.4  3.6],0
s5,1,0.25852,1.276668,[ 9 25] ; [ 9 13],[10.92857143 23.07142857] ; [ 7.07142857 14.92857143],0
b5,1,0.285049,1.142857,[19 17] ; [16  8],[21. 15.] ; [14. 10.],0
b1,1,0.291841,1.111111,[16 20] ; [14 10],[18. 18.] ; [12. 12.],0
r1,1,0.292502,1.108071,[24 12] ; [19  5],[25.8 10.2] ; [17.2  6.8],0
a7,1,0.329256,0.951821,[24 12] ; [13 11],[22.2 13.8] ; [14.8  9.2],0
r2,1,0.340356,0.909091,[32  4] ; [23  1],[33.  3.] ; [22.  2.],0
a1,1,0.340356,0.909091,[ 4 32] ; [ 1 23],[ 3. 33.] ; [ 2. 22.],0
a5,1,0.404123,0.696023,[25 11] ; [19  5],[26.4  9.6] ; [17.6  6.4],0
p4,1,0.456567,0.554299,[19 17] ; [15  9],[20.4 15.6] ; [13.6 10.4],0
p12,1,0.526168,0.401786,[ 3 33] ; [ 1 23],[ 2.4 33.6] ; [ 1.6 22.4],0
a8,1,0.569558,0.323422,[ 3 31] ; [ 3 19],[ 3.64285714 30.35714286] ; [ 2.35714286 19.64285714],0
n3,1,0.605242,0.267161,[9 2] ; [5 2],[8.55555556 2.44444444] ; [5.44444444 1.55555556],0
d4,1,0.639896,0.218878,[25 11] ; [18  6],[25.8 10.2] ; [17.2  6.8],0
s1,1,0.725315,0.123457,[ 4 32] ; [ 2 22],[ 3.6 32.4] ; [ 2.4 21.6],0
a6,1,0.746886,0.104167,[21 15] ; [15  9],[21.6 14.4] ; [14.4  9.6],0
p5,1,0.806357,0.060088,[ 4 32] ; [ 2 20],[ 3.72413793 32.27586207] ; [ 2.27586207 19.72413793],0
s4,1,0.853825,0.033944,[ 8 27] ; [ 5 19],[ 7.71186441 27.28813559] ; [ 5.28813559 18.71186441],0
v3,1,0.872859,0.025609,[12 23] ; [ 8 14],[12.28070175 22.71929825] ; [ 7.71929825 14.28070175],0
b2,1,0.896764,0.016835,[ 7 11] ; [ 9 13],[ 7.2 10.8] ; [ 8.8 13.2],0
b3,1,0.896764,0.016835,[ 7 11] ; [ 9 13],[ 7.2 10.8] ; [ 8.8 13.2],0
v2,1,0.992806,8.1e-05,[19 16] ; [13 11],[18.98305085 16.01694915] ; [13.01694915 10.98305085],0
b4,1,1.0,0.0,[21 15] ; [14 10],[21. 15.] ; [14. 10.],0
