Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,5e-06,20.845041,[35 22] ; [241  37],[46.96119403 10.03880597] ; [229.03880597  48.96119403],1
p10,1,0.000665,11.584656,[33 24] ; [217  57],[43.05135952 13.94864048] ; [206.94864048  67.05135952],1
s5,1,0.025021,5.022421,[ 5 47] ; [ 63 205],[11.05 40.95] ; [ 56.95 211.05],0
p8,1,0.038329,4.290355,[19 37] ; [134 139],[26.04255319 29.95744681] ; [126.95744681 146.04255319],0
v1,1,0.040701,4.18843,[21 34] ; [145 127],[27.9204893 27.0795107] ; [138.0795107 133.9204893],0
b1,1,0.051551,3.790279,[30 27] ; [108 171],[23.41071429 33.58928571] ; [114.58928571 164.41071429],0
p9,1,0.068463,3.319488,[39 18] ; [217  56],[44.21818182 12.78181818] ; [211.78181818  61.21818182],0
d1,1,0.069554,3.293516,[25 32] ; [159 120],[31.21428571 25.78571429] ; [152.78571429 126.21428571],0
u1,1,0.069834,3.286927,[ 3 54] ; [ 39 240],[ 7.125 49.875] ; [ 34.875 244.125],0
p5,1,0.071013,3.259439,[ 1 56] ; [ 24 253],[ 4.26646707 52.73353293] ; [ 20.73353293 256.26646707],0
d5,1,0.077668,3.113038,[40 17] ; [225  54],[44.95535714 12.04464286] ; [220.04464286  58.95535714],0
a2,1,0.081014,3.044446,[ 7 50] ; [ 63 216],[11.875 45.125] ; [ 58.125 220.875],0
n1,1,0.112646,2.516706,[ 3 10] ; [26 29],[5.54411765 7.45588235] ; [23.45588235 31.54411765],0
d2,1,0.122707,2.382424,[22 35] ; [137 138],[27.29819277 29.70180723] ; [131.70180723 143.29819277],0
u2,1,0.135243,2.231265,[15  9] ; [46 55],[11.712 12.288] ; [49.288 51.712],0
p6,1,0.137055,2.210716,[11 45] ; [ 80 192],[15.53658537 40.46341463] ; [ 75.46341463 196.53658537],0
v3,1,0.15789,1.994316,[14 41] ; [ 94 172],[18.5046729 36.4953271] ; [ 89.4953271 176.5046729],0
a6,1,0.170697,1.876813,[35 22] ; [197  82],[39.35714286 17.64285714] ; [192.64285714  86.35714286],0
s6,1,0.171525,1.869565,[23 33] ; [139 133],[27.65853659 28.34146341] ; [134.34146341 137.65853659],0
p7,1,0.198565,1.652897,[28 29] ; [160 114],[32.37462236 24.62537764] ; [155.62537764 118.37462236],0
s8,1,0.21009,1.570806,[15 42] ; [ 53 226],[11.53571429 45.46428571] ; [ 56.46428571 222.53571429],0
r2,1,0.216142,1.529801,[48  7] ; [254  21],[50.33333333  4.66666667] ; [251.66666667  23.33333333],0
s4,1,0.235841,1.405283,[ 4 53] ; [ 34 237],[ 6.60365854 50.39634146] ; [ 31.39634146 239.60365854],0
p4,1,0.278969,1.172105,[26 30] ; [150 126],[29.68674699 26.31325301] ; [146.31325301 129.68674699],0
a5,1,0.363573,0.825512,[37 20] ; [198  81],[39.86607143 17.13392857] ; [195.13392857  83.86607143],0
s3,1,0.384125,0.757459,[17 37] ; [103 170],[19.81651376 34.18348624] ; [100.18348624 172.81651376],0
s2,1,0.386163,0.750991,[12 44] ; [ 74 200],[14.59393939 41.40606061] ; [ 71.40606061 202.59393939],0
n3,1,0.390103,0.738621,[11  2] ; [41 15],[9.79710145 3.20289855] ; [42.20289855 13.79710145],0
b4,1,0.416542,0.66005,[38 19] ; [170 109],[35.28571429 21.71428571] ; [172.71428571 106.28571429],0
a3,1,0.422691,0.642822,[33 24] ; [176 101],[35.66766467 21.33233533] ; [173.33233533 103.66766467],0
b5,1,0.476359,0.507187,[37 20] ; [167 112],[34.60714286 22.39285714] ; [169.39285714 109.60714286],0
a8,1,0.497817,0.459588,[ 6 47] ; [ 38 217],[ 7.57142857 45.42857143] ; [ 36.42857143 218.57142857],0
a7,1,0.526543,0.401059,[39 18] ; [201  76],[40.95808383 16.04191617] ; [199.04191617  77.95808383],0
