Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,90.187516,[154   5] ; [70 73],[117.93377483  41.06622517] ; [106.06622517  36.93377483],1
d2,1,0.0,89.873812,[112  45] ; [ 24 119],[71.17333333 85.82666667] ; [64.82666667 78.17333333],1
d4,1,0.0,84.15644,[153   4] ; [75 69],[118.92358804  38.07641196] ; [109.07641196  34.92358804],1
d3,1,0.0,71.187687,[137  22] ; [56 86],[101.95016611  57.04983389] ; [91.04983389 50.95016611],1
a2,1,1e-06,25.089999,[ 45 114] ; [  9 135],[ 28.33663366 130.66336634] ; [ 25.66336634 118.33663366],1
a4,1,1e-06,23.444525,[85 73] ; [ 38 106],[64.35099338 93.64900662] ; [58.64900662 85.35099338],1
a5,1,7e-06,20.253719,[123  36] ; [76 68],[104.42574257  54.57425743] ; [94.57425743 49.42574257],1
u1,1,8e-05,15.562906,[ 28 131] ; [  5 139],[ 17.31683168 141.68316832] ; [ 15.68316832 128.31683168],1
r1,1,0.000317,12.966886,[129  29] ; [91 53],[115.09933775  42.90066225] ; [104.90066225  39.09933775],1
a3,1,0.000375,12.654079,[121  37] ; [82 61],[106.55813953  51.44186047] ; [96.44186047 46.55813953],1
n4,1,0.001335,10.293784,[125  34] ; [89 55],[112.2970297  46.7029703] ; [101.7029703  42.2970297],0
v2,1,0.002405,9.211756,[91 63] ; [57 81],[78.05479452 75.94520548] ; [69.94520548 68.05479452],0
n6,1,0.002975,8.822983,[128  30] ; [95 49],[116.66887417  41.33112583] ; [106.33112583  37.66887417],0
a6,1,0.003295,8.636283,[121  38] ; [87 57],[109.14851485  49.85148515] ; [98.85148515 45.14851485],0
s8,1,0.005163,7.821422,[ 40 119] ; [ 18 126],[ 30.43564356 128.56435644] ; [ 27.56435644 116.43564356],0
p8,1,0.005206,7.806398,[80 76] ; [50 92],[68.05369128 87.94630872] ; [61.94630872 80.05369128],0
a7,1,0.006891,7.301227,[120  38] ; [88 55],[109.18272425  48.81727575] ; [98.81727575 44.18272425],0
r3,1,0.011617,6.368383,[148  10] ; [122  22],[141.25827815  16.74172185] ; [128.74172185  15.25827815],0
s4,1,0.01397,6.041887,[  6 153] ; [ 16 128],[ 11.54455446 147.45544554] ; [ 10.45544554 133.54455446],0
p10,1,0.019518,5.454456,[118  39] ; [89 53],[108.69230769  48.30769231] ; [98.30769231 43.69230769],0
s1,1,0.039389,4.244032,[  2 154] ; [  8 136],[  5.2 150.8] ; [  4.8 139.2],0
p9,1,0.050057,3.839563,[120  37] ; [94 48],[112.36789298  44.63210702] ; [101.63210702  40.36789298],0
s5,1,0.057935,3.595543,[ 26 129] ; [ 13 127],[ 20.49152542 134.50847458] ; [ 18.50847458 121.49152542],0
n5,1,0.064823,3.409483,[110  48] ; [85 58],[102.35880399  55.64119601] ; [92.64119601 50.35880399],0
n2,1,0.069545,3.29373,[23 18] ; [28  9],[26.80769231 14.19230769] ; [24.19230769 12.80769231],0
v3,1,0.082031,3.024199,[60 90] ; [42 97],[52.94117647 97.05882353] ; [49.05882353 89.94117647],0
b4,1,0.113307,2.507486,[95 64] ; [73 71],[88.15841584 70.84158416] ; [79.84158416 64.15841584],0
n3,1,0.130702,2.284142,[25 16] ; [27  8],[28.05263158 12.94736842] ; [23.94736842 11.05263158],0
b5,1,0.14621,2.111349,[84 75] ; [88 56],[90.25742574 68.74257426] ; [81.74257426 62.25742574],0
p7,1,0.15109,2.061214,[91 67] ; [69 71],[84.83221477 73.16778523] ; [75.16778523 64.83221477],0
p11,1,0.153171,2.040383,[124  35] ; [102  42],[118.59405941  40.40594059] ; [107.40594059  36.59405941],0
p1,1,0.179806,1.799229,[ 10 149] ; [ 15 127],[ 13.20598007 145.79401993] ; [ 11.79401993 130.20598007],0
p4,1,0.183065,1.772561,[73 83] ; [56 87],[67.30434783 88.69565217] ; [61.69565217 81.30434783],0
b1,1,0.245685,1.347673,[ 57 102] ; [61 83],[61.92079208 97.07920792] ; [56.07920792 87.92079208],0
a1,1,0.301037,1.069596,[  5 154] ; [  8 136],[  6.82178218 152.17821782] ; [  6.17821782 137.82178218],0
r4,1,0.315678,1.006771,[136  23] ; [117  27],[132.76237624  26.23762376] ; [120.23762376  23.76237624],0
b2,1,0.323924,0.973038,[39 52] ; [31 56],[35.78651685 55.21348315] ; [34.21348315 52.78651685],0
b3,1,0.323924,0.973038,[39 52] ; [31 56],[35.78651685 55.21348315] ; [34.21348315 52.78651685],0
v1,1,0.340351,0.909109,[73 85] ; [57 83],[68.9261745 89.0738255] ; [61.0738255 78.9261745],0
u2,1,0.391702,0.733653,[20 17] ; [28 34],[17.93939394 19.06060606] ; [30.06060606 31.93939394],0
n1,1,0.408135,0.684226,[13 27] ; [15 21],[14.73684211 25.26315789] ; [13.26315789 22.73684211],0
