Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,38.131309,[111  41] ; [20 49],[90.09954751 61.90045249] ; [40.90045249 28.09954751],1
p8,1,1e-06,24.839586,[109  42] ; [24 42],[92.5483871 58.4516129] ; [40.4516129 25.5483871],1
v1,1,3e-06,21.949689,[122  30] ; [34 35],[107.29411765  44.70588235] ; [48.70588235 20.29411765],1
p5,1,4.1e-05,16.832055,[ 36 116] ; [ 1 68],[ 25.4479638 126.5520362] ; [11.5520362 57.4479638],1
p2,1,5.3e-05,16.322832,[142  10] ; [51 18],[132.74208145  19.25791855] ; [60.25791855  8.74208145],1
n5,1,6.8e-05,15.853107,[136  15] ; [48 22],[125.71945701  25.28054299] ; [58.28054299 11.71945701],1
p6,1,0.000126,14.707861,[74 75] ; [15 53],[61.11059908 87.88940092] ; [27.88940092 40.11059908],1
s5,1,0.000205,13.781411,[72 74] ; [15 52],[59.63380282 86.36619718] ; [27.36619718 39.63380282],1
r4,1,0.00031,13.00779,[147   5] ; [58 12],[140.36036036  11.63963964] ; [64.63963964  5.36036036],1
p7,1,0.000606,11.756006,[115  35] ; [34 30],[104.43925234  45.56074766] ; [44.56074766 19.43925234],1
p10,1,0.002061,9.494487,[140  11] ; [54 15],[133.15454545  17.84545455] ; [60.84545455  8.15454545],0
s2,1,0.016997,5.69673,[95 53] ; [33 37],[86.89908257 61.10091743] ; [41.10091743 28.89908257],0
p12,1,0.023869,5.104141,[ 29 123] ; [ 5 64],[ 23.38461538 128.61538462] ; [10.61538462 58.38461538],0
a5,1,0.034221,4.48363,[134  18] ; [54 16],[128.72072072  23.27927928] ; [59.27927928 10.72072072],0
n2,1,0.036472,4.37491,[19  4] ; [10  9],[15.88095238  7.11904762] ; [13.11904762  5.88095238],0
u1,1,0.039219,4.25137,[ 51 101] ; [14 56],[ 44.5045045 107.4954955] ; [20.4954955 49.5045045],0
p9,1,0.044628,4.032651,[139  11] ; [57 11],[134.86238532  15.13761468] ; [61.13761468  6.86238532],0
b5,1,0.046303,3.970521,[85 67] ; [49 21],[91.74774775 60.25225225] ; [42.25225225 27.74774775],0
u3,1,0.051119,3.804362,[17  5] ; [8 9],[14.1025641  7.8974359] ; [10.8974359  6.1025641],0
r1,1,0.057597,3.60525,[135  16] ; [56 14],[130.50226244  20.49773756] ; [60.49773756  9.50226244],0
n4,1,0.06955,3.293621,[137  15] ; [57 13],[132.82882883  19.17117117] ; [61.17117117  8.82882883],0
a3,1,0.087702,2.916062,[130  21] ; [53 16],[125.60454545  25.39545455] ; [57.39545455 11.60454545],0
