Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,79.464883,[224  26] ; [44 54],[192.52873563  57.47126437] ; [75.47126437 22.52873563],1
r2,1,0.0,28.58987,[236  12] ; [71 23],[222.61988304  25.38011696] ; [84.38011696  9.61988304],1
v4,1,0.0,25.694568,[228  18] ; [70 27],[213.72594752  32.27405248] ; [84.27405248 12.72594752],1
r3,1,1e-06,24.557675,[229  19] ; [70 27],[214.93333333  33.06666667] ; [84.06666667 12.93333333],1
v2,1,3e-06,22.162645,[127 106] ; [25 71],[107.64741641 125.35258359] ; [44.35258359 51.64741641],1
s8,1,8e-06,20.059038,[ 88 161] ; [11 87],[ 71.04034582 177.95965418] ; [27.95965418 70.04034582],1
a5,1,0.000162,14.226452,[174  76] ; [47 51],[158.76436782  91.23563218] ; [62.23563218 35.76436782],1
d4,1,0.000177,14.056146,[201  46] ; [61 37],[187.57681159  59.42318841] ; [74.42318841 23.57681159],1
d1,1,0.000372,12.668315,[132 118] ; [31 67],[117.09770115 132.90229885] ; [45.90229885 52.09770115],1
s7,1,0.001044,10.747824,[ 89 148] ; [18 77],[ 76.38253012 160.61746988] ; [30.61746988 64.38253012],0
s6,1,0.001088,10.671931,[140 107] ; [36 61],[126.37209302 120.62790698] ; [49.62790698 47.37209302],0
p1,1,0.001731,9.814591,[  6 242] ; [10 87],[ 11.50144928 236.49855072] ; [ 4.49855072 92.50144928],0
a4,1,0.002961,8.83116,[110 139] ; [26 71],[ 97.87283237 151.12716763] ; [38.12716763 58.87283237],0
a6,1,0.003151,8.717842,[167  82] ; [49 49],[154.99711816  94.00288184] ; [61.00288184 36.99711816],0
v1,1,0.003893,8.333153,[107 138] ; [25 69],[ 95.39823009 149.60176991] ; [36.60176991 57.39823009],0
d3,1,0.003912,8.324175,[159  90] ; [46 52],[147.1037464 101.8962536] ; [57.8962536 40.1037464],0
a3,1,0.004634,8.017038,[173  75] ; [52 45],[161.73913043  86.26086957] ; [63.26086957 33.73913043],0
d5,1,0.005037,7.865943,[192  57] ; [61 37],[181.54755043  67.45244957] ; [71.45244957 26.54755043],0
p2,1,0.005429,7.730628,[173  76] ; [52 45],[161.92196532  87.07803468] ; [63.07803468 33.92196532],0
u3,1,0.009374,6.750088,[42 35] ; [14 32],[35.05691057 41.94308943] ; [20.94308943 25.05691057],0
s3,1,0.011412,6.400081,[126 120] ; [35 62],[115.46938776 130.53061224] ; [45.53061224 51.46938776],0
p7,1,0.014968,5.920224,[103 140] ; [27 69],[ 93.18584071 149.81415929] ; [36.81415929 59.18584071],0
p11,1,0.02073,5.349372,[180  70] ; [58 40],[170.97701149  79.02298851] ; [67.02298851 30.97701149],0
s2,1,0.022189,5.230877,[101 147] ; [27 71],[ 91.74566474 156.25433526] ; [36.25433526 61.74566474],0
a7,1,0.023864,5.10449,[174  75] ; [56 42],[165.04322767  83.95677233] ; [64.95677233 33.04322767],0
n4,1,0.035018,4.444317,[172  77] ; [56 42],[163.60806916  85.39193084] ; [64.39193084 33.60806916],0
v3,1,0.035103,4.440145,[ 83 156] ; [22 74],[ 74.91044776 164.08955224] ; [30.08955224 65.91044776],0
a2,1,0.036923,4.353953,[ 52 198] ; [11 87],[ 45.25862069 204.74137931] ; [17.74137931 80.25862069],0
u2,1,0.058782,3.571429,[40 35] ; [16 29],[35. 40.] ; [21. 24.],0
u1,1,0.059763,3.543955,[ 33 217] ; [ 6 92],[ 28.01724138 221.98275862] ; [10.98275862 87.01724138],0
p12,1,0.074735,3.175839,[ 13 235] ; [ 1 96],[ 10.06376812 237.93623188] ; [ 3.93623188 93.06376812],0
s5,1,0.07608,3.146711,[ 63 180] ; [16 79],[ 56.79585799 186.20414201] ; [22.20414201 72.79585799],0
p10,1,0.0811,3.042724,[174  75] ; [57 38],[167.20639535  81.79360465] ; [63.79360465 31.20639535],0
a8,1,0.09103,2.856058,[ 36 195] ; [ 8 86],[ 31.27384615 199.72615385] ; [12.72615385 81.27384615],0
s1,1,0.116553,2.463047,[ 11 236] ; [ 1 97],[  8.59130435 238.40869565] ; [ 3.40869565 94.59130435],0
s4,1,0.173605,1.851536,[ 38 210] ; [21 77],[ 42.28901734 205.71098266] ; [16.71098266 81.28901734],0
b3,1,0.202622,1.623376,[42 96] ; [22 33],[45.76165803 92.23834197] ; [18.23834197 36.76165803],0
b2,1,0.202622,1.623376,[42 96] ; [22 33],[45.76165803 92.23834197] ; [18.23834197 36.76165803],0
a1,1,0.221189,1.496641,[ 10 240] ; [ 7 91],[ 12.21264368 237.78735632] ; [ 4.78735632 93.21264368],0
p8,1,0.246512,1.342965,[ 74 173] ; [23 74],[ 69.64825581 177.35174419] ; [27.35174419 69.64825581],0
n3,1,0.24844,1.332057,[53 23] ; [23 16],[50.22608696 25.77391304] ; [25.77391304 13.22608696],0
n6,1,0.335104,0.929072,[184  63] ; [68 30],[180.4173913  66.5826087] ; [71.5826087 26.4173913],0
n1,1,0.342554,0.900849,[31 47] ; [12 27],[28.66666667 49.33333333] ; [14.33333333 24.66666667],0
b1,1,0.547245,0.362275,[ 98 152] ; [35 63],[ 95.54597701 154.45402299] ; [37.45402299 60.54597701],0
p9,1,0.560343,0.33911,[179  67] ; [64 28],[176.85798817  69.14201183] ; [66.14201183 25.85798817],0
n2,1,0.604217,0.268683,[53 26] ; [28 11],[54.22881356 24.77118644] ; [26.77118644 12.22881356],0
b4,1,0.72913,0.119912,[153  97] ; [58 40],[151.58045977  98.41954023] ; [59.41954023 38.58045977],0
n5,1,0.736902,0.112868,[154  93] ; [63 35],[155.35942029  91.64057971] ; [61.64057971 36.35942029],0
b5,1,0.758334,0.09466,[146 104] ; [59 39],[147.27011494 102.72988506] ; [57.72988506 40.27011494],0
u4,1,0.88758,0.019985,[  3 247] ; [ 1 97],[  2.87356322 247.12643678] ; [ 1.12643678 96.87356322],0
p3,1,0.91303,0.011928,[ 47 202] ; [18 80],[ 46.6426513 202.3573487] ; [18.3573487 79.6426513],0
