Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000336,12.857143,[31  4] ; [1 4],[28.  7.] ; [4. 1.],1
d5,1,0.002395,9.219048,[29  6] ; [1 4],[26.25  8.75] ; [3.75 1.25],0
r2,1,0.003182,8.700129,[34  1] ; [3 2],[32.375  2.625] ; [4.625 0.375],0
d4,1,0.0075,7.149041,[31  4] ; [2 3],[28.875  6.125] ; [4.125 0.875],0
v4,1,0.046843,3.95102,[32  3] ; [3 2],[30.625  4.375] ; [4.375 0.625],0
s2,1,0.050962,3.809524,[23 12] ; [1 4],[21. 14.] ; [3. 2.],0
s6,1,0.077858,3.109056,[30  5] ; [2 2],[28.71794872  6.28205128] ; [3.28205128 0.71794872],0
r1,1,0.081873,3.027318,[27  8] ; [2 3],[25.375  9.625] ; [3.625 1.375],0
a1,1,0.099923,2.706767,[ 1 34] ; [1 4],[ 1.75 33.25] ; [0.25 4.75],0
d3,1,0.119769,2.420337,[20 15] ; [1 4],[18.375 16.625] ; [2.625 2.375],0
s3,1,0.175504,1.835294,[24 10] ; [2 3],[22.66666667 11.33333333] ; [3.33333333 1.66666667],0
s7,1,0.198128,1.656121,[20 14] ; [1 3],[18.78947368 15.21052632] ; [2.21052632 1.78947368],0
d1,1,0.229654,1.443001,[17 18] ; [1 4],[15.75 19.25] ; [2.25 2.75],0
b5,1,0.266575,1.234286,[23 12] ; [2 3],[21.875 13.125] ; [3.125 1.875],0
p1,1,0.268669,1.223529,[ 2 32] ; [1 4],[ 2.61538462 31.38461538] ; [0.38461538 4.61538462],0
p11,1,0.276588,1.183778,[19 16] ; [4 1],[20.125 14.875] ; [2.875 2.125],0
d2,1,0.276588,1.183778,[19 16] ; [4 1],[20.125 14.875] ; [2.875 2.125],0
p3,1,0.329114,0.952381,[15 20] ; [1 4],[14. 21.] ; [2. 3.],0
a3,1,0.355582,0.853437,[21 13] ; [2 3],[20.05128205 13.94871795] ; [2.94871795 2.05128205],0
n4,1,0.427392,0.629899,[21 13] ; [4 1],[21.79487179 12.20512821] ; [3.20512821 1.79487179],0
s4,1,0.503368,0.447828,[ 9 26] ; [2 3],[ 9.625 25.375] ; [1.375 3.625],0
p7,1,0.505949,0.442437,[19 15] ; [2 3],[18.30769231 15.69230769] ; [2.69230769 2.30769231],0
n1,1,0.514828,0.424242,[5 6] ; [2 1],[5.5 5.5] ; [1.5 1.5],0
n6,1,0.530193,0.394022,[25  9] ; [3 2],[24.41025641  9.58974359] ; [3.58974359 1.41025641],0
p5,1,0.587746,0.293878,[ 4 31] ; [1 4],[ 4.375 30.625] ; [0.625 4.375],0
b4,1,0.601921,0.272109,[25 10] ; [3 2],[24.5 10.5] ; [3.5 1.5],0
b1,1,0.632585,0.228571,[18 17] ; [2 3],[17.5 17.5] ; [2.5 2.5],0
a6,1,0.632585,0.228571,[18 17] ; [2 3],[17.5 17.5] ; [2.5 2.5],0
a7,1,0.632585,0.228571,[18 17] ; [2 3],[17.5 17.5] ; [2.5 2.5],0
a5,1,0.802133,0.062794,[23 12] ; [3 2],[22.75 12.25] ; [3.25 1.75],0
p2,1,0.802133,0.062794,[23 12] ; [3 2],[22.75 12.25] ; [3.25 1.75],0
a4,1,0.810136,0.05772,[16 19] ; [2 3],[15.75 19.25] ; [2.25 2.75],0
n3,1,0.836813,0.042424,[8 3] ; [2 1],[7.85714286 3.14285714] ; [2.14285714 0.85714286],0
u2,1,0.931175,0.007459,[4 9] ; [1 2],[4.0625 8.9375] ; [0.9375 2.0625],0
