Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.289449,[52  4] ; [15 16],[43.12643678 12.87356322] ; [23.87356322  7.12643678],1
d4,1,0.003058,8.772405,[45 10] ; [16 15],[39.01162791 15.98837209] ; [21.98837209  9.01162791],0
v2,1,0.005257,7.788695,[31 22] ; [ 8 22],[24.90361446 28.09638554] ; [14.09638554 15.90361446],0
u3,1,0.005983,7.555556,[12  4] ; [ 5 13],[8. 8.] ; [9. 9.],0
v3,1,0.006792,7.32704,[18 37] ; [ 2 28],[12.94117647 42.05882353] ; [ 7.05882353 22.94117647],0
a3,1,0.006932,7.290456,[40 16] ; [13 18],[34.11494253 21.88505747] ; [18.88505747 12.11494253],0
r2,1,0.014529,5.972683,[51  5] ; [22  9],[46.98850575  9.01149425] ; [26.01149425  4.98850575],0
r3,1,0.017238,5.671988,[51  4] ; [23  8],[47.3255814  7.6744186] ; [26.6744186  4.3255814],0
d3,1,0.041636,4.149955,[37 19] ; [13 17],[32.55813953 23.44186047] ; [17.44186047 12.55813953],0
d5,1,0.042346,4.121316,[41 15] ; [16 15],[36.68965517 19.31034483] ; [20.31034483 10.68965517],0
p7,1,0.044188,4.049357,[35 18] ; [13 17],[30.65060241 22.34939759] ; [17.34939759 12.65060241],0
a7,1,0.064561,3.416148,[40 16] ; [16 15],[36.04597701 19.95402299] ; [19.95402299 11.04597701],0
a2,1,0.068656,3.314861,[12 44] ; [ 2 29],[ 9.01149425 46.98850575] ; [ 4.98850575 26.01149425],0
a4,1,0.079771,3.069556,[21 35] ; [ 6 25],[17.37931034 38.62068966] ; [ 9.62068966 21.37931034],0
u2,1,0.081651,3.031732,[11  5] ; [ 7 11],[8.47058824 7.52941176] ; [9.52941176 8.47058824],0
d1,1,0.082252,3.019837,[23 33] ; [ 7 24],[19.31034483 36.68965517] ; [10.68965517 20.31034483],0
p2,1,0.084141,2.983048,[44 12] ; [19 12],[40.55172414 15.44827586] ; [22.44827586  8.55172414],0
p8,1,0.086387,2.940441,[29 26] ; [10 20],[25.23529412 29.76470588] ; [13.76470588 16.23529412],0
v1,1,0.089261,2.887649,[30 25] ; [11 20],[26.22093023 28.77906977] ; [14.77906977 16.22093023],0
