Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,42.748523,[315  51] ; [22 25],[298.64891041  67.35108959] ; [38.35108959  8.64891041],1
n4,1,0.0,31.193003,[320  45] ; [27 21],[306.67070218  58.32929782] ; [40.32929782  7.67070218],1
r4,1,0.000187,13.959331,[345  21] ; [38 10],[338.5942029  27.4057971] ; [44.4057971  3.5942029],1
a4,1,0.001141,10.584168,[190 175] ; [13 35],[179.40677966 185.59322034] ; [23.59322034 24.40677966],0
p4,1,0.001715,9.831486,[257 108] ; [23 25],[247.45762712 117.54237288] ; [32.54237288 15.45762712],0
d2,1,0.002483,9.15326,[210 156] ; [16 31],[200.28087167 165.71912833] ; [25.71912833 21.28087167],0
u1,1,0.0048,7.953239,[ 99 267] ; [ 4 44],[ 91.05797101 274.94202899] ; [11.94202899 36.05797101],0
p11,1,0.00662,7.37326,[298  68] ; [31 17],[290.85507246  75.14492754] ; [38.14492754  9.85507246],0
v3,1,0.007857,7.065885,[172 183] ; [12 32],[163.70927318 191.29072682] ; [20.29072682 23.70927318],0
b1,1,0.012197,6.282028,[137 229] ; [27 21],[144.98550725 221.01449275] ; [19.01449275 28.98550725],0
a5,1,0.012538,6.23317,[294  72] ; [31 17],[287.31884058  78.68115942] ; [37.68115942 10.31884058],0
u2,1,0.014668,5.955883,[38 27] ; [13  1],[41.96202532 23.03797468] ; [9.03797468 4.96202532],0
r2,1,0.015795,5.825586,[355   8] ; [43  4],[352.37560976  10.62439024] ; [45.62439024  1.37560976],0
a3,1,0.020472,5.37116,[301  63] ; [33 15],[295.08737864  68.91262136] ; [38.91262136  9.08737864],0
p3,1,0.021182,5.311796,[216 149] ; [20 28],[208.57142857 156.42857143] ; [27.42857143 20.57142857],0
u3,1,0.028687,4.786325,[42 23] ; [14  1],[45.5 19.5] ; [10.5  4.5],0
p6,1,0.030944,4.65605,[175 185] ; [15 32],[168.05896806 191.94103194] ; [21.94103194 25.05896806],0
p8,1,0.036627,4.367659,[211 149] ; [20 27],[204.32432432 155.67567568] ; [26.67567568 20.32432432],0
d1,1,0.038394,4.287497,[239 127] ; [24 24],[232.50724638 133.49275362] ; [30.49275362 17.50724638],0
p10,1,0.052926,3.746264,[316  47] ; [36 11],[311.64878049  51.35121951] ; [40.35121951  6.64878049],0
a2,1,0.053369,3.732321,[110 256] ; [ 8 40],[104.31884058 261.68115942] ; [13.68115942 34.31884058],0
s8,1,0.057092,3.619906,[261 103] ; [28 20],[255.33009709 108.66990291] ; [33.66990291 14.33009709],0
p12,1,0.057109,3.619416,[ 39 324] ; [ 1 47],[ 35.32846715 327.67153285] ; [ 4.67153285 43.32846715],0
p2,1,0.059821,3.542348,[318  47] ; [37 11],[313.7409201  51.2590799] ; [41.2590799  6.7409201],0
r1,1,0.060892,3.512924,[312  53] ; [36 12],[307.55447942  57.44552058] ; [40.44552058  7.55447942],0
p9,1,0.120272,2.413772,[328  35] ; [39  8],[324.92926829  38.07073171] ; [42.07073171  4.92926829],0
p5,1,0.121214,2.401562,[ 63 299] ; [ 4 43],[ 59.3007335 302.6992665] ; [ 7.6992665 39.3007335],0
b3,1,0.129334,2.300477,[113 147] ; [ 8 20],[109.23611111 150.76388889] ; [11.76388889 16.23611111],0
b2,1,0.129334,2.300477,[113 147] ; [ 8 20],[109.23611111 150.76388889] ; [11.76388889 16.23611111],0
s6,1,0.156534,2.007389,[307  54] ; [37 11],[303.62836186  57.37163814] ; [40.37163814  7.62836186],0
s4,1,0.160277,1.971612,[ 74 290] ; [14 34],[ 77.74757282 286.25242718] ; [10.25242718 37.74757282],0
a6,1,0.219103,1.510239,[239 126] ; [35 12],[242.74271845 122.25728155] ; [31.25728155 15.74271845],0
a1,1,0.264013,1.247589,[ 22 344] ; [ 1 47],[ 20.33333333 345.66666667] ; [ 2.66666667 45.33333333],0
n2,1,0.274851,1.192376,[58 17] ; [16  2],[59.67741935 15.32258065] ; [14.32258065  3.67741935],0
s5,1,0.304298,1.055263,[161 190] ; [17 28],[157.77272727 193.22727273] ; [20.22727273 24.77272727],0
r3,1,0.34374,0.896434,[353  13] ; [44  3],[351.82082324  14.17917676] ; [45.17917676  1.82082324],0
p7,1,0.387996,0.745212,[251 104] ; [29 16],[248.5 106.5] ; [31.5 13.5],0
s2,1,0.441594,0.592138,[270  95] ; [33 15],[267.78450363  97.21549637] ; [35.21549637 12.78450363],0
v2,1,0.482341,0.493565,[215 143] ; [24 20],[212.84079602 145.15920398] ; [26.15920398 17.84079602],0
n3,1,0.502767,0.44909,[52 23] ; [11  7],[50.80645161 24.19354839] ; [12.19354839  5.80645161],0
a8,1,0.565698,0.329933,[ 56 272] ; [ 6 38],[ 54.66666667 273.33333333] ; [ 7.33333333 36.66666667],0
b4,1,0.606629,0.265113,[205 161] ; [25 23],[203.33333333 162.66666667] ; [26.66666667 21.33333333],0
p1,1,0.61602,0.251501,[ 39 326] ; [ 4 44],[ 38.00242131 326.99757869] ; [ 4.99757869 43.00242131],0
d5,1,0.639485,0.219416,[305  60] ; [38  9],[303.87135922  61.12864078] ; [39.12864078  7.87135922],0
s3,1,0.669893,0.181728,[273  90] ; [34 13],[271.80731707  91.19268293] ; [35.19268293 11.80731707],0
v1,1,0.739942,0.110177,[206 150] ; [26 21],[204.94292804 151.05707196] ; [27.05707196 19.94292804],0
a7,1,0.743103,0.107418,[260 106] ; [33 15],[259.02898551 106.97101449] ; [33.97101449 14.02898551],0
b5,1,0.797246,0.066004,[213 153] ; [27 21],[212.17391304 153.82608696] ; [27.82608696 20.17391304],0
s1,1,0.830195,0.045989,[ 18 344] ; [ 2 45],[ 17.70171149 344.29828851] ; [ 2.29828851 44.70171149],0
n1,1,0.865492,0.028692,[37 38] ; [8 9],[36.68478261 38.31521739] ; [8.31521739 8.68478261],0
d3,1,0.96107,0.002382,[266 100] ; [34 13],[265.85956416 100.14043584] ; [34.14043584 12.85956416],0
d4,1,0.985635,0.000324,[311  54] ; [40  7],[310.95873786  54.04126214] ; [40.04126214  6.95873786],0
