Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,189.37242,[  6 123] ; [430 182],[75.90283401 53.09716599] ; [360.09716599 251.90283401],1
d3,1,0.0,117.868019,[39 88] ; [483 129],[89.70771313 37.29228687] ; [432.29228687 179.70771313],1
d5,1,0.0,102.493431,[65 63] ; [542  70],[104.99459459  23.00540541] ; [502.00540541 109.99459459],1
a5,1,0.0,35.192895,[67 62] ; [474 138],[94.18218623 34.81781377] ; [446.81781377 165.18218623],1
d2,1,0.0,32.831916,[32 97] ; [321 290],[61.53648649 67.46351351] ; [291.46351351 319.53648649],1
a3,1,0.0,31.899118,[66 63] ; [462 147],[92.29268293 36.70731707] ; [435.70731707 173.29268293],1
a4,1,0.0,25.527536,[30 98] ; [292 319],[55.77266576 72.22733424] ; [266.22733424 344.77266576],1
u1,1,2e-06,22.808141,[  4 125] ; [127 485],[ 22.80566802 106.19433198] ; [108.19433198 503.80566802],1
s2,1,1e-05,19.433228,[43 85] ; [334 273],[65.65442177 62.34557823] ; [311.34557823 295.65442177],1
r3,1,1.7e-05,18.517019,[115  14] ; [594  16],[123.7631935   5.2368065] ; [585.2368065  24.7631935],1
a2,1,2.5e-05,17.741292,[ 12 117] ; [163 449],[30.46558704 98.53441296] ; [144.53441296 467.46558704],1
r1,1,7.9e-05,15.581286,[87 40] ; [510 100],[102.87516961  24.12483039] ; [494.12483039 115.87516961],1
a7,1,0.000925,10.971291,[80 48] ; [468 143],[94.91745602 33.08254398] ; [453.08254398 157.91745602],1
r4,1,0.000945,10.932838,[109  20] ; [571  41],[118.3805668  10.6194332] ; [561.6194332  50.3805668],1
v2,1,0.001492,10.08834,[53 70] ; [347 244],[68.90756303 54.09243697] ; [331.09243697 259.90756303],0
p9,1,0.001863,9.680266,[100  27] ; [537  67],[110.66894665  16.33105335] ; [526.33105335  77.66894665],0
s6,1,0.002147,9.419501,[71 55] ; [423 178],[85.6176066 40.3823934] ; [408.3823934 192.6176066],0
v1,1,0.002161,9.407696,[54 72] ; [344 251],[69.55339806 56.44660194] ; [328.44660194 266.55339806],0
p10,1,0.003853,8.351909,[94 32] ; [516  90],[105.  21.] ; [505. 101.],0
s5,1,0.00532,7.767205,[30 97] ; [215 373],[43.51748252 83.48251748] ; [201.48251748 386.51748252],0
u3,1,0.00617,7.5,[27 36] ; [93 54],[36. 27.] ; [84. 63.],0
a6,1,0.014165,6.017423,[77 52] ; [432 179],[88.73108108 40.26891892] ; [420.26891892 190.73108108],0
s8,1,0.014646,5.958611,[45 83] ; [286 323],[57.48710991 70.51289009] ; [273.51289009 335.48710991],0
