Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.8e-05,18.440596,[16 26] ; [43 10],[26.08421053 15.91578947] ; [32.91578947 20.08421053],1
p12,1,0.004897,7.917149,[ 1 40] ; [12 41],[ 5.67021277 35.32978723] ; [ 7.32978723 45.67021277],0
p7,1,0.008501,6.92483,[24 17] ; [44  9],[29.65957447 11.34042553] ; [38.34042553 14.65957447],0
n4,1,0.010784,6.500651,[23 19] ; [42 11],[28.73684211 13.26315789] ; [36.26315789 16.73684211],0
p11,1,0.020739,5.348563,[30 13] ; [47  6],[34.48958333  8.51041667] ; [42.51041667 10.48958333],0
a5,1,0.020807,5.342893,[20 23] ; [37 16],[25.53125 17.46875] ; [31.46875 21.53125],0
p6,1,0.023677,5.11817,[14 29] ; [29 23],[19.46315789 23.53684211] ; [23.53684211 28.46315789],0
n2,1,0.029273,4.751515,[10  1] ; [2 3],[8.25 2.75] ; [3.75 1.25],0
r4,1,0.038407,4.2869,[31 12] ; [47  6],[34.9375  8.0625] ; [43.0625  9.9375],0
s1,1,0.046198,3.974357,[ 5 37] ; [ 1 52],[ 2.65263158 39.34736842] ; [ 3.34736842 49.65263158],0
a4,1,0.058113,3.590441,[ 4 38] ; [13 40],[ 7.51578947 34.48421053] ; [ 9.48421053 43.51578947],0
d3,1,0.061913,3.485387,[21 22] ; [16 37],[16.57291667 26.42708333] ; [20.42708333 32.57291667],0
r1,1,0.114691,2.488364,[26 17] ; [40 13],[29.5625 13.4375] ; [36.4375 16.5625],0
a3,1,0.129959,2.292995,[18 24] ; [31 22],[21.66315789 20.33684211] ; [27.33684211 25.66315789],0
b5,1,0.131884,2.270186,[30 13] ; [29 24],[26.42708333 16.57291667] ; [32.57291667 20.42708333],0
a6,1,0.148397,2.088647,[23 20] ; [36 17],[26.42708333 16.57291667] ; [32.57291667 20.42708333],0
d2,1,0.163391,1.942556,[ 7 36] ; [15 38],[ 9.85416667 33.14583333] ; [12.14583333 40.85416667],0
v2,1,0.178822,1.807383,[18 24] ; [29 22],[21.22580645 20.77419355] ; [25.77419355 25.22580645],0
r3,1,0.181646,1.784109,[36  7] ; [49  4],[38.07291667  4.92708333] ; [46.92708333  6.07291667],0
p1,1,0.195949,1.67231,[ 6 37] ; [13 40],[ 8.51041667 34.48958333] ; [10.48958333 42.51041667],0
