Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,32.225093,[ 1 34] ; [42 27],[14.47115385 20.52884615] ; [28.52884615 40.47115385],1
d3,1,1e-06,24.130297,[ 5 30] ; [45 24],[16.82692308 18.17307692] ; [33.17307692 35.82692308],1
d5,1,3e-05,17.408844,[11 24] ; [51 18],[20.86538462 14.13461538] ; [41.13461538 27.86538462],1
s1,1,0.022929,5.173854,[ 8 27] ; [ 5 64],[ 4.375 30.625] ; [ 8.625 60.375],0
u2,1,0.038718,4.273191,[ 4 12] ; [15 11],[7.23809524 8.76190476] ; [11.76190476 14.23809524],0
a5,1,0.041968,4.136513,[15 20] ; [44 25],[19.85576923 15.14423077] ; [39.14423077 29.85576923],0
r3,1,0.043772,4.065331,[19 16] ; [51 18],[23.55769231 11.44230769] ; [46.44230769 22.55769231],0
a7,1,0.060822,3.51482,[14 21] ; [41 28],[18.50961538 16.49038462] ; [36.49038462 32.50961538],0
d2,1,0.061763,3.48941,[12 23] ; [36 31],[16.47058824 18.52941176] ; [31.52941176 35.47058824],0
n5,1,0.064771,3.410798,[27  8] ; [40 28],[22.76699029 12.23300971] ; [44.23300971 23.76699029],0
a2,1,0.093492,2.813193,[ 3 32] ; [15 54],[ 6.05769231 28.94230769] ; [11.94230769 57.05769231],0
a4,1,0.116229,2.467413,[10 24] ; [31 37],[13.66666667 20.33333333] ; [27.33333333 40.66666667],0
v3,1,0.160389,1.970557,[11 23] ; [13 53],[ 8.16 25.84] ; [15.84 50.16],0
p1,1,0.202628,1.623332,[ 6 29] ; [ 6 63],[ 4.03846154 30.96153846] ; [ 7.96153846 61.03846154],0
a6,1,0.231642,1.430753,[17 18] ; [42 27],[19.85576923 15.14423077] ; [39.14423077 29.85576923],0
v1,1,0.241711,1.37059,[13 21] ; [18 49],[10.43564356 23.56435644] ; [20.56435644 46.43564356],0
a1,1,0.249876,1.323995,[ 5 30] ; [ 5 64],[ 3.36538462 31.63461538] ; [ 6.63461538 62.36538462],0
n2,1,0.27088,1.212284,[8 7] ; [21  9],[9.66666667 5.33333333] ; [19.33333333 10.66666667],0
s2,1,0.307689,1.040569,[ 8 26] ; [23 46],[10.23300971 23.76699029] ; [20.76699029 48.23300971],0
p3,1,0.323338,0.975396,[ 7 28] ; [20 49],[ 9.08653846 25.91346154] ; [17.91346154 51.08653846],0
s5,1,0.330324,0.947629,[ 4 29] ; [13 52],[ 5.7244898 27.2755102] ; [11.2755102 53.7244898],0
s3,1,0.357625,0.846217,[10 23] ; [27 41],[12.08910891 20.91089109] ; [24.91089109 43.08910891],0
n4,1,0.362358,0.829703,[24 11] ; [41 28],[21.875 13.125] ; [43.125 25.875],0
