Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,41.9556,[100  22] ; [24 44],[79.62105263 42.37894737] ; [44.37894737 23.62105263],1
s2,1,0.0,26.954405,[95 32] ; [27 45],[77.85929648 49.14070352] ; [44.14070352 27.85929648],1
s3,1,4.7e-05,16.565663,[88 38] ; [29 43],[74.45454545 51.54545455] ; [42.54545455 29.45454545],1
s5,1,0.000151,14.357511,[70 49] ; [22 50],[57.31937173 61.68062827] ; [34.68062827 37.31937173],1
s6,1,0.000381,12.624396,[106  18] ; [45 26],[96.02051282 27.97948718] ; [54.97948718 16.02051282],1
a5,1,0.003463,8.545829,[109  18] ; [50 23],[100.965  26.035] ; [58.035 14.965],0
r3,1,0.015545,5.8536,[126   1] ; [68  5],[123.19   3.81] ; [70.81  2.19],0
p5,1,0.029991,4.709809,[32 95] ; [ 9 64],[ 26.035 100.965] ; [14.965 58.035],0
p9,1,0.054434,3.699349,[121   5] ; [65  8],[117.76884422   8.23115578] ; [68.23115578  4.76884422],0
u2,1,0.071383,3.250918,[18  9] ; [ 9 13],[14.87755102 12.12244898] ; [12.12244898  9.87755102],0
a1,1,0.073408,3.205112,[ 12 115] ; [ 2 71],[  8.89 118.11] ; [ 5.11 67.89],0
a8,1,0.080621,3.052332,[23 93] ; [ 6 56],[18.8988764 97.1011236] ; [10.1011236 51.8988764],0
v3,1,0.095019,2.787212,[69 54] ; [31 40],[63.40206186 59.59793814] ; [36.59793814 34.40206186],0
n1,1,0.095293,2.782603,[11  4] ; [7 9],[8.70967742 6.29032258] ; [9.29032258 6.70967742],0
b1,1,0.112035,2.525275,[48 79] ; [36 37],[53.34 73.66] ; [30.66 42.34],0
p12,1,0.122592,2.383886,[ 20 106] ; [ 6 67],[ 16.46231156 109.53768844] ; [ 9.53768844 63.46231156],0
n2,1,0.124362,2.361504,[13  2] ; [10  6],[11.12903226  3.87096774] ; [11.87096774  4.12903226],0
a2,1,0.150426,2.067927,[33 94] ; [26 47],[37.465 89.535] ; [21.535 51.465],0
n5,1,0.163938,1.937522,[113  14] ; [59 13],[109.76884422  17.23115578] ; [62.23115578  9.76884422],0
d1,1,0.165197,1.925997,[92 35] ; [46 27],[87.63 39.37] ; [50.37 22.63],0
a3,1,0.174677,1.842338,[100  26] ; [51 21],[96.09090909 29.90909091] ; [54.90909091 17.09090909],0
r4,1,0.200955,1.635422,[122   5] ; [67  6],[120.015   6.985] ; [68.985  4.015],0
d4,1,0.209269,1.576475,[113  13] ; [61 12],[110.17085427  15.82914573] ; [63.82914573  9.17085427],0
d5,1,0.209269,1.576475,[113  13] ; [61 12],[110.17085427  15.82914573] ; [63.82914573  9.17085427],0
b2,1,0.2291,1.446439,[45 45] ; [18 28],[41.69117647 48.30882353] ; [21.30882353 24.69117647],0
b3,1,0.2291,1.446439,[45 45] ; [18 28],[41.69117647 48.30882353] ; [21.30882353 24.69117647],0
r2,1,0.252843,1.307525,[123   3] ; [69  4],[121.5678392   4.4321608] ; [70.4321608  2.5678392],0
u3,1,0.253072,1.306265,[19  8] ; [12 10],[17.08163265  9.91836735] ; [13.91836735  8.08163265],0
n3,1,0.255704,1.291866,[8 7] ; [11  4],[9.5 5.5] ; [9.5 5.5],0
b5,1,0.306046,1.047664,[84 43] ; [43 30],[80.645 46.355] ; [46.355 26.645],0
n6,1,0.309569,1.032515,[116  10] ; [64  9],[113.96984925  12.03015075] ; [66.03015075  6.96984925],0
p3,1,0.363365,0.826229,[88 39] ; [46 27],[85.09 41.91] ; [48.91 24.09],0
u1,1,0.378209,0.776516,[35 92] ; [16 57],[32.385 94.615] ; [18.615 54.385],0
p4,1,0.439171,0.598448,[108  19] ; [59 14],[106.045  20.955] ; [60.955 12.045],0
p10,1,0.454772,0.55873,[116  10] ; [64  8],[114.54545455  11.45454545] ; [65.45454545  6.54545455],0
d2,1,0.475742,0.508607,[71 56] ; [37 36],[68.58 58.42] ; [39.42 33.58],0
a6,1,0.489709,0.477166,[82 44] ; [51 22],[84.21105528 41.78894472] ; [48.78894472 24.21105528],0
u4,1,0.490469,0.475497,[  6 121] ; [ 2 71],[  5.08 121.92] ; [ 2.92 70.08],0
a7,1,0.513125,0.427689,[95 31] ; [58 15],[96.87437186 29.12562814] ; [56.12562814 16.87437186],0
p2,1,0.524474,0.405086,[113  14] ; [67  6],[114.3  12.7] ; [65.7  7.3],0
p7,1,0.669535,0.182147,[108  16] ; [62 11],[107.00507614  16.99492386] ; [62.99492386 10.00507614],0
d3,1,0.672801,0.178343,[99 28] ; [55 18],[97.79 29.21] ; [56.21 16.79],0
s4,1,0.691801,0.157143,[ 22 104] ; [11 61],[ 21. 105.] ; [12. 60.],0
s1,1,0.708231,0.14005,[  4 123] ; [ 3 69],[  4.46733668 122.53266332] ; [ 2.53266332 69.46733668],0
v4,1,0.722108,0.126482,[123   4] ; [70  3],[122.555   4.445] ; [70.445  2.555],0
n4,1,0.780598,0.077584,[113  14] ; [64  9],[112.395  14.605] ; [64.605  8.395],0
r1,1,0.862562,0.029969,[109  18] ; [62 11],[108.585  18.415] ; [62.415 10.585],0
p8,1,0.878469,0.023381,[92 33] ; [53 20],[91.54040404 33.45959596] ; [53.45959596 19.54040404],0
