Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.017884,5.607462,[6 2] ; [ 7 18],[3.15151515 4.84848485] ; [ 9.84848485 15.15151515],0
s5,1,0.022807,5.183152,[5 3] ; [ 5 20],[2.42424242 5.57575758] ; [ 7.57575758 17.42424242],0
p3,1,0.077464,3.117321,[5 3] ; [ 7 18],[2.90909091 5.09090909] ; [ 9.09090909 15.90909091],0
b3,1,0.150164,2.070588,[2 3] ; [ 2 15],[0.90909091 4.09090909] ; [ 3.09090909 13.90909091],0
b2,1,0.150164,2.070588,[2 3] ; [ 2 15],[0.90909091 4.09090909] ; [ 3.09090909 13.90909091],0
p9,1,0.150962,2.0625,[7 1] ; [15 10],[5.33333333 2.66666667] ; [16.66666667  8.33333333],0
b4,1,0.181904,1.782,[6 2] ; [12 13],[4.36363636 3.63636364] ; [13.63636364 11.36363636],0
s3,1,0.181904,1.782,[2 6] ; [13 12],[3.63636364 4.36363636] ; [11.36363636 13.63636364],0
p12,1,0.199735,1.64431,[2 6] ; [ 2 23],[0.96969697 7.03030303] ; [ 3.03030303 21.96969697],0
p10,1,0.208082,1.584717,[7 1] ; [16  9],[5.57575758 2.42424242] ; [17.42424242  7.57575758],0
s8,1,0.251932,1.312556,[2 6] ; [12 13],[3.39393939 4.60606061] ; [10.60606061 14.39393939],0
a8,1,0.309045,1.034753,[2 5] ; [ 3 21],[1.12903226 5.87096774] ; [ 3.87096774 20.12903226],0
d2,1,0.356957,0.848571,[4 4] ; [ 8 17],[2.90909091 5.09090909] ; [ 9.09090909 15.90909091],0
d3,1,0.356957,0.848571,[4 4] ; [17  8],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
r1,1,0.356957,0.848571,[4 4] ; [ 8 17],[2.90909091 5.09090909] ; [ 9.09090909 15.90909091],0
a7,1,0.36214,0.83046,[3 5] ; [14 11],[4.12121212 3.87878788] ; [12.87878788 12.12121212],0
a3,1,0.36214,0.83046,[5 3] ; [11 14],[3.87878788 4.12121212] ; [12.12121212 12.87878788],0
p1,1,0.380492,0.769113,[1 7] ; [ 1 24],[0.48484848 7.51515152] ; [ 1.51515152 23.48484848],0
u2,1,0.432246,0.61678,[2 1] ; [12  2],[2.47058824 0.52941176] ; [11.52941176  2.47058824],0
n5,1,0.442695,0.589286,[6 2] ; [15 10],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
p4,1,0.442695,0.589286,[6 2] ; [15 10],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
v2,1,0.475067,0.510165,[3 5] ; [13 12],[3.87878788 4.12121212] ; [12.12121212 12.87878788],0
s2,1,0.475067,0.510165,[3 5] ; [13 12],[3.87878788 4.12121212] ; [12.12121212 12.87878788],0
r3,1,0.488609,0.479588,[7 1] ; [19  6],[6.3030303 1.6969697] ; [19.6969697  5.3030303],0
s7,1,0.531403,0.391708,[2 5] ; [10 14],[2.70967742 4.29032258] ; [ 9.29032258 14.70967742],0
a5,1,0.603667,0.2695,[5 3] ; [13 12],[4.36363636 3.63636364] ; [13.63636364 11.36363636],0
a4,1,0.632142,0.229167,[1 7] ; [ 5 20],[1.45454545 6.54545455] ; [ 4.54545455 20.45454545],0
p11,1,0.632142,0.229167,[7 1] ; [20  5],[6.54545455 1.45454545] ; [20.45454545  4.54545455],0
a1,1,0.699973,0.1485,[1 7] ; [ 2 23],[0.72727273 7.27272727] ; [ 2.27272727 22.72727273],0
n4,1,0.707677,0.140609,[6 2] ; [17  8],[5.57575758 2.42424242] ; [17.42424242  7.57575758],0
a6,1,0.746108,0.104831,[5 3] ; [14 11],[4.60606061 3.39393939] ; [14.39393939 10.60606061],0
u3,1,0.761001,0.092517,[2 1] ; [8 6],[1.76470588 1.23529412] ; [8.23529412 5.76470588],0
p8,1,0.766735,0.088,[4 4] ; [11 14],[3.63636364 4.36363636] ; [11.36363636 13.63636364],0
b1,1,0.766735,0.088,[4 4] ; [14 11],[4.36363636 3.63636364] ; [13.63636364 11.36363636],0
d1,1,0.773938,0.0825,[3 5] ; [ 8 17],[2.66666667 5.33333333] ; [ 8.33333333 16.66666667],0
v4,1,0.773938,0.0825,[5 3] ; [17  8],[5.33333333 2.66666667] ; [16.66666667  8.33333333],0
p2,1,0.86829,0.0275,[6 2] ; [18  7],[5.81818182 2.18181818] ; [18.18181818  6.81818182],0
p6,1,0.86829,0.0275,[2 6] ; [ 7 18],[2.18181818 5.81818182] ; [ 6.81818182 18.18181818],0
v1,1,0.899765,0.015865,[3 5] ; [10 15],[3.15151515 4.84848485] ; [ 9.84848485 15.15151515],0
p7,1,0.899765,0.015865,[5 3] ; [15 10],[4.84848485 3.15151515] ; [15.15151515  9.84848485],0
v3,1,0.938811,0.005893,[3 5] ; [ 9 16],[2.90909091 5.09090909] ; [ 9.09090909 15.90909091],0
d5,1,0.938811,0.005893,[5 3] ; [16  9],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
b5,1,0.938811,0.005893,[5 3] ; [16  9],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
d4,1,0.95419,0.0033,[6 2] ; [19  6],[6.06060606 1.93939394] ; [18.93939394  6.06060606],0
n3,1,1.0,0.0,[1 1] ; [4 4],[1. 1.] ; [4. 4.],0
