Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,23.690703,[45 52] ; [ 9 67],[30.27745665 66.72254335] ; [23.72254335 52.27745665],1
p3,1,1.3e-05,18.994887,[53 46] ; [16 60],[39.03428571 59.96571429] ; [29.96571429 46.03428571],1
p8,1,8e-05,15.550204,[61 37] ; [24 51],[48.15028902 49.84971098] ; [36.84971098 38.15028902],1
p4,1,0.000126,14.701261,[58 41] ; [22 53],[45.51724138 53.48275862] ; [34.48275862 40.51724138],1
p2,1,0.000263,13.314828,[84 15] ; [46 30],[73.54285714 25.45714286] ; [56.45714286 19.54285714],1
s7,1,0.001627,9.929179,[48 46] ; [20 54],[38.04761905 55.95238095] ; [29.95238095 44.04761905],0
s8,1,0.010122,6.613362,[40 58] ; [17 59],[32.10344828 65.89655172] ; [24.89655172 51.10344828],0
p5,1,0.034022,4.493576,[17 81] ; [ 5 71],[12.3908046 85.6091954] ; [ 9.6091954 66.3908046],0
n2,1,0.066725,3.361805,[15  6] ; [23  2],[17.34782609  3.65217391] ; [20.65217391  4.34782609],0
s3,1,0.069986,3.28334,[58 40] ; [33 40],[52.15204678 45.84795322] ; [38.84795322 34.15204678],0
a7,1,0.087074,2.927659,[66 33] ; [41 35],[60.53142857 38.46857143] ; [46.46857143 29.53142857],0
s5,1,0.090631,2.863124,[32 65] ; [15 56],[27.13690476 69.86309524] ; [19.86309524 51.13690476],0
v2,1,0.112027,2.525388,[47 49] ; [26 45],[41.96407186 54.03592814] ; [31.03592814 39.96407186],0
b4,1,0.11276,2.515102,[52 47] ; [49 27],[57.13714286 41.86285714] ; [43.86285714 32.13714286],0
s2,1,0.154043,2.031749,[46 53] ; [26 47],[41.44186047 57.55813953] ; [30.55813953 42.44186047],0
a3,1,0.171454,1.870187,[56 42] ; [35 40],[51.54913295 46.45086705] ; [39.45086705 35.54913295],0
n4,1,0.174769,1.841549,[62 37] ; [55 21],[66.18857143 32.81142857] ; [50.81142857 25.18857143],0
s1,1,0.233779,1.417722,[ 2 96] ; [ 4 70],[ 3.41860465 94.58139535] ; [ 2.58139535 71.41860465],0
p1,1,0.239987,1.380671,[15 84] ; [ 7 69],[12.44571429 86.55428571] ; [ 9.55428571 66.44571429],0
r3,1,0.277699,1.178314,[92  7] ; [67  9],[89.94857143  9.05142857] ; [69.05142857  6.94857143],0
s6,1,0.30671,1.044789,[58 39] ; [39 36],[54.70348837 42.29651163] ; [42.29651163 32.70348837],0
v3,1,0.338317,0.916799,[35 63] ; [21 52],[32.09356725 65.90643275] ; [23.90643275 49.09356725],0
a2,1,0.338516,0.916043,[ 9 90] ; [ 4 72],[ 7.35428571 91.64571429] ; [ 5.64571429 70.35428571],0
b1,1,0.355061,0.855287,[46 53] ; [30 46],[42.99428571 56.00571429] ; [33.00571429 42.99428571],0
p9,1,0.359259,0.840483,[74 24] ; [61 14],[76.47398844 21.52601156] ; [58.52601156 16.47398844],0
n3,1,0.383596,0.759144,[17  4] ; [16  7],[15.75  5.25] ; [17.25  5.75],0
n6,1,0.406732,0.688333,[83 16] ; [60 16],[80.89714286 18.10285714] ; [62.10285714 13.89714286],0
a1,1,0.418286,0.655126,[ 5 94] ; [ 2 74],[ 3.96 95.04] ; [ 3.04 72.96],0
p12,1,0.424103,0.638917,[10 89] ; [ 5 70],[ 8.53448276 90.46551724] ; [ 6.46551724 68.53448276],0
s4,1,0.425013,0.636412,[15 84] ; [15 61],[16.97142857 82.02857143] ; [13.02857143 62.97142857],0
a5,1,0.44902,0.573123,[49 50] ; [42 34],[51.48 47.52] ; [39.52 36.48],0
d4,1,0.473707,0.513316,[51 48] ; [35 41],[48.65142857 50.34857143] ; [37.34857143 38.65142857],0
a4,1,0.485441,0.486615,[18 80] ; [17 58],[19.8265896 78.1734104] ; [15.1734104 59.8265896],0
d1,1,0.530424,0.39358,[ 6 93] ; [ 3 73],[ 5.09142857 93.90857143] ; [ 3.90857143 72.09142857],0
p11,1,0.554197,0.349853,[78 21] ; [57 19],[76.37142857 22.62857143] ; [58.62857143 17.37142857],0
v1,1,0.557392,0.344239,[45 52] ; [31 43],[43.11111111 53.88888889] ; [32.88888889 41.11111111],0
r2,1,0.577967,0.309534,[91  8] ; [68  8],[89.94857143  9.05142857] ; [69.05142857  6.94857143],0
u1,1,0.611685,0.257729,[ 4 95] ; [ 2 74],[ 3.39428571 95.60571429] ; [ 2.60571429 73.39428571],0
