Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,6e-06,20.436575,[21 31] ; [106  35],[34.21761658 17.78238342] ; [92.78238342 48.21761658],1
d3,1,7e-06,20.313347,[22 30] ; [108  33],[35.02590674 16.97409326] ; [94.97409326 46.02590674],1
p2,1,4.4e-05,16.680805,[27 25] ; [113  26],[38.11518325 13.88481675] ; [101.88481675  37.11518325],1
p9,1,0.001196,10.496223,[32 19] ; [115  21],[40.09090909 10.90909091] ; [106.90909091  29.09090909],0
a1,1,0.006886,7.302521,[ 5 47] ; [  2 139],[ 1.88601036 50.11398964] ; [  5.11398964 135.88601036],0
p10,1,0.010688,6.516417,[29 22] ; [104  33],[36.07978723 14.92021277] ; [96.92021277 40.07978723],0
d5,1,0.015623,5.844803,[32 20] ; [111  30],[38.52849741 13.47150259] ; [104.47150259  36.52849741],0
v2,1,0.018282,5.568948,[18 31] ; [74 57],[25.04444444 23.95555556] ; [66.95555556 64.04444444],0
u1,1,0.024879,5.032297,[ 1 51] ; [ 18 123],[ 5.11917098 46.88082902] ; [ 13.88082902 127.11917098],0
n2,1,0.035053,4.442586,[21  2] ; [30 14],[17.50746269  5.49253731] ; [33.49253731 10.50746269],0
r1,1,0.038822,4.268641,[36 16] ; [116  24],[41.16666667 10.83333333] ; [110.83333333  29.16666667],0
d1,1,0.049217,3.867951,[19 33] ; [74 67],[25.05699482 26.94300518] ; [67.94300518 73.05699482],0
b5,1,0.053838,3.717707,[26 26] ; [92 49],[31.79274611 20.20725389] ; [86.20725389 54.79274611],0
p8,1,0.076923,3.128733,[18 34] ; [68 71],[23.41361257 28.58638743] ; [62.58638743 76.41361257],0
d4,1,0.078359,3.09861,[36 15] ; [116  25],[40.375 10.625] ; [111.625  29.375],0
v3,1,0.0897,2.879742,[ 9 40] ; [41 91],[13.5359116 35.4640884] ; [36.4640884 95.5359116],0
s1,1,0.093291,2.816647,[ 3 49] ; [  2 138],[ 1.35416667 50.64583333] ; [  3.64583333 136.35416667],0
a2,1,0.102535,2.665662,[ 4 48] ; [ 24 117],[ 7.54404145 44.45595855] ; [ 20.45595855 120.54404145],0
