Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000769,11.314286,[3 6] ; [74 16],[7. 2.] ; [70. 20.],1
r3,1,0.003059,8.772028,[7 3] ; [84  4],[9.28571429 0.71428571] ; [81.71428571  6.28571429],0
p4,1,0.003532,8.50975,[5 4] ; [81  9],[7.81818182 1.18181818] ; [78.18181818 11.81818182],0
a3,1,0.032467,4.573687,[5 5] ; [72 18],[7.7 2.3] ; [69.3 20.7],0
b4,1,0.035642,4.414129,[9 1] ; [50 40],[5.9 4.1] ; [53.1 36.9],0
d5,1,0.057464,3.609114,[5 4] ; [74 16],[7.18181818 1.81818182] ; [71.81818182 18.18181818],0
p7,1,0.060455,3.52485,[5 4] ; [73 16],[7.16326531 1.83673469] ; [70.83673469 18.16326531],0
d4,1,0.083096,3.003277,[6 3] ; [79 11],[7.72727273 1.27272727] ; [77.27272727 12.72727273],0
a6,1,0.098592,2.728175,[8 1] ; [55 35],[5.72727273 3.27272727] ; [57.27272727 32.72727273],0
p1,1,0.162793,1.948087,[1 9] ; [28 62],[2.9 7.1] ; [26.1 63.9],0
u3,1,0.180802,1.791019,[2 3] ; [13  5],[3.26086957 1.73913043] ; [11.73913043  6.26086957],0
s2,1,0.278272,1.17551,[4 6] ; [51 37],[5.6122449 4.3877551] ; [49.3877551 38.6122449],0
p10,1,0.312761,1.01898,[9 1] ; [86  3],[9.5959596 0.4040404] ; [85.4040404  3.5959596],0
a5,1,0.33424,0.932401,[9 1] ; [69 21],[7.8 2.2] ; [70.2 19.8],0
r4,1,0.337657,0.919305,[8 2] ; [81  9],[8.9 1.1] ; [80.1  9.9],0
b5,1,0.349101,0.876722,[6 4] ; [40 50],[4.6 5.4] ; [41.4 48.6],0
v3,1,0.354415,0.857586,[7 3] ; [47 39],[5.625 4.375] ; [48.375 37.625],0
p12,1,0.385556,0.752913,[4 6] ; [24 65],[2.82828283 7.17171717] ; [25.17171717 63.82828283],0
n4,1,0.411868,0.673401,[8 2] ; [80 10],[8.8 1.2] ; [79.2 10.8],0
d3,1,0.414826,0.664925,[5 4] ; [62 28],[6.09090909 2.90909091] ; [60.90909091 29.09090909],0
s6,1,0.522851,0.408267,[9 1] ; [68 15],[8.27956989 1.72043011] ; [68.72043011 14.27956989],0
v2,1,0.523628,0.406741,[5 5] ; [52 34],[5.9375 4.0625] ; [51.0625 34.9375],0
a7,1,0.55257,0.352734,[8 2] ; [64 26],[7.2 2.8] ; [64.8 25.2],0
d2,1,0.610638,0.259247,[4 5] ; [48 42],[4.72727273 4.27272727] ; [47.27272727 42.72727273],0
n6,1,0.619932,0.245963,[8 1] ; [84  6],[8.36363636 0.63636364] ; [83.63636364  6.36363636],0
s5,1,0.694956,0.153773,[6 4] ; [53 27],[6.55555556 3.44444444] ; [52.44444444 27.55555556],0
s1,1,0.695109,0.15361,[1 9] ; [ 6 84],[0.7 9.3] ; [ 6.3 83.7],0
b2,1,0.719281,0.129183,[3 4] ; [33 33],[3.45205479 3.54794521] ; [32.54794521 33.45205479],0
b3,1,0.719281,0.129183,[3 4] ; [33 33],[3.45205479 3.54794521] ; [32.54794521 33.45205479],0
s3,1,0.733866,0.115592,[5 4] ; [54 34],[5.4742268 3.5257732] ; [53.5257732 34.4742268],0
s8,1,0.764966,0.089381,[5 4] ; [54 35],[5.41836735 3.58163265] ; [53.58163265 35.41836735],0
a1,1,0.766199,0.088417,[1 9] ; [12 78],[1.3 8.7] ; [11.7 78.3],0
u2,1,0.781867,0.076667,[3 2] ; [12  6],[3.26086957 1.73913043] ; [11.73913043  6.26086957],0
s7,1,0.806746,0.059842,[6 3] ; [60 25],[6.31914894 2.68085106] ; [59.68085106 25.31914894],0
n3,1,0.83008,0.046053,[1 1] ; [11  8],[1.14285714 0.85714286] ; [10.85714286  8.14285714],0
s4,1,0.832257,0.044863,[1 8] ; [12 76],[1.20618557 7.79381443] ; [11.79381443 76.20618557],0
d1,1,0.835914,0.0429,[6 4] ; [57 33],[6.3 3.7] ; [56.7 33.3],0
n5,1,0.837453,0.042088,[9 1] ; [79 11],[8.8 1.2] ; [79.2 10.8],0
p11,1,0.837453,0.042088,[9 1] ; [79 11],[8.8 1.2] ; [79.2 10.8],0
a4,1,0.839925,0.0408,[4 6] ; [39 51],[4.3 5.7] ; [38.7 51.3],0
p6,1,0.856328,0.032779,[6 4] ; [56 33],[6.26262626 3.73737374] ; [55.73737374 33.26262626],0
b1,1,0.892554,0.018245,[4 6] ; [38 52],[4.2 5.8] ; [37.8 52.2],0
r2,1,0.924848,0.008898,[9 1] ; [80  8],[9.08163265 0.91836735] ; [79.91836735  8.08163265],0
p8,1,0.932286,0.00722,[8 2] ; [73 17],[8.1 1.9] ; [72.9 17.1],0
r1,1,0.945438,0.004684,[8 2] ; [72 17],[8.08080808 1.91919192] ; [71.91919192 17.08080808],0
v1,1,0.987905,0.00023,[7 3] ; [60 26],[6.97916667 3.02083333] ; [60.02083333 25.97916667],0
u1,1,1.0,0.0,[2 8] ; [18 72],[2. 8.] ; [18. 72.],0
a2,1,1.0,0.0,[2 8] ; [18 72],[2. 8.] ; [18. 72.],0
