Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,48.571931,[65 92] ; [103  22],[93.53191489 63.46808511] ; [74.46808511 50.53191489],1
p5,1,1.8e-05,18.414436,[ 18 141] ; [40 85],[ 32.47183099 126.52816901] ; [25.52816901 99.47183099],1
p8,1,0.000273,13.247347,[78 78] ; [88 35],[92.8172043 63.1827957] ; [73.1827957 49.8172043],1
s8,1,0.001133,10.596826,[77 82] ; [84 40],[90.45583039 68.54416961] ; [70.54416961 53.45583039],0
p4,1,0.001965,9.581803,[93 65] ; [94 29],[105.14590747  52.85409253] ; [81.85409253 41.14590747],0
v1,1,0.001996,9.553629,[84 74] ; [89 36],[96.58657244 61.41342756] ; [76.41342756 48.58657244],0
s7,1,0.003225,8.675718,[88 64] ; [90 30],[99.47058824 52.52941176] ; [78.52941176 41.47058824],0
p12,1,0.006109,7.51776,[ 12 146] ; [ 23 102],[ 19.54063604 138.45936396] ; [ 15.45936396 109.54063604],0
p1,1,0.009582,6.710938,[ 12 147] ; [ 22 103],[ 19.03521127 139.96478873] ; [ 14.96478873 110.03521127],0
n6,1,0.012018,6.308169,[136  22] ; [117   6],[142.25622776  15.74377224] ; [110.74377224  12.25622776],0
r4,1,0.013809,6.062417,[147  13] ; [124   2],[151.60839161   8.39160839] ; [119.39160839   6.60839161],0
n4,1,0.013908,6.049784,[115  43] ; [107  19],[123.50704225  34.49295775] ; [98.49295775 27.50704225],0
r1,1,0.01722,5.673775,[130  28] ; [115  10],[136.7844523  21.2155477] ; [108.2155477  16.7844523],0
n5,1,0.020755,5.347233,[116  42] ; [106  19],[123.9434629  34.0565371] ; [98.0565371 26.9434629],0
s2,1,0.027926,4.832609,[108  52] ; [99 26],[116.21052632  43.78947368] ; [90.78947368 34.21052632],0
p3,1,0.044347,4.043283,[85 74] ; [81 43],[93.26501767 65.73498233] ; [72.73498233 51.26501767],0
s4,1,0.076387,3.140154,[ 47 109] ; [26 99],[ 40.52669039 115.47330961] ; [32.47330961 92.52669039],0
a1,1,0.082597,3.013043,[  7 153] ; [ 12 114],[ 10.62937063 149.37062937] ; [  8.37062937 117.62937063],0
p7,1,0.093701,2.809614,[106  48] ; [95 27],[112.15217391  41.84782609] ; [88.84782609 33.15217391],0
s3,1,0.104383,2.637264,[106  54] ; [91 30],[112.17081851  47.82918149] ; [84.82918149 36.17081851],0
