Feature,DoF,P Value,Chi Square,Is Significant
p5,1,0.000282,13.188601,1
s8,1,0.000766,11.321454,1
a8,1,0.007208,7.220491,0
a1,1,0.007558,7.135288,0
s7,1,0.009731,6.683413,0
b2,1,0.013534,6.097897,0
b3,1,0.013534,6.097897,0
p4,1,0.022234,5.227351,0
p12,1,0.024068,5.089717,0
p3,1,0.025312,5.002422,0
p7,1,0.039032,4.25948,0
a2,1,0.050872,3.81247,0
p8,1,0.075363,3.162162,0
s2,1,0.075363,3.162162,0
s3,1,0.081235,3.040016,0
d1,1,0.08191,3.026588,0
p6,1,0.096115,2.768858,0
d2,1,0.121063,2.40351,0
a4,1,0.199568,1.645537,0
n4,1,0.243564,1.359846,0
u1,1,0.266575,1.234287,0
s5,1,0.394171,0.726037,0
d5,1,0.433387,0.613728,0
r1,1,0.492442,0.471187,0
b5,1,0.658328,0.195561,0
b4,1,0.719728,0.128753,0
a6,1,0.917854,0.010637,0
a7,1,1.0,0.0,0
