Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,27.049014,[14 67] ; [56 46],[30.98360656 50.01639344] ; [39.01639344 62.98360656],1
r3,1,0.000156,14.304333,[69 13] ; [101   1],[75.76086957  6.23913043] ; [94.23913043  7.76086957],1
v1,1,0.000273,13.244779,[29 52] ; [63 37],[41.17127072 39.82872928] ; [50.82872928 49.17127072],1
a6,1,0.002702,8.998771,[41 40] ; [75 29],[50.78918919 30.21081081] ; [65.21081081 38.78918919],0
n1,1,0.002811,8.926491,[20 13] ; [ 5 19],[14.47368421 18.52631579] ; [10.52631579 13.47368421],0
d2,1,0.004445,8.092524,[32 49] ; [63 41],[41.59459459 39.40540541] ; [53.40540541 50.59459459],0
a7,1,0.004728,7.980486,[50 32] ; [83 21],[58.6344086 23.3655914] ; [74.3655914 29.6344086],0
d1,1,0.005654,7.657357,[37 45] ; [68 36],[46.29032258 35.70967742] ; [58.70967742 45.29032258],0
r1,1,0.011709,6.354355,[61 20] ; [92 11],[67.35326087 13.64673913] ; [85.64673913 17.35326087],0
p5,1,0.012498,6.238759,[10 71] ; [  3 101],[ 5.69189189 75.30810811] ; [ 7.30810811 96.69189189],0
d5,1,0.019609,5.446348,[58 23] ; [89 15],[64.36216216 16.63783784] ; [82.63783784 21.36216216],0
s2,1,0.019897,5.420875,[52 30] ; [82 22],[59.07526882 22.92473118] ; [74.92473118 29.07526882],0
s6,1,0.022219,5.228553,[61 20] ; [90 12],[66.83606557 14.16393443] ; [84.16393443 17.83606557],0
u1,1,0.024643,5.048807,[11 71] ; [28 76],[17.19354839 64.80645161] ; [21.80645161 82.19354839],0
a5,1,0.047217,3.937643,[54 28] ; [82 22],[59.95698925 22.04301075] ; [76.04301075 27.95698925],0
s1,1,0.049932,3.84374,[ 8 73] ; [ 3 99],[ 4.86885246 76.13114754] ; [ 6.13114754 95.86885246],0
s8,1,0.083565,2.994162,[49 33] ; [74 29],[54.51891892 27.48108108] ; [68.48108108 34.51891892],0
r4,1,0.086174,2.944423,[65 17] ; [92 12],[69.21505376 12.78494624] ; [87.78494624 16.21505376],0
r2,1,0.098531,2.729165,[74  7] ; [97  3],[76.52486188  4.47513812] ; [94.47513812  5.52486188],0
d4,1,0.11266,2.516499,[61 20] ; [88 16],[65.23783784 15.76216216] ; [83.76216216 20.23783784],0
p1,1,0.16191,1.956292,[ 6 76] ; [  3 101],[ 3.96774194 78.03225806] ; [ 5.03225806 98.96774194],0
p9,1,0.199623,1.645127,[63 18] ; [86 15],[66.31318681 14.68681319] ; [82.68681319 18.31318681],0
b4,1,0.201283,1.633041,[42 40] ; [63 41],[46.29032258 35.70967742] ; [58.70967742 45.29032258],0
d3,1,0.203868,1.614445,[53 28] ; [77 27],[56.91891892 24.08108108] ; [73.08108108 30.91891892],0
b1,1,0.217495,1.520821,[34 48] ; [34 70],[29.97849462 52.02150538] ; [38.02150538 65.97849462],0
a1,1,0.266368,1.235357,[ 2 80] ; [ 6 98],[ 3.52688172 78.47311828] ; [ 4.47311828 99.52688172],0
b3,1,0.282996,1.152645,[24 33] ; [23 47],[21.09448819 35.90551181] ; [25.90551181 44.09448819],0
