Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-05,19.602332,[39 55] ; [ 24 126],[24.2704918 69.7295082] ; [ 38.7295082 111.2704918],1
v1,1,7e-05,15.803632,[54 38] ; [ 49 101],[39.15702479 52.84297521] ; [63.84297521 86.15702479],1
r3,1,0.000609,11.747176,[88  5] ; [119  33],[78.5755102 14.4244898] ; [128.4244898  23.5755102],1
r1,1,0.000863,11.101563,[73 22] ; [85 67],[60.76923077 34.23076923] ; [97.23076923 54.76923077],1
s8,1,0.00345,8.552799,[37 58] ; [ 33 119],[26.92307692 68.07692308] ; [ 43.07692308 108.92307692],0
s6,1,0.004233,8.181168,[60 31] ; [71 80],[49.26033058 41.73966942] ; [81.73966942 69.26033058],0
d3,1,0.0048,7.953401,[50 45] ; [52 99],[39.3902439 55.6097561] ; [62.6097561 88.3902439],0
p7,1,0.007952,7.044243,[53 40] ; [58 89],[43.0125 49.9875] ; [67.9875 79.0125],0
r4,1,0.008211,6.986777,[79 16] ; [104  49],[70.10080645 24.89919355] ; [112.89919355  40.10080645],0
v4,1,0.012175,6.285246,[86  6] ; [124  27],[79.50617284 12.49382716] ; [130.49382716  20.50617284],0
s1,1,0.01465,5.958138,[ 1 91] ; [ 13 138],[ 5.30041152 86.69958848] ; [  8.69958848 142.30041152],0
d5,1,0.014905,5.927628,[57 38] ; [67 85],[47.69230769 47.30769231] ; [76.30769231 75.69230769],0
p6,1,0.021938,5.250707,[27 67] ; [ 25 127],[19.8699187 74.1300813] ; [ 32.1300813 119.8699187],0
d2,1,0.025551,4.986139,[10 85] ; [ 33 120],[16.47177419 78.52822581] ; [ 26.52822581 126.47177419],0
p9,1,0.05646,3.638433,[73 20] ; [100  49],[66.48347107 26.51652893] ; [106.51652893  42.48347107],0
a6,1,0.05962,3.547923,[57 38] ; [73 80],[49.7983871 45.2016129] ; [80.2016129 72.7983871],0
d4,1,0.065335,3.396494,[61 34] ; [80 73],[54.01209677 40.98790323] ; [86.98790323 66.01209677],0
p2,1,0.068329,3.322719,[74 21] ; [102  50],[67.69230769 27.30769231] ; [108.30769231  43.69230769],0
n1,1,0.070263,3.276863,[ 7 21] ; [25 30],[10.79518072 17.20481928] ; [21.20481928 33.79518072],0
u1,1,0.074619,3.178364,[ 6 89] ; [  3 150],[ 3.44758065 91.55241935] ; [  5.55241935 147.44758065],0
a4,1,0.114845,2.486249,[18 77] ; [ 42 109],[23.17073171 71.82926829] ; [ 36.82926829 114.17073171],0
n2,1,0.127797,2.31906,[25  4] ; [40 16],[22.17647059  6.82352941] ; [42.82352941 13.17647059],0
a7,1,0.128071,2.315731,[63 32] ; [86 66],[57.30769231 37.69230769] ; [91.69230769 60.30769231],0
s7,1,0.131985,2.268997,[36 53] ; [ 45 101],[30.67659574 58.32340426] ; [50.32340426 95.67659574],0
p10,1,0.140836,2.168806,[67 26] ; [93 55],[61.74273859 31.25726141] ; [98.25726141 49.74273859],0
s2,1,0.170012,1.882835,[41 53] ; [53 99],[35.91869919 58.08130081] ; [58.08130081 93.91869919],0
a2,1,0.18111,1.788496,[ 3 92] ; [ 11 142],[ 5.36290323 89.63709677] ; [  8.63709677 144.36290323],0
n6,1,0.182794,1.774759,[71 22] ; [104  48],[66.42857143 26.57142857] ; [108.57142857  43.42857143],0
a5,1,0.188396,1.730114,[51 44] ; [69 84],[45.96774194 49.03225806] ; [74.03225806 78.96774194],0
r2,1,0.18871,1.727659,[81 11] ; [125  28],[77.35510204 14.64489796] ; [128.64489796  24.35510204],0
b1,1,0.200439,1.639175,[32 63] ; [64 89],[36.77419355 58.22580645] ; [59.22580645 93.77419355],0
p11,1,0.209443,1.575271,[67 28] ; [96 57],[62.43951613 32.56048387] ; [100.56048387  52.43951613],0
p4,1,0.228494,1.450213,[33 61] ; [ 42 109],[28.7755102 65.2244898] ; [ 46.2244898 104.7755102],0
n3,1,0.23171,1.430333,[22  7] ; [34 20],[19.56626506  9.43373494] ; [36.43373494 17.56626506],0
p8,1,0.248744,1.330343,[36 58] ; [ 47 104],[31.84489796 62.15510204] ; [51.15510204 99.84489796],0
p1,1,0.320513,0.986852,[ 4 91] ; [ 11 139],[ 5.81632653 89.18367347] ; [  9.18367347 140.81632653],0
b4,1,0.336183,0.924932,[55 40] ; [79 74],[51.33064516 43.66935484] ; [82.66935484 70.33064516],0
s5,1,0.40137,0.704219,[25 68] ; [ 33 116],[22.2892562 70.7107438] ; [ 35.7107438 113.2892562],0
p12,1,0.429224,0.624922,[ 2 92] ; [  6 145],[ 3.06938776 90.93061224] ; [  4.93061224 146.06938776],0
u3,1,0.444789,0.583898,[22 21] ; [32 41],[20.01724138 22.98275862] ; [33.98275862 39.01724138],0
s3,1,0.530731,0.392991,[46 47] ; [68 82],[43.62962963 49.37037037] ; [70.37037037 79.62962963],0
b3,1,0.537305,0.380558,[13 35] ; [28 59],[14.57777778 33.42222222] ; [26.42222222 60.57777778],0
b2,1,0.537305,0.380558,[13 35] ; [28 59],[14.57777778 33.42222222] ; [26.42222222 60.57777778],0
b5,1,0.608899,0.261782,[54 41] ; [92 61],[55.92741935 39.07258065] ; [90.07258065 62.92741935],0
u2,1,0.619865,0.246058,[21 21] ; [33 40],[19.72173913 22.27826087] ; [34.27826087 38.72173913],0
u4,1,0.732684,0.116661,[ 1 94] ; [  1 152],[ 0.76612903 94.23387097] ; [  1.23387097 151.76612903],0
a3,1,0.751603,0.100189,[52 43] ; [79 71],[50.79591837 44.20408163] ; [80.20408163 69.79591837],0
a8,1,0.762518,0.09131,[13 76] ; [ 23 120],[13.81034483 75.18965517] ; [ 22.18965517 120.81034483],0
s4,1,0.780735,0.077485,[16 78] ; [ 28 124],[16.81300813 77.18699187] ; [ 27.18699187 124.81300813],0
n4,1,0.801789,0.063018,[56 38] ; [93 59],[56.93495935 37.06504065] ; [92.06504065 59.93495935],0
p5,1,0.83306,0.044428,[ 5 90] ; [  7 143],[ 4.65306122 90.34693878] ; [  7.34693878 142.65306122],0
n5,1,0.941506,0.005384,[61 32] ; [99 53],[60.73469388 32.26530612] ; [99.26530612 52.73469388],0
a1,1,0.990572,0.00014,[ 5 90] ; [  8 145],[ 4.97983871 90.02016129] ; [  8.02016129 144.97983871],0
