Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,2.4e-05,17.812969,[68  3] ; [1 2],[66.2027027  4.7972973] ; [2.7972973 0.2027027],1
s6,1,0.016525,5.746162,[60 10] ; [1 2],[58.49315068 11.50684932] ; [2.50684932 0.49315068],0
s3,1,0.114491,2.491115,[53 18] ; [1 2],[51.81081081 19.18918919] ; [2.18918919 0.81081081],0
d5,1,0.114491,2.491115,[53 18] ; [1 2],[51.81081081 19.18918919] ; [2.18918919 0.81081081],0
s2,1,0.114491,2.491115,[53 18] ; [1 2],[51.81081081 19.18918919] ; [2.18918919 0.81081081],0
r1,1,0.114491,2.491115,[53 18] ; [1 2],[51.81081081 19.18918919] ; [2.18918919 0.81081081],0
p11,1,0.153009,2.041991,[51 20] ; [1 2],[49.89189189 21.10810811] ; [2.10810811 0.89189189],0
a6,1,0.195959,1.672238,[49 22] ; [1 2],[47.97297297 23.02702703] ; [2.02702703 0.97297297],0
a3,1,0.242835,1.36406,[47 24] ; [1 2],[46.05405405 24.94594595] ; [1.94594595 1.05405405],0
n6,1,0.303098,1.060514,[44 26] ; [1 2],[43.15068493 26.84931507] ; [1.84931507 1.15068493],0
b4,1,0.34673,0.885389,[43 28] ; [1 2],[42.21621622 28.78378378] ; [1.78378378 1.21621622],0
b1,1,0.34673,0.885389,[28 43] ; [2 1],[28.78378378 42.21621622] ; [1.21621622 1.78378378],0
n2,1,0.443789,0.586466,[18  6] ; [1 1],[17.53846154  6.46153846] ; [1.46153846 0.53846154],0
v1,1,0.555346,0.347826,[35 34] ; [1 2],[34.5 34.5] ; [1.5 1.5],0
p8,1,0.654498,0.200276,[38 33] ; [2 1],[38.37837838 32.62162162] ; [1.62162162 1.37837838],0
s5,1,0.67632,0.174298,[31 37] ; [1 2],[30.64788732 37.35211268] ; [1.35211268 1.64788732],0
a7,1,0.710414,0.137864,[54 17] ; [2 1],[53.72972973 17.27027027] ; [2.27027027 0.72972973],0
p4,1,0.723555,0.125112,[40 31] ; [2 1],[40.2972973 30.7027027] ; [1.7027027 1.2972973],0
n5,1,0.759044,0.094087,[30 41] ; [1 2],[29.74324324 41.25675676] ; [1.25675676 1.74324324],0
v3,1,0.865234,0.028803,[19 47] ; [1 2],[19.13043478 46.86956522] ; [0.86956522 2.13043478],0
s4,1,0.889124,0.019436,[21 50] ; [1 2],[21.10810811 49.89189189] ; [0.89189189 2.10810811],0
b5,1,0.907793,0.013415,[45 26] ; [2 1],[45.09459459 25.90540541] ; [1.90540541 1.09459459],0
p6,1,0.972853,0.001158,[23 48] ; [1 2],[23.02702703 47.97297297] ; [0.97297297 2.02702703],0
