Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.1e-05,19.300658,[ 9 74] ; [26 35],[20.17361111 62.82638889] ; [14.82638889 46.17361111],1
p8,1,2.4e-05,17.813671,[16 68] ; [32 29],[27.80689655 56.19310345] ; [20.19310345 40.80689655],1
p2,1,0.000423,12.427,[44 40] ; [50 12],[54.08219178 29.91780822] ; [39.91780822 22.08219178],1
p11,1,0.005369,7.750814,[36 48] ; [41 21],[44.30136986 39.69863014] ; [32.69863014 29.30136986],0
v4,1,0.007064,7.256734,[69 15] ; [59  2],[74.15172414  9.84827586] ; [53.84827586  7.15172414],0
r4,1,0.015961,5.807118,[71 13] ; [60  2],[75.36986301  8.63013699] ; [55.63013699  6.36986301],0
s3,1,0.020871,5.337539,[33 49] ; [37 25],[39.86111111 42.13888889] ; [30.13888889 31.86111111],0
n2,1,0.025754,4.972467,[20 16] ; [17  3],[23.78571429 12.21428571] ; [13.21428571  6.78571429],0
p4,1,0.02929,4.750476,[27 57] ; [31 31],[33.36986301 50.63013699] ; [24.63013699 37.36986301],0
b5,1,0.055184,3.676505,[48 36] ; [45 17],[53.50684932 30.49315068] ; [39.49315068 22.50684932],0
n5,1,0.070619,3.268579,[41 43] ; [39 22],[46.34482759 37.65517241] ; [33.65517241 27.34482759],0
a3,1,0.098685,2.726672,[56 26] ; [34 28],[51.25 30.75] ; [38.75 23.25],0
n6,1,0.11653,2.463349,[50 34] ; [44 17],[54.45517241 29.54482759] ; [39.54482759 21.45517241],0
r3,1,0.132745,2.260106,[73 10] ; [59  3],[75.55862069  7.44137931] ; [56.44137931  5.55862069],0
d5,1,0.18509,1.756273,[66 18] ; [42 19],[62.56551724 21.43448276] ; [45.43448276 15.56551724],0
p3,1,0.19741,1.661431,[24 60] ; [24 38],[27.61643836 56.38356164] ; [20.38356164 41.61643836],0
a8,1,0.206552,1.595432,[ 9 65] ; [11 43],[11.5625 62.4375] ; [ 8.4375 45.5625],0
n3,1,0.229342,1.444936,[20 14] ; [15  5],[22.03703704 11.96296296] ; [12.96296296  7.03703704],0
p5,1,0.238335,1.390415,[ 3 81] ; [ 5 57],[ 4.60273973 79.39726027] ; [ 3.39726027 58.60273973],0
p9,1,0.260886,1.264049,[26 58] ; [24 36],[29.16666667 54.83333333] ; [20.83333333 39.16666667],0
s2,1,0.291201,1.11406,[27 54] ; [26 36],[30.02097902 50.97902098] ; [22.97902098 39.02097902],0
b1,1,0.29448,1.099026,[36 48] ; [32 30],[39.12328767 44.87671233] ; [28.87671233 33.12328767],0
u4,1,0.301059,1.069499,[ 4 80] ; [ 1 61],[ 2.87671233 81.12328767] ; [ 2.12328767 59.87671233],0
s1,1,0.301111,1.069265,[ 8 76] ; [ 3 58],[ 6.37241379 77.62758621] ; [ 4.62758621 56.37241379],0
s5,1,0.302085,1.064965,[14 66] ; [15 46],[16.45390071 63.54609929] ; [12.54609929 48.45390071],0
v2,1,0.337019,0.921738,[33 49] ; [29 31],[35.8028169 46.1971831] ; [26.1971831 33.8028169],0
s4,1,0.392279,0.731867,[12 70] ; [ 6 55],[10.32167832 71.67832168] ; [ 7.67832168 53.32167832],0
n1,1,0.400079,0.708088,[18 19] ; [ 7 12],[16.51785714 20.48214286] ; [ 8.48214286 10.51785714],0
u2,1,0.412931,0.670345,[14 13] ; [11 16],[12.5 14.5] ; [12.5 14.5],0
u3,1,0.41514,0.664032,[18 10] ; [15 13],[16.5 11.5] ; [16.5 11.5],0
r2,1,0.445937,0.580959,[79  5] ; [60  2],[79.97260274  4.02739726] ; [59.02739726  2.97260274],0
d1,1,0.503029,0.448541,[44 40] ; [29 33],[42. 42.] ; [31. 31.],0
d4,1,0.522346,0.40926,[66 17] ; [45 15],[64.42657343 18.57342657] ; [46.57342657 13.42657343],0
a4,1,0.578921,0.307981,[40 43] ; [27 35],[38.35172414 44.64827586] ; [28.64827586 33.35172414],0
d3,1,0.590221,0.29,[50 34] ; [39 22],[51.55862069 32.44137931] ; [37.44137931 23.55862069],0
b4,1,0.603135,0.270294,[55 29] ; [38 24],[53.50684932 30.49315068] ; [39.49315068 22.50684932],0
n4,1,0.669744,0.181902,[55 29] ; [42 19],[56.19310345 27.80689655] ; [40.80689655 20.19310345],0
p1,1,0.675312,0.175452,[ 7 76] ; [ 4 57],[ 6.34027778 76.65972222] ; [ 4.65972222 56.34027778],0
d2,1,0.678179,0.172183,[41 42] ; [28 33],[39.77083333 43.22916667] ; [29.22916667 31.77083333],0
s7,1,0.702577,0.145805,[25 52] ; [21 38],[26.04411765 50.95588235] ; [19.95588235 39.04411765],0
s6,1,0.705744,0.142565,[43 40] ; [33 27],[44.11188811 38.88811189] ; [31.88811189 28.11188811],0
u1,1,0.715021,0.133314,[13 71] ; [11 51],[13.80821918 70.19178082] ; [10.19178082 51.80821918],0
a5,1,0.74828,0.102982,[55 29] ; [39 23],[54.08219178 29.91780822] ; [39.91780822 22.08219178],0
p12,1,0.834884,0.043448,[ 1 82] ; [ 1 61],[ 1.14482759 81.85517241] ; [ 0.85517241 61.14482759],0
b3,1,0.849926,0.035801,[19 38] ; [11 24],[18.58695652 38.41304348] ; [11.41304348 23.58695652],0
b2,1,0.849926,0.035801,[19 38] ; [11 24],[18.58695652 38.41304348] ; [11.41304348 23.58695652],0
a2,1,0.862141,0.030154,[20 64] ; [14 48],[19.56164384 64.43835616] ; [14.43835616 47.56164384],0
a7,1,0.904961,0.014256,[57 26] ; [42 20],[56.66896552 26.33103448] ; [42.33103448 19.66896552],0
s8,1,0.934774,0.006698,[23 60] ; [17 43],[23.21678322 59.78321678] ; [16.78321678 43.21678322],0
v3,1,0.947895,0.004271,[23 55] ; [18 42],[23.17391304 54.82608696] ; [17.82608696 42.17391304],0
a6,1,0.95104,0.00377,[50 34] ; [36 25],[49.82068966 34.17931034] ; [36.17931034 24.82068966],0
v1,1,0.974031,0.00106,[35 49] ; [26 36],[35.09589041 48.90410959] ; [25.90410959 36.09589041],0
a1,1,0.98287,0.000461,[ 4 80] ; [ 3 59],[ 4.02739726 79.97260274] ; [ 2.97260274 59.02739726],0
