Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,24.394668,[ 6 43] ; [33 23],[18.2 30.8] ; [20.8 35.2],1
p10,1,0.000378,12.639815,[21 28] ; [43 13],[29.86666667 19.13333333] ; [34.13333333 21.86666667],1
p4,1,0.000441,12.350514,[13 36] ; [34 22],[21.93333333 27.06666667] ; [25.06666667 30.93333333],1
d3,1,0.001021,10.789295,[27 22] ; [48  9],[34.66981132 14.33018868] ; [40.33018868 16.66981132],0
p2,1,0.003108,8.742815,[31 18] ; [50  7],[37.44339623 11.55660377] ; [43.55660377 13.44339623],0
p3,1,0.004299,8.15281,[14 35] ; [32 25],[21.26415094 27.73584906] ; [24.73584906 32.26415094],0
p6,1,0.007972,7.039716,[ 9 40] ; [23 31],[15.22330097 33.77669903] ; [16.77669903 37.22330097],0
p9,1,0.012568,6.22888,[27 21] ; [45 12],[32.91428571 15.08571429] ; [39.08571429 17.91428571],0
v4,1,0.022131,5.235457,[40  8] ; [55  2],[43.42857143  4.57142857] ; [51.57142857  5.42857143],0
s8,1,0.042224,4.126197,[13 36] ; [26 31],[18.02830189 30.97169811] ; [20.97169811 36.02830189],0
d1,1,0.053142,3.739464,[20 29] ; [34 23],[24.96226415 24.03773585] ; [29.03773585 27.96226415],0
a2,1,0.069965,3.283839,[ 6 43] ; [15 42],[ 9.70754717 39.29245283] ; [11.29245283 45.70754717],0
p11,1,0.073053,3.213063,[32 17] ; [46 11],[36.05660377 12.94339623] ; [41.94339623 15.05660377],0
a7,1,0.074179,3.188034,[30 19] ; [44 13],[34.20754717 14.79245283] ; [39.79245283 17.20754717],0
v1,1,0.082875,3.007602,[23 24] ; [18 38],[18.70873786 28.29126214] ; [22.29126214 33.70873786],0
r4,1,0.086584,2.936764,[39 10] ; [52  5],[42.06603774  6.93396226] ; [48.93396226  8.06603774],0
s7,1,0.110685,2.544416,[15 29] ; [28 28],[18.92 25.08] ; [24.08 31.92],0
n6,1,0.111303,2.53562,[28 21] ; [41 16],[31.89622642 17.10377358] ; [37.10377358 19.89622642],0
d5,1,0.111434,2.53376,[35 14] ; [48  9],[38.36792453 10.63207547] ; [44.63207547 12.36792453],0
b2,1,0.12819,2.314286,[13 17] ; [11 31],[10. 20.] ; [14. 28.],0
b3,1,0.12819,2.314286,[13 17] ; [11 31],[10. 20.] ; [14. 28.],0
s1,1,0.134862,2.235627,[ 1 48] ; [ 5 52],[ 2.77358491 46.22641509] ; [ 3.22641509 53.77358491],0
a6,1,0.163017,1.946011,[28 21] ; [40 17],[31.43396226 17.56603774] ; [36.56603774 20.43396226],0
n2,1,0.233762,1.417824,[5 5] ; [11  4],[6.4 3.6] ; [9.6 5.4],0
s4,1,0.255578,1.292551,[10 39] ; [ 7 50],[ 7.85849057 41.14150943] ; [ 9.14150943 47.85849057],0
s3,1,0.262179,1.257214,[20 28] ; [29 26],[22.83495146 25.16504854] ; [26.16504854 28.83495146],0
n3,1,0.264616,1.244444,[7 2] ; [14  1],[7.875 1.125] ; [13.125  1.875],0
r3,1,0.301176,1.068982,[45  4] ; [55  2],[46.22641509  2.77358491] ; [53.77358491  3.22641509],0
a4,1,0.372619,0.794912,[24 25] ; [23 34],[21.72641509 27.27358491] ; [25.27358491 31.72641509],0
s6,1,0.382555,0.762475,[22 26] ; [31 26],[24.22857143 23.77142857] ; [28.77142857 28.22857143],0
