Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,5e-06,20.892385,[92  7] ; [52 27],[80.08988764 18.91011236] ; [63.91011236 15.08988764],1
p7,1,7e-06,20.204168,[59 42] ; [19 58],[44.25842697 56.74157303] ; [33.74157303 43.25842697],1
p4,1,3.1e-05,17.349439,[51 50] ; [16 63],[37.59444444 63.40555556] ; [29.40555556 49.59444444],1
r3,1,6.2e-05,16.04203,[91  9] ; [53 26],[80.44692737 19.55307263] ; [63.55307263 15.44692737],1
p11,1,0.000368,12.687897,[61 40] ; [27 53],[49.10497238 51.89502762] ; [38.89502762 41.10497238],1
p8,1,0.000378,12.638003,[41 60] ; [13 67],[30.13259669 70.86740331] ; [23.86740331 56.13259669],1
r4,1,0.000886,11.050954,[79 22] ; [44 36],[68.63535912 32.36464088] ; [54.36464088 25.63535912],1
d3,1,0.006124,7.513522,[66 35] ; [36 44],[56.91712707 44.08287293] ; [45.08287293 34.91712707],0
p6,1,0.007281,7.202205,[26 73] ; [ 8 70],[19.01694915 79.98305085] ; [14.98305085 63.01694915],0
a1,1,0.009532,6.720309,[ 2 99] ; [ 9 71],[ 6.13812155 94.86187845] ; [ 4.86187845 75.13812155],0
a7,1,0.018352,5.56227,[68 32] ; [40 39],[60.33519553 39.66480447] ; [47.66480447 31.33519553],0
s3,1,0.019221,5.481253,[49 51] ; [25 54],[41.34078212 58.65921788] ; [32.65921788 46.34078212],0
a6,1,0.024654,5.048029,[66 35] ; [39 41],[58.59116022 42.40883978] ; [46.40883978 33.59116022],0
n3,1,0.026217,4.941645,[26 11] ; [13 17],[21.53731343 15.46268657] ; [17.46268657 12.53731343],0
s8,1,0.02702,4.889547,[26 74] ; [10 69],[20.11173184 79.88826816] ; [15.88826816 63.11173184],0
s1,1,0.027063,4.886792,[ 3 96] ; [ 9 70],[ 6.6741573 92.3258427] ; [ 5.3258427 73.6741573],0
n2,1,0.037409,4.331676,[26  9] ; [17 17],[21.8115942 13.1884058] ; [21.1884058 12.8115942],0
r1,1,0.038935,4.263692,[77 24] ; [49 30],[70.7 30.3] ; [55.3 23.7],0
b5,1,0.042195,4.127348,[62 39] ; [37 43],[55.24309392 45.75690608] ; [43.75690608 36.24309392],0
p3,1,0.048531,3.891509,[35 65] ; [17 62],[29.05027933 70.94972067] ; [22.94972067 56.05027933],0
p10,1,0.052492,3.760027,[30 70] ; [14 66],[24.44444444 75.55555556] ; [19.55555556 60.44444444],0
v1,1,0.059086,3.562862,[40 61] ; [21 59],[34.03867403 66.96132597] ; [26.96132597 53.03867403],0
b2,1,0.063789,3.436029,[14 48] ; [19 30],[18.43243243 43.56756757] ; [14.56756757 34.43243243],0
b3,1,0.063789,3.436029,[14 48] ; [19 30],[18.43243243 43.56756757] ; [14.56756757 34.43243243],0
d5,1,0.064048,3.429323,[76 25] ; [50 30],[70.30939227 30.69060773] ; [55.69060773 24.30939227],0
s2,1,0.093518,2.812754,[36 62] ; [20 60],[30.83146067 67.16853933] ; [25.16853933 54.83146067],0
s4,1,0.099799,2.708748,[20 78] ; [ 9 71],[15.96629213 82.03370787] ; [13.03370787 66.96629213],0
n4,1,0.116696,2.461114,[69 32] ; [45 34],[63.96666667 37.03333333] ; [50.03333333 28.96666667],0
s7,1,0.137451,2.206267,[30 64] ; [16 58],[25.73809524 68.26190476] ; [20.26190476 53.73809524],0
n6,1,0.264064,1.247324,[67 34] ; [46 33],[63.40555556 37.59444444] ; [49.59444444 29.40555556],0
r2,1,0.327802,0.957563,[88 13] ; [63 14],[85.67977528 15.32022472] ; [65.32022472 11.67977528],0
s6,1,0.344185,0.894782,[45 55] ; [30 49],[41.89944134 58.10055866] ; [33.10055866 45.89944134],0
a4,1,0.404173,0.695877,[32 68] ; [30 49],[34.63687151 65.36312849] ; [27.36312849 51.63687151],0
