Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.6e-05,18.61506,[66 19] ; [ 6 15],[57.73584906 27.26415094] ; [14.26415094  6.73584906],1
v4,1,0.002265,9.320976,[80  5] ; [15  6],[76.17924528  8.82075472] ; [18.82075472  2.17924528],0
r3,1,0.024198,5.080351,[79  6] ; [16  5],[76.17924528  8.82075472] ; [18.82075472  2.17924528],0
u2,1,0.024488,5.059765,[16 16] ; [9 1],[19.04761905 12.95238095] ; [5.95238095 4.04761905],0
p9,1,0.042565,4.112607,[72 12] ; [14  7],[68.8 15.2] ; [17.2  3.8],0
a4,1,0.051129,3.804053,[31 54] ; [ 3 18],[27.26415094 57.73584906] ; [ 6.73584906 14.26415094],0
p6,1,0.055018,3.681527,[35 49] ; [ 4 17],[31.2 52.8] ; [ 7.8 13.2],0
n6,1,0.058488,3.579736,[72 13] ; [14  7],[68.96226415 16.03773585] ; [17.03773585  3.96226415],0
s7,1,0.064311,3.422553,[43 38] ; [ 6 14],[39.2970297 41.7029703] ; [ 9.7029703 10.2970297],0
b4,1,0.077707,3.112223,[58 27] ; [10 11],[54.52830189 30.47169811] ; [13.47169811  7.52830189],0
p10,1,0.080267,3.05948,[68 17] ; [13  8],[64.95283019 20.04716981] ; [16.04716981  4.95283019],0
s3,1,0.084051,2.984773,[54 31] ; [ 9 12],[50.51886792 34.48113208] ; [12.48113208  8.51886792],0
d5,1,0.098224,2.734153,[64 21] ; [12  9],[60.94339623 24.05660377] ; [15.05660377  5.94339623],0
a6,1,0.125841,2.343076,[45 40] ; [15  6],[48.11320755 36.88679245] ; [11.88679245  9.11320755],0
p4,1,0.150657,2.065581,[46 39] ; [15  6],[48.91509434 36.08490566] ; [12.08490566  8.91509434],0
s8,1,0.150657,2.065581,[39 46] ; [ 6 15],[36.08490566 48.91509434] ; [ 8.91509434 12.08490566],0
d1,1,0.156068,2.011922,[43 42] ; [ 7 14],[40.09433962 44.90566038] ; [ 9.90566038 11.09433962],0
b1,1,0.218188,1.516248,[32 53] ; [11 10],[34.48113208 50.51886792] ; [ 8.51886792 12.48113208],0
p3,1,0.223057,1.484594,[45 40] ; [ 8 13],[42.5 42.5] ; [10.5 10.5],0
p12,1,0.287357,1.131965,[ 6 79] ; [ 3 18],[ 7.21698113 77.78301887] ; [ 1.78301887 19.21698113],0
b3,1,0.298227,1.082104,[16 38] ; [ 2 11],[14.50746269 39.49253731] ; [3.49253731 9.50746269],0
b2,1,0.298227,1.082104,[16 38] ; [ 2 11],[14.50746269 39.49253731] ; [3.49253731 9.50746269],0
s5,1,0.306486,1.045758,[33 48] ; [ 6 15],[30.97058824 50.02941176] ; [ 8.02941176 12.97058824],0
a2,1,0.346043,0.887915,[10 75] ; [ 1 20],[ 8.82075472 76.17924528] ; [ 2.17924528 18.82075472],0
a5,1,0.347539,0.882423,[54 31] ; [11 10],[52.12264151 32.87735849] ; [12.87735849  8.12264151],0
s2,1,0.347539,0.882423,[54 31] ; [11 10],[52.12264151 32.87735849] ; [12.87735849  8.12264151],0
a8,1,0.348001,0.880733,[ 4 78] ; [ 2 17],[ 4.87128713 77.12871287] ; [ 1.12871287 17.87128713],0
p5,1,0.389098,0.741758,[10 74] ; [ 4 17],[11.2 72.8] ; [ 2.8 18.2],0
d2,1,0.395799,0.721051,[37 48] ; [ 7 14],[35.28301887 49.71698113] ; [ 8.71698113 12.28301887],0
a7,1,0.402794,0.699968,[53 32] ; [11 10],[51.32075472 33.67924528] ; [12.67924528  8.32075472],0
p11,1,0.414333,0.666332,[66 19] ; [18  3],[67.35849057 17.64150943] ; [16.64150943  4.35849057],0
n5,1,0.441556,0.592235,[60 25] ; [13  8],[58.53773585 26.46226415] ; [14.46226415  6.53773585],0
a3,1,0.462297,0.540329,[52 33] ; [11 10],[50.51886792 34.48113208] ; [12.48113208  8.51886792],0
v1,1,0.463677,0.537005,[43 40] ; [ 9 12],[41.5 41.5] ; [10.5 10.5],0
p2,1,0.468393,0.525763,[67 18] ; [15  6],[65.75471698 19.24528302] ; [16.24528302  4.75471698],0
a1,1,0.51193,0.43012,[ 8 77] ; [ 3 18],[ 8.82075472 76.17924528] ; [ 2.17924528 18.82075472],0
p7,1,0.513488,0.426952,[50 33] ; [11 10],[48.68269231 34.31730769] ; [12.31730769  8.68269231],0
v3,1,0.53395,0.386868,[29 52] ; [ 6 15],[27.79411765 53.20588235] ; [ 7.20588235 13.79411765],0
b5,1,0.588731,0.29233,[54 31] ; [12  9],[52.9245283 32.0754717] ; [13.0754717  7.9245283],0
d3,1,0.713563,0.134744,[53 32] ; [14  7],[53.72641509 31.27358491] ; [13.27358491  7.72641509],0
n4,1,0.73203,0.117256,[56 29] ; [13  8],[55.33018868 29.66981132] ; [13.66981132  7.33018868],0
p8,1,0.734441,0.115073,[39 44] ; [ 9 12],[38.30769231 44.69230769] ; [ 9.69230769 11.30769231],0
n2,1,0.807903,0.059113,[22  7] ; [5 2],[21.75  7.25] ; [5.25 1.75],0
n3,1,0.810366,0.057578,[18 11] ; [4 3],[17.72222222 11.27777778] ; [4.27777778 2.72222222],0
s4,1,0.889263,0.019387,[23 62] ; [ 6 15],[23.25471698 61.74528302] ; [ 5.74528302 15.25471698],0
u3,1,0.93308,0.007051,[16 17] ; [5 5],[16.11627907 16.88372093] ; [4.88372093 5.11627907],0
n1,1,0.943253,0.005067,[12 17] ; [3 4],[12.08333333 16.91666667] ; [2.91666667 4.08333333],0
v2,1,0.953973,0.003331,[38 43] ; [10 11],[38.11764706 42.88235294] ; [ 9.88235294 11.11764706],0
d4,1,0.981249,0.000552,[69 16] ; [17  4],[68.96226415 16.03773585] ; [17.03773585  3.96226415],0
