Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,2.4e-05,17.864175,[42 31] ; [43  3],[52.14285714 20.85714286] ; [32.85714286 13.14285714],1
p3,1,0.000176,14.069642,[15 57] ; [25 21],[24.40677966 47.59322034] ; [15.59322034 30.40677966],1
p7,1,0.000424,12.423661,[24 43] ; [32 14],[33.20353982 33.79646018] ; [22.79646018 23.20353982],1
p11,1,0.001306,10.334494,[32 41] ; [34 12],[40.48739496 32.51260504] ; [25.51260504 20.48739496],0
r4,1,0.001754,9.790305,[46 27] ; [41  5],[53.3697479 19.6302521] ; [33.6302521 12.3697479],0
s6,1,0.002036,9.51639,[28 45] ; [31 15],[36.19327731 36.80672269] ; [22.80672269 23.19327731],0
a5,1,0.004544,8.052595,[42 31] ; [38  8],[49.07563025 23.92436975] ; [30.92436975 15.07563025],0
s8,1,0.007511,7.146615,[15 58] ; [20 26],[21.47058824 51.52941176] ; [13.52941176 32.47058824],0
r3,1,0.012877,6.185954,[57 15] ; [44  2],[61.62711864 10.37288136] ; [39.37288136  6.62711864],0
p10,1,0.01837,5.560495,[37 34] ; [34 12],[43.08547009 27.91452991] ; [27.91452991 18.08547009],0
d1,1,0.028794,4.779903,[31 42] ; [29 17],[36.80672269 36.19327731] ; [23.19327731 22.80672269],0
p8,1,0.034797,4.455127,[22 48] ; [23 22],[27.39130435 42.60869565] ; [17.60869565 27.39130435],0
v4,1,0.037572,4.324284,[58 15] ; [43  3],[61.95798319 11.04201681] ; [39.04201681  6.95798319],0
u3,1,0.050694,3.818357,[13 10] ; [13  2],[15.73684211  7.26315789] ; [10.26315789  4.73684211],0
r1,1,0.053252,3.735986,[50 23] ; [38  7],[54.44067797 18.55932203] ; [33.55932203 11.44067797],0
v2,1,0.064775,3.410705,[27 42] ; [24 18],[31.7027027 37.2972973] ; [19.2972973 22.7027027],0
a8,1,0.076334,3.141273,[12 59] ; [ 2 37],[ 9.03636364 61.96363636] ; [ 4.96363636 34.03636364],0
d5,1,0.083051,3.004157,[55 17] ; [41  5],[58.57627119 13.42372881] ; [37.42372881  8.57627119],0
p9,1,0.088485,2.901715,[45 26] ; [36 10],[49.15384615 21.84615385] ; [31.84615385 14.15384615],0
p6,1,0.102709,2.662967,[11 59] ; [13 33],[14.48275862 55.51724138] ; [ 9.51724138 36.48275862],0
u1,1,0.139879,2.179284,[ 5 68] ; [ 7 39],[ 7.36134454 65.63865546] ; [ 4.63865546 41.36134454],0
b3,1,0.152698,2.045088,[ 6 29] ; [10 21],[ 8.48484848 26.51515152] ; [ 7.51515152 23.48484848],0
