Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,6.6e-05,15.923737,[36 19] ; [ 92 162],[22.78317152 32.21682848] ; [105.21682848 148.78317152],1
n4,1,0.0034,8.579169,[50  6] ; [182  77],[41.24444444 14.75555556] ; [190.75555556  68.24444444],0
s7,1,0.007053,7.259544,[34 20] ; [107 143],[25.04605263 28.95394737] ; [115.95394737 134.04605263],0
p5,1,0.0079,7.055989,[13 42] ; [ 27 231],[ 7.02875399 47.97124601] ; [ 32.97124601 225.02875399],0
b1,1,0.021,5.326805,[30 26] ; [ 96 164],[22.32911392 33.67088608] ; [103.67088608 156.32911392],0
p1,1,0.025623,4.981259,[10 46] ; [ 21 239],[ 5.49367089 50.50632911] ; [ 25.50632911 234.49367089],0
u1,1,0.037934,4.307967,[12 44] ; [ 29 231],[ 7.26582278 48.73417722] ; [ 33.73417722 226.26582278],0
a1,1,0.071315,3.252497,[ 5 51] ; [  9 251],[ 2.48101266 53.51898734] ; [ 11.51898734 248.48101266],0
p6,1,0.084135,2.983153,[26 29] ; [ 90 168],[20.38338658 34.61661342] ; [ 95.61661342 162.38338658],0
a8,1,0.094714,2.792364,[ 3 47] ; [ 36 207],[ 6.6552901 43.3447099] ; [ 32.3447099 210.6552901],0
d1,1,0.096203,2.767393,[34 22] ; [126 134],[28.35443038 27.64556962] ; [131.64556962 128.35443038],0
p3,1,0.101144,2.68741,[31 24] ; [115 145],[25.49206349 29.50793651] ; [120.50793651 139.49206349],0
s8,1,0.105141,2.625775,[29 27] ; [104 156],[23.56962025 32.43037975] ; [109.43037975 150.56962025],0
n5,1,0.134121,2.24415,[46 10] ; [187  71],[41.55414013 14.44585987] ; [191.44585987  66.55414013],0
a5,1,0.218073,1.517006,[42 14] ; [173  87],[38.10126582 17.89873418] ; [176.89873418  83.10126582],0
r3,1,0.250619,1.31985,[49  7] ; [238  20],[51.18471338  4.81528662] ; [235.81528662  22.18471338],0
u2,1,0.252707,1.308276,[11  5] ; [48 42],[8.90566038 7.09433962] ; [50.09433962 39.90566038],0
d5,1,0.255663,1.292091,[44 11] ; [188  71],[40.63694268 14.36305732] ; [191.36305732  67.63694268],0
a7,1,0.271204,1.210646,[34 22] ; [177  82],[37.51111111 18.48888889] ; [173.48888889  85.51111111],0
b4,1,0.292449,1.108314,[28 28] ; [150 110],[31.5443038 24.4556962] ; [146.4556962 113.5443038],0
s6,1,0.292966,1.105941,[40 15] ; [166  88],[36.66666667 18.33333333] ; [169.33333333  84.66666667],0
a3,1,0.30181,1.066179,[40 15] ; [169  89],[36.72523962 18.27476038] ; [172.27476038  85.72523962],0
p2,1,0.326717,0.961869,[45 10] ; [225  34],[47.29299363  7.70700637] ; [222.70700637  36.29299363],0
d2,1,0.330304,0.947705,[26 30] ; [102 157],[22.75555556 33.24444444] ; [105.24444444 153.75555556],0
b2,1,0.337233,0.920921,[16 20] ; [53 95],[13.5 22.5] ; [55.5 92.5],0
b3,1,0.337233,0.920921,[16 20] ; [53 95],[13.5 22.5] ; [55.5 92.5],0
r1,1,0.353594,0.860517,[42 14] ; [178  81],[39.11111111 16.88888889] ; [180.88888889  78.11111111],0
d3,1,0.388536,0.743519,[39 17] ; [164  94],[36.20382166 19.79617834] ; [166.79617834  91.20382166],0
s2,1,0.409023,0.681638,[30 26] ; [123 136],[27.2 28.8] ; [125.8 133.2],0
p11,1,0.484667,0.488345,[42 14] ; [206  54],[43.94936709 12.05063291] ; [204.05063291  55.94936709],0
s1,1,0.490532,0.47536,[ 3 52] ; [  9 249],[ 2.1086262 52.8913738] ; [  9.8913738 248.1086262],0
b5,1,0.524704,0.404638,[33 23] ; [165  95],[35.08860759 20.91139241] ; [162.91139241  97.08860759],0
p7,1,0.536371,0.382307,[35 20] ; [149 103],[32.96416938 22.03583062] ; [151.03583062 100.96416938],0
n6,1,0.575292,0.313907,[48  8] ; [214  45],[46.57777778  9.42222222] ; [215.42222222  43.57777778],0
s4,1,0.593686,0.284624,[10 45] ; [ 55 202],[11.45833333 43.54166667] ; [ 53.54166667 203.45833333],0
p12,1,0.616458,0.250877,[ 4 52] ; [ 14 244],[ 3.21019108 52.78980892] ; [ 14.78980892 243.21019108],0
p8,1,0.622865,0.241861,[31 25] ; [134 125],[29.33333333 26.66666667] ; [135.66666667 123.33333333],0
r2,1,0.657057,0.197118,[52  4] ; [233  23],[51.15384615  4.84615385] ; [233.84615385  22.15384615],0
p10,1,0.669339,0.182376,[50  6] ; [225  33],[49.04458599  6.95541401] ; [225.95541401  32.04458599],0
a6,1,0.672677,0.178486,[37 19] ; [164  96],[35.62025316 20.37974684] ; [165.37974684  94.62025316],0
p4,1,0.699953,0.14852,[34 22] ; [150 109],[32.71111111 23.28888889] ; [151.28888889 107.71111111],0
a4,1,0.725536,0.12325,[25 31] ; [109 150],[23.82222222 32.17777778] ; [110.17777778 148.82222222],0
d4,1,0.752813,0.099182,[44 11] ; [203  57],[43.12698413 11.87301587] ; [203.87301587  56.12698413],0
v4,1,0.782765,0.07602,[52  4] ; [244  16],[52.4556962  3.5443038] ; [243.5443038  16.4556962],0
n1,1,0.801413,0.063262,[5 6] ; [29 41],[4.61728395 6.38271605] ; [29.38271605 40.61728395],0
n3,1,0.840996,0.040248,[8 4] ; [48 21],[8.2962963 3.7037037] ; [47.7037037 21.2962963],0
u3,1,0.863976,0.029349,[9 7] ; [48 41],[8.68571429 7.31428571] ; [48.31428571 40.68571429],0
n2,1,0.876984,0.023961,[9 3] ; [51 19],[8.7804878 3.2195122] ; [51.2195122 18.7804878],0
s5,1,0.916157,0.011083,[18 37] ; [ 84 167],[18.33333333 36.66666667] ; [ 83.66666667 167.33333333],0
a2,1,0.943499,0.005023,[11 45] ; [ 50 210],[10.81012658 45.18987342] ; [ 50.18987342 209.81012658],0
s3,1,0.946774,0.004457,[30 25] ; [142 116],[30.22364217 24.77635783] ; [141.77635783 116.22364217],0
r4,1,0.949407,0.004026,[48  8] ; [222  38],[47.84810127  8.15189873] ; [222.15189873  37.84810127],0
