Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,29.192793,[39  9] ; [13 36],[25.73195876 22.26804124] ; [26.26804124 22.73195876],1
d5,1,3e-06,22.022228,[38 10] ; [16 34],[26.44897959 21.55102041] ; [27.55102041 22.44897959],1
a4,1,3e-06,21.818409,[28 19] ; [ 7 43],[16.95876289 30.04123711] ; [18.04123711 31.95876289],1
d4,1,9.3e-05,15.275069,[37 11] ; [19 31],[27.42857143 20.57142857] ; [28.57142857 21.42857143],1
d1,1,0.000158,14.276552,[25 23] ; [ 8 42],[16.16326531 31.83673469] ; [16.83673469 33.16326531],1
s7,1,0.001392,10.216104,[23 23] ; [ 9 39],[15.65957447 30.34042553] ; [16.34042553 31.65957447],0
p3,1,0.002646,9.037073,[23 24] ; [10 40],[15.98969072 31.01030928] ; [17.01030928 32.98969072],0
s6,1,0.004336,8.137381,[28 19] ; [15 34],[21.05208333 25.94791667] ; [21.94791667 27.05208333],0
d2,1,0.008598,6.904557,[27 19] ; [16 34],[20.60416667 25.39583333] ; [22.39583333 27.60416667],0
s8,1,0.008995,6.823789,[19 29] ; [ 8 42],[13.2244898 34.7755102] ; [13.7755102 36.2244898],0
p4,1,0.015266,5.885509,[27 19] ; [17 33],[21.08333333 24.91666667] ; [22.91666667 27.08333333],0
p10,1,0.038057,4.302456,[31 16] ; [22 27],[25.94791667 21.05208333] ; [27.05208333 21.94791667],0
s2,1,0.042037,4.133701,[23 25] ; [14 36],[18.12244898 29.87755102] ; [18.87755102 31.12244898],0
p9,1,0.071552,3.247059,[36 10] ; [30 19],[31.95789474 14.04210526] ; [34.04210526 14.95789474],0
v3,1,0.092752,2.825954,[14 32] ; [ 8 42],[10.54166667 35.45833333] ; [11.45833333 38.54166667],0
a6,1,0.106027,2.612465,[22 26] ; [15 35],[18.12244898 29.87755102] ; [18.87755102 31.12244898],0
b4,1,0.107469,2.591051,[21 27] ; [30 20],[24.97959184 23.02040816] ; [26.02040816 23.97959184],0
b3,1,0.108625,2.574116,[12 19] ; [ 7 27],[ 9.06153846 21.93846154] ; [ 9.93846154 24.06153846],0
b2,1,0.108625,2.574116,[12 19] ; [ 7 27],[ 9.06153846 21.93846154] ; [ 9.93846154 24.06153846],0
r2,1,0.14384,2.136394,[37 10] ; [32 17],[33.78125 13.21875] ; [35.21875 13.78125],0
r3,1,0.144724,2.126997,[38 10] ; [33 17],[34.7755102 13.2244898] ; [36.2244898 13.7755102],0
n5,1,0.144724,2.126997,[38 10] ; [33 17],[34.7755102 13.2244898] ; [36.2244898 13.7755102],0
n1,1,0.17186,1.866643,[11 10] ; [ 7 15],[ 8.79069767 12.20930233] ; [ 9.20930233 12.79069767],0
s5,1,0.221077,1.497363,[12 33] ; [ 8 41],[ 9.57446809 35.42553191] ; [10.42553191 38.57446809],0
n6,1,0.237553,1.395059,[36 12] ; [32 18],[33.30612245 14.69387755] ; [34.69387755 15.30612245],0
p11,1,0.278641,1.173708,[32 16] ; [28 22],[29.3877551 18.6122449] ; [30.6122449 19.3877551],0
u2,1,0.307213,1.042621,[2 7] ; [15 22],[3.32608696 5.67391304] ; [13.67391304 23.32608696],0
p6,1,0.308905,1.035352,[14 30] ; [11 38],[11.82795699 32.17204301] ; [13.17204301 35.82795699],0
v4,1,0.377224,0.779728,[38 10] ; [35 14],[36.12371134 11.87628866] ; [36.87628866 12.12371134],0
p5,1,0.424717,0.637227,[ 5 43] ; [ 3 47],[ 3.91836735 44.08163265] ; [ 4.08163265 45.91836735],0
d3,1,0.432245,0.616783,[18 30] ; [15 35],[16.16326531 31.83673469] ; [16.83673469 33.16326531],0
p1,1,0.488983,0.478763,[ 7 41] ; [ 5 45],[ 5.87755102 42.12244898] ; [ 6.12244898 43.87755102],0
n2,1,0.517413,0.419048,[16  6] ; [14  8],[15.  7.] ; [15.  7.],0
n3,1,0.530801,0.392857,[15  7] ; [13  9],[14.  8.] ; [14.  8.],0
s4,1,0.536767,0.381565,[10 38] ; [ 8 42],[ 8.81632653 39.18367347] ; [ 9.18367347 40.81632653],0
u3,1,0.550487,0.356446,[2 7] ; [12 25],[2.73913043 6.26086957] ; [11.26086957 25.73913043],0
r4,1,0.556082,0.346533,[23 25] ; [21 29],[21.55102041 26.44897959] ; [22.44897959 27.55102041],0
v1,1,0.563618,0.333478,[17 30] ; [15 34],[15.66666667 31.33333333] ; [16.33333333 32.66666667],0
s1,1,0.581902,0.30317,[ 1 47] ; [ 2 48],[ 1.46938776 46.53061224] ; [ 1.53061224 48.46938776],0
p12,1,0.594498,0.283374,[ 1 46] ; [ 2 48],[ 1.45360825 45.54639175] ; [ 1.54639175 48.45360825],0
n4,1,0.629826,0.232296,[32 16] ; [31 19],[30.85714286 17.14285714] ; [32.14285714 17.85714286],0
v2,1,0.667692,0.184314,[18 29] ; [16 31],[17. 30.] ; [17. 30.],0
p2,1,0.751621,0.100174,[28 18] ; [32 18],[28.75 17.25] ; [31.25 18.75],0
b1,1,0.829886,0.046159,[26 22] ; [26 24],[25.46938776 22.53061224] ; [26.53061224 23.46938776],0
b5,1,0.843053,0.0392,[24 24] ; [26 24],[24.48979592 23.51020408] ; [25.51020408 24.48979592],0
s3,1,0.906264,0.013865,[20 27] ; [21 27],[20.28421053 26.71578947] ; [20.71578947 27.28421053],0
p7,1,0.91659,0.010968,[23 24] ; [25 25],[23.25773196 23.74226804] ; [24.74226804 25.25773196],0
a1,1,0.951959,0.00363,[ 4 44] ; [ 4 46],[ 3.91836735 44.08163265] ; [ 4.08163265 45.91836735],0
p8,1,0.964012,0.002036,[16 29] ; [18 32],[16.10526316 28.89473684] ; [17.89473684 32.10526316],0
