Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.028441,4.801136,[29  7] ; [4 5],[26.4  9.6] ; [6.6 2.4],0
b1,1,0.045657,3.994223,[25 11] ; [3 6],[22.4 13.6] ; [5.6 3.4],0
n4,1,0.048452,3.894231,[28  8] ; [4 5],[25.6 10.4] ; [6.4 2.6],0
n3,1,0.071031,3.259028,[7 1] ; [2 3],[5.53846154 2.46153846] ; [3.46153846 1.53846154],0
b3,1,0.084228,2.981366,[ 4 20] ; [3 3],[ 5.6 18.4] ; [1.4 4.6],0
b2,1,0.084228,2.981366,[ 4 20] ; [3 3],[ 5.6 18.4] ; [1.4 4.6],0
a5,1,0.096916,2.755567,[23 13] ; [3 6],[20.8 15.2] ; [5.2 3.8],0
n5,1,0.113846,2.5,[26 10] ; [4 5],[24. 12.] ; [6. 3.],0
p6,1,0.186376,1.746032,[ 5 30] ; [3 6],[ 6.36363636 28.63636364] ; [1.63636364 7.36363636],0
n1,1,0.220671,1.5,[5 3] ; [1 3],[4. 4.] ; [2. 2.],0
n2,1,0.252244,1.310833,[7 1] ; [3 2],[6.15384615 1.84615385] ; [3.84615385 1.15384615],0
v2,1,0.33238,0.939604,[18 17] ; [3 6],[16.70454545 18.29545455] ; [4.29545455 4.70454545],0
p7,1,0.340594,0.908193,[20 13] ; [7 2],[21.21428571 11.78571429] ; [5.78571429 3.21428571],0
v3,1,0.350169,0.872845,[14 22] ; [2 7],[12.8 23.2] ; [3.2 5.8],0
s6,1,0.370028,0.803571,[18 18] ; [3 6],[16.8 19.2] ; [4.2 4.8],0
d4,1,0.370028,0.803571,[29  7] ; [6 3],[28.  8.] ; [7. 2.],0
r3,1,0.380455,0.769231,[32  4] ; [7 2],[31.2  4.8] ; [7.8 1.2],0
s4,1,0.400037,0.708215,[ 4 31] ; [2 7],[ 4.77272727 30.22727273] ; [1.22727273 7.77272727],0
p4,1,0.400755,0.706058,[14 21] ; [5 4],[15.11363636 19.88636364] ; [3.88636364 5.11363636],0
a6,1,0.533389,0.387931,[24 12] ; [5 4],[23.2 12.8] ; [5.8 3.2],0
p1,1,0.550097,0.357143,[ 2 34] ; [1 8],[ 2.4 33.6] ; [0.6 8.4],0
d1,1,0.550097,0.357143,[20 16] ; [4 5],[19.2 16.8] ; [4.8 4.2],0
d2,1,0.550097,0.357143,[16 20] ; [5 4],[16.8 19.2] ; [4.2 4.8],0
s1,1,0.550097,0.357143,[ 2 34] ; [1 8],[ 2.4 33.6] ; [0.6 8.4],0
p3,1,0.589263,0.291496,[11 24] ; [2 7],[10.34090909 24.65909091] ; [2.65909091 6.34090909],0
n6,1,0.613102,0.255682,[27  9] ; [6 3],[26.4  9.6] ; [6.6 2.4],0
a4,1,0.621769,0.243389,[11 25] ; [2 7],[10.4 25.6] ; [2.6 6.4],0
s8,1,0.644652,0.21271,[13 23] ; [4 5],[13.6 22.4] ; [3.4 5.6],0
s7,1,0.650227,0.205614,[18 16] ; [4 5],[17.39534884 16.60465116] ; [4.60465116 4.39534884],0
d5,1,0.696606,0.152027,[30  6] ; [7 2],[29.6  6.4] ; [7.4 1.6],0
u3,1,0.706879,0.141414,[6 5] ; [2 1],[6.28571429 4.71428571] ; [1.71428571 1.28571429],0
u2,1,0.706879,0.141414,[6 5] ; [2 1],[6.28571429 4.71428571] ; [1.71428571 1.28571429],0
s5,1,0.736042,0.113636,[10 26] ; [2 7],[ 9.6 26.4] ; [2.4 6.6],0
v1,1,0.736042,0.113636,[10 26] ; [2 7],[ 9.6 26.4] ; [2.4 6.6],0
d3,1,0.758486,0.094538,[22 14] ; [6 3],[22.4 13.6] ; [5.6 3.4],0
a8,1,0.75881,0.094276,[ 5 28] ; [1 8],[ 4.71428571 28.28571429] ; [1.28571429 7.71428571],0
u1,1,0.79339,0.068598,[ 3 33] ; [1 8],[ 3.2 32.8] ; [0.8 8.2],0
v4,1,0.813142,0.055873,[32  3] ; [8 1],[31.81818182  3.18181818] ; [8.18181818 0.81818182],0
a2,1,0.826444,0.048077,[ 5 31] ; [1 8],[ 4.8 31.2] ; [1.2 7.8],0
a3,1,0.872092,0.025922,[25 11] ; [6 3],[24.8 11.2] ; [6.2 2.8],0
p2,1,0.872092,0.025922,[25 11] ; [6 3],[24.8 11.2] ; [6.2 2.8],0
a7,1,0.872092,0.025922,[25 11] ; [6 3],[24.8 11.2] ; [6.2 2.8],0
p11,1,0.872092,0.025922,[25 11] ; [6 3],[24.8 11.2] ; [6.2 2.8],0
s3,1,0.880048,0.022773,[21 15] ; [5 4],[20.8 15.2] ; [5.2 3.8],0
s2,1,0.880048,0.022773,[15 21] ; [4 5],[15.2 20.8] ; [3.8 5.2],0
b5,1,0.881235,0.022321,[17 19] ; [4 5],[16.8 19.2] ; [4.2 4.8],0
p8,1,0.881235,0.022321,[17 19] ; [4 5],[16.8 19.2] ; [4.2 4.8],0
b4,1,1.0,0.0,[24 12] ; [6 3],[24. 12.] ; [6. 3.],0
