Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,2.4e-05,17.879886,[41  9] ; [13 22],[31.76470588 18.23529412] ; [22.23529412 12.76470588],1
r2,1,0.009053,6.812371,[29 19] ; [11 24],[23.13253012 24.86746988] ; [16.86746988 18.13253012],0
p8,1,0.026745,4.907223,[22 28] ; [ 7 27],[17.26190476 32.73809524] ; [11.73809524 22.26190476],0
p1,1,0.029525,4.736739,[ 1 49] ; [ 5 30],[ 3.52941176 46.47058824] ; [ 2.47058824 32.52941176],0
u3,1,0.031686,4.615385,[11 16] ; [ 2 16],[ 7.8 19.2] ; [ 5.2 12.8],0
s1,1,0.041118,4.17115,[ 2 48] ; [ 6 29],[ 4.70588235 45.29411765] ; [ 3.29411765 31.70588235],0
s6,1,0.044699,4.029957,[22 28] ; [ 8 27],[17.64705882 32.35294118] ; [12.35294118 22.64705882],0
d3,1,0.050044,3.84,[18 31] ; [ 6 29],[14. 35.] ; [10. 25.],0
p11,1,0.058373,3.583017,[29 21] ; [13 22],[24.70588235 25.29411765] ; [17.29411765 17.70588235],0
n2,1,0.059697,3.545788,[19  6] ; [7 8],[16.25  8.75] ; [9.75 5.25],0
u2,1,0.066193,3.375,[15 12] ; [ 5 13],[12. 15.] ; [ 8. 10.],0
d5,1,0.071944,3.238095,[24 26] ; [10 25],[20. 30.] ; [14. 21.],0
a8,1,0.079796,3.069054,[ 1 45] ; [ 4 30],[ 2.875 43.125] ; [ 2.125 31.875],0
p10,1,0.085662,2.954064,[29 19] ; [14 20],[25.17073171 22.82926829] ; [17.82926829 16.17073171],0
n6,1,0.106033,2.612379,[31 19] ; [15 19],[27.38095238 22.61904762] ; [18.61904762 15.38095238],0
a2,1,0.159118,1.982584,[ 1 49] ; [ 3 32],[ 2.35294118 47.64705882] ; [ 1.64705882 33.35294118],0
a5,1,0.177143,1.821429,[17 33] ; [17 18],[20. 30.] ; [14. 21.],0
r3,1,0.182294,1.778824,[28 22] ; [14 20],[25. 25.] ; [17. 17.],0
p9,1,0.22879,1.448366,[31 18] ; [17 17],[28.3373494 20.6626506] ; [19.6626506 14.3373494],0
n5,1,0.248213,1.333333,[29 20] ; [25 10],[31.5 17.5] ; [22.5 12.5],0
v2,1,0.252447,1.309711,[14 35] ; [ 6 28],[11.80722892 37.19277108] ; [ 8.19277108 25.80722892],0
s4,1,0.270485,1.214286,[12 38] ; [ 5 30],[10. 40.] ; [ 7. 28.],0
p7,1,0.27605,1.186434,[25 23] ; [14 21],[22.55421687 25.44578313] ; [16.44578313 18.55421687],0
p4,1,0.277868,1.177489,[20 30] ; [10 25],[17.64705882 32.35294118] ; [12.35294118 22.64705882],0
s7,1,0.318286,0.995977,[15 33] ; [ 7 26],[13.03703704 34.96296296] ; [ 8.96296296 24.03703704],0
n4,1,0.320405,0.987291,[26 24] ; [22 13],[28.23529412 21.76470588] ; [19.76470588 15.23529412],0
a1,1,0.353954,0.859231,[ 4 46] ; [ 5 30],[ 5.29411765 44.70588235] ; [ 3.70588235 31.29411765],0
r1,1,0.359208,0.840659,[10 40] ; [10 25],[11.76470588 38.23529412] ; [ 8.23529412 26.76470588],0
p12,1,0.371093,0.8,[ 1 48] ; [ 2 33],[ 1.75 47.25] ; [ 1.25 33.75],0
d4,1,0.406416,0.689262,[26 24] ; [15 20],[24.11764706 25.88235294] ; [16.88235294 18.11764706],0
n3,1,0.411868,0.673401,[15 10] ; [7 8],[13.75 11.25] ; [8.25 6.75],0
