Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,49.777594,[90  1] ; [21 21],[75.94736842 15.05263158] ; [35.05263158  6.94736842],1
r3,1,0.0,42.542844,[88  4] ; [20 22],[74.14925373 17.85074627] ; [33.85074627  8.14925373],1
r2,1,0.0,42.447252,[87  5] ; [19 23],[72.7761194 19.2238806] ; [33.2238806  8.7761194],1
r1,1,0.0,32.70949,[71 21] ; [11 32],[55.88148148 36.11851852] ; [26.11851852 16.88148148],1
s6,1,5e-06,20.787683,[54 36] ; [ 8 36],[41.64179104 48.35820896] ; [20.35820896 23.64179104],1
n6,1,3.1e-05,17.376657,[76 16] ; [20 22],[65.91044776 26.08955224] ; [30.08955224 11.91044776],1
p11,1,8.9e-05,15.365084,[71 21] ; [19 25],[60.88235294 31.11764706] ; [29.11764706 14.88235294],1
a6,1,9.1e-05,15.321728,[56 36] ; [11 33],[45.32352941 46.67647059] ; [21.67647059 22.32352941],1
s3,1,0.000135,14.573989,[53 35] ; [11 33],[42.66666667 45.33333333] ; [21.33333333 22.66666667],1
d3,1,0.000296,13.097004,[49 43] ; [ 9 35],[39.23529412 52.76470588] ; [18.76470588 25.23529412],1
a7,1,0.00094,10.942059,[58 34] ; [14 29],[49.06666667 42.93333333] ; [22.93333333 20.06666667],1
v2,1,0.003782,8.385816,[35 52] ; [ 6 35],[27.8671875 59.1328125] ; [13.1328125 27.8671875],0
v3,1,0.004204,8.193585,[29 61] ; [ 4 39],[22.33082707 67.66917293] ; [10.66917293 32.33082707],0
p9,1,0.006859,7.309477,[69 22] ; [22 20],[62.26315789 28.73684211] ; [28.73684211 13.26315789],0
s2,1,0.008292,6.969329,[39 50] ; [ 9 35],[32.12030075 56.87969925] ; [15.87969925 28.12030075],0
u3,1,0.009932,6.647122,[26 22] ; [ 5 18],[20.95774648 27.04225352] ; [10.04225352 12.95774648],0
d4,1,0.016769,5.720374,[51 40] ; [15 29],[44.48888889 46.51111111] ; [21.51111111 22.48888889],0
p10,1,0.020286,5.387136,[62 27] ; [21 22],[55.96212121 33.03787879] ; [27.03787879 15.96212121],0
